Countries,Exports,Imports
Albania,2301.44,5294.01
Algeria,35124.46,45635.78
Angola,0.00,0.00
Anguilla,3.10,182.63
Antigua and Barbuda,62.39,629.84
Argentina,0.00,0.00
"Armenia, Republic of",0.00,0.00
Aruba,89.12,1184.67
Australia,231055.50,228772.13
Austria,160268.60,166701.22
"Azerbaijan, Republic of",13811.62,8782.01
"Bahamas, The",469.30,3427.82
"Bahrain, Kingdom of",6964.65,13158.88
Bangladesh,31366.97,47742.85
Barbados,485.39,1600.16
Belarus,29240.00,34234.90
Belgium,430084.49,406361.64
Belize,292.79,913.29
Benin,740.00,3061.51
Bhutan,572.73,1028.78
Bolivia,7939.81,9303.70
Bosnia and Herzegovina,6399.89,10500.84
Botswana,0.00,0.00
Brazil,217825.85,157542.86
Brunei Darussalam,5587.04,3087.54
Bulgaria,31589.86,34264.20
Burkina Faso,0.00,0.00
Burundi,0.00,0.00
Cabo Verde,0.00,0.00
Cambodia,12089.45,0.00
Cameroon,0.00,0.00
Canada,423460.83,442640.39
Chile,69229.87,65162.00
"China, P.R., Hong Kong",497579.33,559457.38
"China, P.R., Macao",1405.87,9448.92
"China, P.R., Mainland",2280358.29,1842333.87
Colombia,0.00,0.00
Costa Rica,10519.28,16031.55
Côte d'Ivoire,12436.59,9555.42
Croatia,15686.95,24281.52
Cyprus,3346.31,9304.89
Czech Republic,182235.82,163374.14
Denmark,101662.80,92363.45
Dominica,20.54,197.56
Dominican Republic,4426.00,17700.30
Ecuador,19122.46,20010.01
Egypt,25107.99,57857.08
El Salvador,5760.02,10571.51
Estonia,14538.56,16629.65
"Eswatini, Kingdom of",0.00,0.00
Ethiopia,0.00,0.00
Euro Area,2480622.90,2214861.04
Fiji,986.55,2402.57
Finland,67285.29,70106.94
France,534977.05,623931.65
"Gambia, The",0.00,0.00
Georgia,2727.97,7979.43
Germany,1447992.34,1162751.05
Ghana,0.00,0.00
Greece,32599.25,56686.70
Grenada,24.86,420.29
Guatemala,10981.80,18390.00
Guyana,0.00,0.00
Honduras,4564.20,9684.40
Hungary,113674.66,103782.28
Iceland,4864.46,6969.79
India,299700.78,446900.75
Indonesia,168729.03,156893.31
"Iran, Islamic Republic of",0.00,0.00
Ireland,137199.60,88664.84
Israel,61126.45,69150.87
Italy,510493.94,456742.07
Jamaica,1363.71,5533.49
Japan,698168.37,671258.46
Jordan,7491.47,20406.48
Kazakhstan,48290.17,29198.93
Kenya,0.00,0.00
"Korea, Republic of",574062.17,478490.59
"Kosovo, Republic of",428.28,3456.34
Kuwait,54922.13,33597.23
Kyrgyz Republic,0.00,0.00
Lao People's Democratic Republic,0.00,0.00
Latvia,13000.58,15903.49
Lebanon,2844.48,19588.60
Lesotho,650.06,2059.81
Libya,0.00,0.00
Lithuania,29919.02,32537.25
Luxembourg,15743.76,22844.33
Madagascar,0.00,0.00
Malawi,0.00,0.00
Malaysia,217838.72,195149.25
Maldives,199.41,2360.40
Mali,0.00,0.00
Malta,4076.02,6836.10
Mauritania,19886.78,35260.81
Mauritius,2369.31,5255.96
Mexico,409401.08,420369.15
Moldova,2425.10,4831.50
Mongolia,6200.70,4335.50
Montenegro,420.81,2612.12
Montserrat,6.12,30.76
Morocco,0.00,0.00
Mozambique,0.00,0.00
Myanmar,0.00,0.00
Namibia,4773.19,6609.68
Nepal,0.00,0.00
Netherlands,651974.67,574563.50
New Zealand,38063.11,40114.64
Nicaragua,0.00,0.00
Nigeria,44447.14,30554.02
"North Macedonia, Republic of",5663.75,7716.59
Norway,101981.32,82756.63
Oman,32407.02,27289.73
Pakistan,0.00,0.00
Panama,0.00,0.00
Papua New Guinea,0.00,0.00
Paraguay,8679.99,11874.81
Peru,44896.89,0.00
Philippines,68712.71,101900.58
Poland,230792.75,230410.21
Portugal,62207.50,77926.75
Qatar,67376.72,29449.08
Romania,70756.69,85475.66
Russian Federation,353548.00,2876.00
Rwanda,806.17,356.39
Samoa,44.43,134475.50
São Tomé and Príncipe,0.00,6102.85
Saudi Arabia,221660.70,21967.53
Senegal,2544.05,916.95
"Serbia, Republic of",17034.97,0.00
Seychelles,205.62,327667.26
Sierra Leone,0.00,83307.09
Singapore,373198.67,31205.19
Slovak Republic,84481.62,447.76
Slovenia,31951.00,87151.63
Solomon Islands,458.85,350978.95
South Africa,88772.34,20979.80
Spain,319400.21,308.93
Sri Lanka,11360.15,655.01
St. Kitts and Nevis,50.28,329.95
St. Lucia,127.00,9163.00
St. Vincent and the Grenadines,42.48,0.00
Sudan,4060.98,154196.45
Suriname,0.00,188819.59
Sweden,152905.27,0.00
Switzerland,224079.06,5590.38
Taiwan Province of China,0.00,223822.91
Tajikistan,1198.00,350.79
Tanzania,2878.41,0.00
Thailand,235253.09,0.00
"Timor-Leste, Dem. Rep. of",25.08,0.00
Togo,0.00,20681.32
Tonga,0.00,233757.81
Trinidad and Tobago,0.00,5647.63
Tunisia,14433.02,49509.70
Turkey,157174.03,615906.63
Uganda,2896.80,2408475.70
Ukraine,43275.80,8457.88
United Kingdom,441225.30,370.87
United States,1546272.96,0.00
Uruguay,7884.72,0.00
Vanuatu,60.50,5303.20
"Venezuela, Republica Bolivariana de",0.00,8738.23
Vietnam,0.00,0.00
West Bank and Gaza,1038.10,10632895.06
Zambia,8150.69,407525.12
Zimbabwe,0.00,3298150.90
