,trade_value,product,product_description,date,partner,indicator_type,reporter,reporter_ISO
0,2430.723644,TOTAL,All Commodities,2014-01-01,World,Export,Albania,ALB
1,60387.689304,TOTAL,All Commodities,2014-01-01,World,Export,Algeria,DZA
2,95.157707,TOTAL,All Commodities,2014-01-01,World,Export,Andorra,AND
3,58672.36919,TOTAL,All Commodities,2014-01-01,World,Export,Angola,AGO
4,21751.737145,TOTAL,All Commodities,2014-01-01,World,Export,Azerbaijan,AZE
5,68407.381825,TOTAL,All Commodities,2014-01-01,World,Export,Argentina,ARG
6,240444.683866,TOTAL,All Commodities,2014-01-01,World,Export,Australia,AUS
7,169714.98928,TOTAL,All Commodities,2014-01-01,World,Export,Austria,AUT
8,689.194495,TOTAL,All Commodities,2014-01-01,World,Export,Bahamas,BHS
9,23745.958554,TOTAL,All Commodities,2014-01-01,World,Export,Bahrain,BHR
10,1490.190146,TOTAL,All Commodities,2014-01-01,World,Export,Armenia,ARM
11,472201.274292,TOTAL,All Commodities,2014-01-01,World,Export,Belgium,BEL
12,11.968501,TOTAL,All Commodities,2014-01-01,World,Export,Bermuda,BMU
13,13034.220241,TOTAL,All Commodities,2014-01-01,World,Export,Bolivia (Plurinational State of),BOL
14,5892.102201,TOTAL,All Commodities,2014-01-01,World,Export,Bosnia Herzegovina,BIH
15,7915.468175,TOTAL,All Commodities,2014-01-01,World,Export,Botswana,BWA
16,225098.405233,TOTAL,All Commodities,2014-01-01,World,Export,Brazil,BRA
17,358.429021,TOTAL,All Commodities,2014-01-01,World,Export,Belize,BLZ
18,10508.832881,TOTAL,All Commodities,2014-01-01,World,Export,Brunei Darussalam,BRN
19,29386.540311,TOTAL,All Commodities,2014-01-01,World,Export,Bulgaria,BGR
20,11451.86054,TOTAL,All Commodities,2014-01-01,World,Export,Myanmar,MMR
21,141.500677,TOTAL,All Commodities,2014-01-01,World,Export,Burundi,BDI
22,36080.5368,TOTAL,All Commodities,2014-01-01,World,Export,Belarus,BLR
23,6846.019309,TOTAL,All Commodities,2014-01-01,World,Export,Cambodia,KHM
24,5159.519529,TOTAL,All Commodities,2014-01-01,World,Export,Cameroon,CMR
25,475177.176344,TOTAL,All Commodities,2014-01-01,World,Export,Canada,CAN
26,356.780551,TOTAL,All Commodities,2014-01-01,World,Export,Cabo Verde,CPV
27,11295.485897,TOTAL,All Commodities,2014-01-01,World,Export,Sri Lanka,LKA
28,75083.496948,TOTAL,All Commodities,2014-01-01,World,Export,Chile,CHL
29,2342292.69632,TOTAL,All Commodities,2014-01-01,World,Export,China,CHN
30,54794.812015,TOTAL,All Commodities,2014-01-01,World,Export,Colombia,COL
31,6550.00199,TOTAL,All Commodities,2014-01-01,World,Export,Congo,COG
32,11242.661045,TOTAL,All Commodities,2014-01-01,World,Export,Costa Rica,CRI
33,13843.89984,TOTAL,All Commodities,2014-01-01,World,Export,Croatia,HRV
34,1923.547446,TOTAL,All Commodities,2014-01-01,World,Export,Cyprus,CYP
35,174279.451675,TOTAL,All Commodities,2014-01-01,World,Export,Czechia,CZE
36,110748.92125,TOTAL,All Commodities,2014-01-01,World,Export,Denmark,DNK
37,9927.795974,TOTAL,All Commodities,2014-01-01,World,Export,Dominican Rep.,DOM
38,25724.432491,TOTAL,All Commodities,2014-01-01,World,Export,Ecuador,ECU
39,5301.546008,TOTAL,All Commodities,2014-01-01,World,Export,El Salvador,SLV
40,5666.889413,TOTAL,All Commodities,2014-01-01,World,Export,Ethiopia,ETH
41,17465.559809,TOTAL,All Commodities,2014-01-01,World,Export,Estonia,EST
42,1373.264431,TOTAL,All Commodities,2014-01-01,World,Export,Fiji,FJI
43,74338.833529,TOTAL,All Commodities,2014-01-01,World,Export,Finland,FIN
44,566656.165381,TOTAL,All Commodities,2014-01-01,World,Export,France,FRA
45,170.097225,TOTAL,All Commodities,2014-01-01,World,Export,French Polynesia,PYF
46,2861.043298,TOTAL,All Commodities,2014-01-01,World,Export,Georgia,GEO
47,1498157.777815,TOTAL,All Commodities,2014-01-01,World,Export,Germany,DEU
48,10.158527,TOTAL,All Commodities,2014-01-01,World,Export,Kiribati,KIR
49,35755.371471,TOTAL,All Commodities,2014-01-01,World,Export,Greece,GRC
50,540.496243,TOTAL,All Commodities,2014-01-01,World,Export,Greenland,GRL
51,10890.690739,TOTAL,All Commodities,2014-01-01,World,Export,Guatemala,GTM
52,1946.667588,TOTAL,All Commodities,2014-01-01,World,Export,Guinea,GIN
53,4533.347641,TOTAL,All Commodities,2014-01-01,World,Export,Honduras,HND
54,524064.898602,TOTAL,All Commodities,2014-01-01,World,Export,"China, Hong Kong SAR",HKG
55,112536.243771,TOTAL,All Commodities,2014-01-01,World,Export,Hungary,HUN
56,5051.299749,TOTAL,All Commodities,2014-01-01,World,Export,Iceland,ISL
57,176036.194332,TOTAL,All Commodities,2014-01-01,World,Export,Indonesia,IDN
58,90328.134766,TOTAL,All Commodities,2014-01-01,World,Export,Iran,IRN
59,123071.28903,TOTAL,All Commodities,2014-01-01,World,Export,Ireland,IRL
60,68965.008,TOTAL,All Commodities,2014-01-01,World,Export,Israel,ISR
61,529528.733451,TOTAL,All Commodities,2014-01-01,World,Export,Italy,ITA
62,1451.988337,TOTAL,All Commodities,2014-01-01,World,Export,Jamaica,JAM
