"Data Source","World Development Indicators",

"Last Updated Date","2019-04-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Aruba","ABW","Air transport, freight (million ton-km)","IS.AIR.GOOD.MT.K1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Air transport, freight (million ton-km)","IS.AIR.GOOD.MT.K1","","","","","","","","","","","7.5999999046","2.0999999046","0.8000000119","1.1000000238","13.3000001907","10.5","12.8999996185","13.8999996185","12.8999996185","19.1000003815","21.3999996185","19.3999996185","18.2999992371","11.3999996185","19.7999992371","19.8999996185","7.5","8.1000003815","8.8000001907","11.5","9.3999996185","8.3999996185","8.3999996185","6.6999998093","12.3000001907","12.8999996185","13.5","35.4000015259","15","7.4000000954","7.813","","","","","","","","","","108.019487128","109.421117469991","116.660723422675","84.621216","34.283472","33.102038592","29.010880897","25.144210987","",
"Angola","AGO","Air transport, freight (million ton-km)","IS.AIR.GOOD.MT.K1","","","","","","","","","","","","","","","","","14.1999998093","13.3999996185","13.6000003815","16","20.8999996185","33.2000007629","20.7999992371","46.2000007629","25.1000003815","33.2000007629","24.7999992371","25.6000003815","26.8999996185","51.5999984741","39.9000015259","41.5","41.5","28.7999992371","55.5","58.2999992371","62.2000007629","41.5","38","51.7999992371","60.611","50.818","51.298","56.455","63.692","68.112","80.997","72.888","70.934","64.323","47.908","50.973","70.977","70.431","65.517","46.043","43.940435","67.913802","",
"Albania","ALB","Air transport, freight (million ton-km)","IS.AIR.GOOD.MT.K1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.003","0.003","0.144","0.088","0.099","0.1","0.105","0.107","0.106","0.153","0","0","0","0","","","","","",
"Andorra","AND","Air transport, freight (million ton-km)","IS.AIR.GOOD.MT.K1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Air transport, freight (million ton-km)","IS.AIR.GOOD.MT.K1","","","","","","","","","","","199.3000061659","271.0000023394","355.100004606","492.9000113532","556.5999877976","654.7999929489","838.3000017254","885.1000145079","929.6999979393","1108.200023301","1143.299975231","1221.70000346","1373.6999977232","1626.6999707819","1638.2999939023","1387.7000086382","1307.7000053522","1569.8000195623","1748.3000231386","1923.0000172631","1753.5999885575","1562.2000008596","1970.6000163554","2225.6999805569","2637.0999706387","2924.4000729621","2919.9999778868","3156.5000599027","3255.2000129819","3685.1999729274","4069.469","3977.352","4574.315","5348.805","6842.743","7614.616","8798.176","10073.09","13176.421","14557.538","15792.0945597642","17136.9274516384","19711.7646195193","22234.0136372668","24698.8996924264","25918.4579033048","27869.6950203519","30246.2152047065","",
"United Arab Emirates","ARE","Air transport, freight (million ton-km)","IS.AIR.GOOD.MT.K1","","","","","","","","","","","","","","","2.2000000477","4","6.8000001907","8.1999998093","9.6000003815","14","26.2000007629","21.3999996185","21.6000003815","23.7999992371","30.7000007629","32.5999984741","48.5999984741","68.0999984741","96.1999969482","117.8000030518","145.1000061035","184.3999938965","267","365.3999938965","465.8999938965","557.200012207","651.299987793","809.4000244141","902","1129.6999511719","1456.349","1631.164","2079.338","2772.739","3733.658","4641.933","5735.78","6538.02","9289.48","8959.601","9774.15041487849","10434.8491894756","12032.543632735","14082.25474","15527.192868","15962.692","16138.874","16516.676","",
"Argentina","ARG","Air transport, freight (million ton-km)","IS.AIR.GOOD.MT.K1","","","","","","","","","","","47.9000015259","57.4000015259","79.6999969482","85.9000015259","98.1999969482","74.5999984741","96.3000030518","119.8000030518","120.5","136.8000030518","195.3999938965","195.5","170.6999969482","174.3000030518","179.8000030518","187.1000061035","192","197.5","193.6000061035","201.1999969482","213.6000061035","201.8999938965","206.6999969482","232","206.1999969482","177","176.6000061035","220.3000030518","251","241","296.646","124.402","76.419","111.811","123.637","132.558","124.583","132.675","131.685","111.663","193.301253837474","192.20126","180.120460072137","268.710767897573","261.60894","243.7725665","254.181413504","306.25856845","",
"Armenia","ARM","Air transport, freight (million ton-km)","IS.AIR.GOOD.MT.K1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.8000001907","10.6999998093","10.3999996185","11.3000001907","8.786","8.262","5.358","5.025","6.966","7.036","7.388","6.148","7.174","5.698","5.9795","4.4857","3.0115","0.999996","0","","","","",
"American Samoa","ASM","Air transport, freight (million ton-km)","IS.AIR.GOOD.MT.K1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00900000015407667","0.00953562016324629","0.0105628109495541","0.010932","0.011652","","","","",
