Reporter,Partner,Product categories,Indicator Type,Indicator,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Angola,...,...,Development,GDP (current US$ Mil),         102962.25,         126776.87,         124912.06,         115398.37,         104115.92,          82470.91,          75492.38,          84178.03,          60448.92,          41789.48,          28233.71,          19640.85,          14188.95,          12497.35,           8936.06,           9129.59,           6152.92,           6445.04,           7648.38,           7526.45,           5039.55,           4059.35,           5278.18,           5684.29,          12118.61,          10026.74,          10026.74,           6684.49
Angola,...,...,Export,No. Of Export partners,             43.00,             38.00,             35.00,             30.00,             33.00,             31.00,             33.00,,             33.00,,,,,,,,,,,,,,,,,,,
Angola,...,...,Export,No. Of Export products,              7.00,              7.00,              6.00,              5.00,              5.00,              6.00,              6.00,,              6.00,,,,,,,,,,,,,,,,,,,
Angola,...,...,Import,No. Of Import partners,            173.00,            183.00,            192.00,            198.00,            192.00,            183.00,            191.00,,            228.00,,,,,,,,,,,,,,,,,,,
Angola,...,...,Import,No. Of Import products,           4109.00,           4217.00,           4245.00,           4172.00,           4165.00,           4136.00,           4157.00,,           4227.00,,,,,,,,,,,,,,,,,,,
Angola,...,...,Tariff,No. Of Tariff Agreement,              1.00,              1.00,              1.00,              1.00,              1.00,              1.00,              1.00,,,,,,,,,,,,,,,,,,,,,
Angola,...,...,Development,Trade Balance (current US$ Mil),          -2281.45,           7336.78,          20371.83,          26049.99,          24144.22,          16030.51,           -378.21,          21121.85,          18402.20,          17057.63,           9142.03,           3163.25,            907.50,           1452.44,             39.54,           2446.74,           -393.84,          -1058.35,            -52.76,           1003.61,,            386.17,            -78.49,           -218.63,              0.00,              0.00,              0.00,              0.00
Angola,Brazil,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,           1563.69,,,,            963.92,           1587.72,,,,,,,,,,,,,,,,,,,,,
Angola,Canada,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,           2719.65,           3305.03,           3519.98,,           4039.12,           2324.86,,           2913.19,,,,,,,,,,,,,,,,,,,
Angola,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          14275.79,          27527.11,          31947.24,          33710.03,          24360.79,          20963.25,          15954.06,,          13459.33,,,,,,,,,,,,,,,,,,,
Angola,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           2825.19,           3428.51,           2807.56,           3457.05,           1837.13,           1829.20,           2094.78,,            864.71,,,,,,,,,,,,,,,,,,,
Angola,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           1567.65,,,,,,           3030.21,,           2592.97,,,,,,,,,,,,,,,,,,,
Angola,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           2675.57,           4507.42,           6764.23,           6932.06,           6842.02,           5117.82,           3659.56,,           2376.84,,,,,,,,,,,,,,,,,,,
Angola,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,           2270.21,,,,,,,,,,,,,,,,,,,,,,,
Angola,"Korea, Dem. Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,           1051.12,,,,,,,,,,,,,,,,,,,
Angola,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           1433.82,,           4239.55,,           2349.73,,,,,,,,,,,,,,,,,,,,,,,
Angola,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,           1816.62,           2050.64,,,,,,,,,,,,,,,,,,,,,,
Angola,"Other Asia, nes",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           1409.45,,           4007.02,           4699.80,           5386.49,           2699.44,,,,,,,,,,,,,,,,,,,,,,
Angola,Portugal,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           2449.55,           4781.92,           4339.20,           5378.24,           3455.49,           2607.04,           3704.04,,           1641.64,,,,,,,,,,,,,,,,,,,
Angola,Singapore,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,           2515.38,           1402.07,           2212.48,,,,,,,,,,,,,,,,,,,,,,,,
Angola,South Africa,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            909.16,,,           1535.78,,,           1465.90,,,,,,,,,,,,,,,,,,,,,
Angola,Spain,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           2240.59,           3726.46,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,           2548.81,           5018.39,           6594.53,          16475.02,           9965.79,           7708.38,,          10875.65,,,,,,,,,,,,,,,,,,,
Angola,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           1233.99,           2293.68,           1678.24,           2416.21,           1747.66,           1679.33,           1947.70,,            995.11,,,,,,,,,,,,,,,,,,,
Angola,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,            958.10,,,,,,,,,,,,,,,,,,,
Angola,World,All Products,Tariff,Duty Free Imports (US$ Thousand),              0.00,              0.00,         138471.70,         134081.27,           2590.91,           2451.01,              0.00,,,,,,,,,,,,,,,,,,,,,
Angola,World,Animal,Export,Export(US$ Mil),             46.32,             48.76,             49.15,             43.68,             24.75,             28.08,             32.17,,             42.58,,,,,,,,,,,,,,,,,,,
Angola,World,Capital goods,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,World,Chemicals,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,World,Consumer goods,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,World,Food Products,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,World,Footwear,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,World,Fuels,Export,Export(US$ Mil),          31894.84,          57336.24,          66505.39,          69708.12,          65192.50,          51511.23,          39792.63,,          42952.52,,,,,,,,,,,,,,,,,,,
Angola,World,Hides and Skins,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,World,Intermediate goods,Export,Export(US$ Mil),            501.17,            896.70,           1041.21,            844.86,           1052.35,            722.36,            530.17,,            666.33,,,,,,,,,,,,,,,,,,,
Angola,World,Mach and Elec,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,World,Metals,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,World,Minerals,Export,Export(US$ Mil),              8.52,              7.20,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,World,Miscellaneous,Export,Export(US$ Mil),              0.00,,              0.00,,,,,,              0.00,,,,,,,,,,,,,,,,,,,
Angola,World,Plastic or Rubber,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,World,Raw materials,Export,Export(US$ Mil),          32546.61,          57775.67,          66671.32,          70018.22,          65375.04,          51889.75,          40109.24,,          43511.45,,,,,,,,,,,,,,,,,,,
Angola,World,Stone and Glass,Export,Export(US$ Mil),           1087.53,           1274.01,           1156.06,           1110.22,           1209.18,           1072.04,            813.61,,           1181.94,,,,,,,,,,,,,,,,,,,
Angola,World,Textiles and Clothing,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,World,Transportation,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,World,Vegetable,Export,Export(US$ Mil),              1.10,              1.21,              0.59,              1.05,              0.96,              0.57,              0.81,,              0.41,,,,,,,,,,,,,,,,,,,
Angola,World,Wood,Export,Export(US$ Mil),              9.47,              4.95,              1.34,,,              0.20,              0.19,,              0.33,,,,,,,,,,,,,,,,,,,
