Reporter,Partner,Product categories,Indicator Type,Indicator,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Chile,...,...,Development,GDP (current US$ Mil),         242517.91,         260990.30,         278384.33,         267122.32,         252251.99,         218537.55,         172389.50,         179638.50,         173605.97,         154788.02,         122964.81,          99210.39,          75643.46,          69736.81,          70979.92,          77860.93,          75173.79,          81577.43,          84952.36,          78039.57,          73447.06,          57008.43,          49297.77,          45964.33,          37834.79,          33113.89,          29885.69,          26040.23
Chile,...,...,Export,No. Of Export partners,            179.00,            176.00,            179.00,            179.00,            178.00,            182.00,            174.00,            170.00,            174.00,            168.00,            168.00,            162.00,            151.00,            144.00,            161.00,            162.00,            158.00,            146.00,            143.00,            142.00,            139.00,            125.00,            126.00,            130.00,            133.00,            119.00,,
Chile,...,...,Export,No. Of Export products,           3763.00,           3160.00,           3134.00,           3223.00,           3264.00,           3186.00,           3222.00,           3317.00,           3367.00,           3416.00,           3472.00,           3416.00,           3414.00,           3324.00,           3386.00,           3277.00,           3329.00,           3358.00,           3305.00,           3341.00,           3254.00,           3240.00,           3135.00,           3079.00,           2929.00,           2566.00,,
Chile,...,...,Import,No. Of Import partners,            176.00,            177.00,            171.00,            171.00,            180.00,            170.00,            166.00,            165.00,            150.00,            151.00,            148.00,            148.00,            136.00,            128.00,            125.00,            122.00,            119.00,            115.00,            133.00,            136.00,            129.00,            119.00,            118.00,            119.00,            124.00,            114.00,,
Chile,...,...,Import,No. Of Import products,           4351.00,           4303.00,           4306.00,           4320.00,           4350.00,           4355.00,           4302.00,           4317.00,           4318.00,           4477.00,           4470.00,           4481.00,           4437.00,           4456.00,           4446.00,           4501.00,           4479.00,           4462.00,           4479.00,           4510.00,           4474.00,           4402.00,           4383.00,           4410.00,           4326.00,           4307.00,,
Chile,...,...,Tariff,No. Of Tariff Agreement,             73.00,,              1.00,             26.00,             26.00,             26.00,             26.00,             26.00,             26.00,             24.00,             13.00,             13.00,              1.00,              1.00,              1.00,              1.00,              2.00,              1.00,              1.00,              2.00,              4.00,              1.00,              1.00,              1.00,,,,
Chile,...,...,Development,Trade Balance (current US$ Mil),           -267.45,           2555.53,          -1599.40,            -75.14,           8370.35,          14044.34,          13350.44,           3697.97,          23837.13,          22431.20,          10701.47,           9793.13,           3783.54,           1544.07,           1174.10,           1360.68,           1642.54,          -2674.84,          -1703.90,          -1152.56,           1678.52,            975.67,           -910.88,            767.39,           1705.49,           1074.04,           1323.08,           1690.64
Chile,Argentina,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,            726.25,            734.49,,,,            635.55,            588.42,,,,,
Chile,Argentina,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           2516.61,           2914.00,           3933.18,           5283.27,           4741.68,           4691.85,           4645.81,           5055.02,           4378.88,           4539.24,           4831.98,           4162.61,           3784.08,           3036.02,           3074.06,           2866.42,           2014.60,           1900.41,           1837.15,           1634.18,           1384.49,            954.70,            580.16,            633.50,            553.61,            502.82,,
Chile,Brazil,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           3109.59,           4122.62,           4427.29,           4311.60,           4494.90,           4224.80,           2825.09,           3867.53,,,,,,,,            969.39,            701.33,            828.03,            974.44,            946.74,           1063.90,            616.66,,,            473.78,            492.12,,
