Reporter,Partner,Product categories,Indicator Type,Indicator,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Dominican Republic,...,...,Development,GDP (current US$ Mil),          68102.62,          65231.03,          61965.94,          60613.65,          57746.68,          53954.58,          48376.56,          48288.97,          44169.68,          35952.85,          34004.03,          22039.23,          21277.17,          26571.62,          24892.52,          23996.06,          21709.73,          21171.52,          19593.87,          18131.81,          16358.50,          14511.13,          12976.41,          11277.68,           9724.40,           7073.67,           6686.59,           5374.32
Dominican Republic,...,...,Export,No. Of Export partners,            147.00,            158.00,            146.00,            147.00,            136.00,            138.00,            136.00,            138.00,            143.00,            124.00,            124.00,            126.00,            127.00,            117.00,             98.00,,,,,,,,,,,,,
Dominican Republic,...,...,Export,No. Of Export products,           2854.00,           2816.00,           2783.00,           2606.00,           1632.00,           1488.00,           1440.00,           1458.00,           1453.00,           1311.00,           1281.00,           1319.00,           1293.00,           1181.00,            817.00,,,,,,,,,,,,,
Dominican Republic,...,...,Import,No. Of Import partners,            195.00,            187.00,            193.00,            202.00,            201.00,            201.00,            199.00,            198.00,            182.00,            164.00,            165.00,            160.00,            167.00,            158.00,            132.00,,,,,,,,,,,,,
Dominican Republic,...,...,Import,No. Of Import products,           4108.00,           4110.00,           4102.00,           4105.00,           4132.00,           4166.00,           4160.00,           4114.00,           4064.00,           4205.00,           4234.00,           4176.00,           4164.00,           4206.00,           3928.00,,,,,,,,,,,,,
Dominican Republic,...,...,Tariff,No. Of Tariff Agreement,              6.00,,              1.00,              1.00,              1.00,              7.00,,              6.00,              6.00,              4.00,              5.00,              1.00,              1.00,              1.00,              1.00,,,,,,,,,,,,,
Dominican Republic,...,...,Development,Trade Balance (current US$ Mil),          -3107.63,          -3348.89,          -3824.13,          -5575.86,          -6075.85,          -5723.50,          -4136.40,          -6556.96,          -3720.49,          -2870.50,          -1861.24,            170.09,            -72.01,          -2087.03,          -1809.15,          -2116.28,          -1466.68,          -1635.75,           -780.70,           -537.56,           -581.57,           -704.11,           -688.49,           -780.82,           -285.71,           -697.80,           -739.43,           -468.99
Dominican Republic,Belgium,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,             57.94,             66.98,,,,,,,,,,,,,
Dominican Republic,Brazil,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            554.94,,,,,,,            411.24,            364.58,            304.35,            246.35,            224.60,            168.16,,,,,,,,,,,,,,,
Dominican Republic,Canada,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            700.69,            912.40,            974.05,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,            231.69,            355.63,            330.30,            125.47,             91.25,,            249.69,,,,,,,,,,,,,,,,,,,
Dominican Republic,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           2321.81,           2057.63,           1872.99,           1739.73,           1787.17,           1615.67,           1216.93,           1298.90,            901.10,            573.19,            365.13,            226.49,            170.22,            191.66,,,,,,,,,,,,,,
Dominican Republic,Colombia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,            578.85,            526.93,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,Guatemala,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,            130.49,,,,,,,,,,,,,,,,,,,,,,,,
