Reporter,Partner,Product categories,Indicator Type,Indicator,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
,...,...,Development,GDP (current US$ Mil),       21765291.25,       21894085.98,       21256469.78,       21013112.14,       19633645.54,       16934259.90,       14526049.74,       14097329.80,       12205786.07,       10913330.71,       10292825.49,        9651082.22,        8605351.86,        7827298.97,        7705159.08,        8283672.56,        7656256.42,        6857782.85,        7649008.38,        7993854.68,        8297217.62,        7302165.97,        6542241.89,        5827466.93,        5337495.03,        4740125.61,        4529251.58,        4330848.60
,...,...,Export,No. Of Export partners,            235.00,            236.00,            235.00,            237.00,            235.00,            234.00,            234.00,            234.00,            235.00,            233.00,            234.00,            235.00,            237.00,            236.00,            236.00,            235.00,            223.00,            222.00,            221.00,            222.00,            225.00,            225.00,            226.00,            221.00,            201.00,            204.00,            202.00,            196.00
,...,...,Export,No. Of Export products,           4727.00,           4740.00,           4734.00,           4753.00,           4690.00,           4686.00,           4832.00,           4863.00,           4876.00,           4903.00,           4904.00,           4919.00,           4928.00,           4923.00,           4956.00,           4965.00,           4979.00,           5019.00,           5014.00,           5025.00,           5035.00,           5031.00,           5030.00,           5031.00,           5021.00,           5018.00,           5013.00,           4960.00
,...,...,Import,No. Of Import partners,            236.00,            236.00,            234.00,            236.00,            234.00,            234.00,            234.00,            233.00,            233.00,            233.00,            231.00,            235.00,            235.00,            236.00,            236.00,            234.00,            219.00,            218.00,            220.00,            221.00,            222.00,            224.00,            222.00,            219.00,            196.00,            201.00,            197.00,            189.00
,...,...,Import,No. Of Import products,           4845.00,           4801.00,           4837.00,           4848.00,           4835.00,           4834.00,           4889.00,           4906.00,           4911.00,           4939.00,           4928.00,           4935.00,           4951.00,           4954.00,           4970.00,           4999.00,           5021.00,           5030.00,           5033.00,           5033.00,           5035.00,           5035.00,           5037.00,           5037.00,           5035.00,           5033.00,           5034.00,           5012.00
,...,...,Tariff,No. Of Tariff Agreement,           1165.00,           1126.00,           1101.00,           1204.00,           1128.00,            986.00,            974.00,           1112.00,           1007.00,            996.00,           1070.00,            939.00,           1015.00,            731.00,            809.00,            673.00,            674.00,            673.00,            702.00,            688.00,            235.00,            232.00,            609.00,            218.00,            404.00,            218.00,            219.00,            400.00
,...,...,Development,Trade Balance (current US$ Mil),         664023.23,         415644.21,         326844.69,         327156.60,         377730.58,         513035.80,         462922.20,         456774.39,         592496.07,         449275.46,         326207.79,         269157.44,         231658.26,         188926.73,         144066.37,         177432.77,         197708.92,         213911.42,          82926.94,          25722.12,          59065.40,         107168.93,         100798.67,          97099.12,          68489.73,          36775.65,          58081.59,          88967.98
,Australia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,          22338.82,          20912.59,          18805.59,          12429.03
,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,         746896.39,         818306.24,         845501.96,         787226.26,         764291.42,         646688.09,         478259.38,         512427.82,         461646.61,         396231.47,         338977.92,         289590.99,         226124.75,         170029.34,         141128.47,         139339.25,         108692.42,         103574.74,         114485.31,         107593.69,          99462.64,          82871.02,          72543.07,,,,,
,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,         930876.39,         957400.73,         937110.60,         897668.50,         821661.47,         700874.94,         555294.90,         643202.04,         574479.62,         495660.58,         419828.52,         345526.41,         269347.35,         221959.93,         194907.20,         192547.53,         148548.97,         134020.43,         148150.61,         137687.76,         126272.54,         104160.98,          84592.49,          28225.41,          24544.69,          19036.97,,
