Reporter,Partner,Product categories,Indicator Type,Indicator,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Malta,...,...,Development,GDP (current US$ Mil),          10287.01,          11188.79,          10131.42,           9198.99,           9500.00,           8741.06,           8528.20,           8977.15,           7880.51,           6757.12,           6394.85,           6062.78,           5456.58,           4689.83,           4331.87,           4306.19,           4127.31,           3923.64,           3705.37,           3570.27,           3439.93,           2998.57,           2709.18,           3021.91,           2750.04,           2547.16,           2118.57,           2019.47
Malta,...,...,Export,No. Of Export partners,            169.00,            166.00,            168.00,            179.00,            161.00,            153.00,            148.00,            153.00,            146.00,            155.00,            153.00,            151.00,            137.00,            132.00,            117.00,            130.00,            112.00,            129.00,            128.00,            135.00,            100.00,            104.00,,,,,,
Malta,...,...,Export,No. Of Export products,           1615.00,           1541.00,           1502.00,           1582.00,           1457.00,           1431.00,           1450.00,           1489.00,           1438.00,           1507.00,           1486.00,           1492.00,           1543.00,           1624.00,           1689.00,           1630.00,           1745.00,           1654.00,           1852.00,           1881.00,           1791.00,           1623.00,,,,,,
Malta,...,...,Import,No. Of Import partners,            157.00,            159.00,            165.00,            154.00,            158.00,            146.00,            148.00,            141.00,            137.00,            134.00,            128.00,            136.00,            122.00,            124.00,            127.00,            121.00,            121.00,            116.00,            127.00,            142.00,            114.00,            126.00,,,,,,
Malta,...,...,Import,No. Of Import products,           3750.00,           3713.00,           3716.00,           3731.00,           3788.00,           3843.00,           3783.00,           3771.00,           3812.00,           3987.00,           4026.00,           4097.00,           4109.00,           4093.00,           4131.00,           4107.00,           4155.00,           4160.00,           4180.00,           4288.00,           4328.00,           4270.00,,,,,,
Malta,...,...,Tariff,No. Of Tariff Agreement,,,,,,,,,,,,,              4.00,              4.00,,              4.00,,,              1.00,,,,,,,,,
Malta,...,...,Development,Trade Balance (current US$ Mil),            805.50,           1409.62,            684.09,            444.25,            241.59,            -79.60,           -128.23,            -22.26,             44.48,           -228.08,           -156.32,            -80.59,             47.46,            206.22,            -72.12,           -309.82,            -95.03,           -103.33,           -180.18,           -334.21,           -324.42,           -293.21,           -251.44,           -209.91,           -288.59,           -326.46,           -218.93,           -192.01
Malta,Bunkers,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            595.33,            616.92,            719.83,            971.92,           1017.43,            717.82,,,,,,,,,,,,,,,,,,,,,,
Malta,"Egypt, Arab Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            517.56,            660.85,,,,,,,,,,,,,,,,,,,,,,,,,,
Malta,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            265.87,            271.34,            333.71,            378.96,            338.83,            316.07,            260.49,            348.32,            374.60,            412.15,            352.11,            408.08,            319.43,            277.61,            182.72,            195.19,            301.30,            379.55,            315.33,            260.09,            233.62,            153.44,,,,,,
Malta,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,            375.20,            471.23,            520.70,            448.30,            299.28,            412.04,            580.61,            511.56,            361.20,            706.68,            581.27,            474.51,            409.01,            641.91,            542.80,            474.91,            422.66,            443.34,            245.56,            205.11,,,,,,
Malta,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            370.78,            408.22,            462.63,            459.07,            451.29,            372.95,            304.22,            389.41,            421.47,            357.11,            293.13,            284.44,            253.03,            216.26,            255.70,            233.89,            248.69,            230.95,            220.32,            250.76,            287.04,            220.78,,,,,,
Malta,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            421.79,            424.65,            424.78,            414.82,            432.30,            390.90,            372.40,            392.30,            401.36,            331.62,            347.30,            489.09,            268.12,            227.86,            238.67,            278.02,            283.94,            278.96,            254.49,            262.84,            357.85,            429.02,,,,,,
Malta,"Hong Kong, China",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            190.36,,,            436.95,            395.79,,            147.65,,,,,,,,,,,,,,,,,,,,,
Malta,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,            223.36,            581.11,            583.51,,,,,,
Malta,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           1443.05,           1547.64,           1861.12,           2535.49,           2003.49,           1411.43,            987.42,           1398.35,           1211.16,           1217.67,           1186.25,            963.77,            784.41,            629.39,            543.38,            568.73,            474.86,            513.67,            516.56,            548.27,            807.45,            645.92,,,,,,
Malta,Libya,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,            277.66,            315.92,,,,,,,,,,,,,,,,,,,,,,,,,
Malta,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            487.11,,,,,            228.21,            213.67,,,,,,,,,,,,,,,,,,,,,
Malta,Russian Federation,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,            380.50,,            421.35,,,,,,,,,,,,,,,,,,,,,,,
Malta,Singapore,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,            361.22,            316.67,            285.43,            303.85,            285.29,            404.70,            421.19,            353.33,            280.11,            381.49,            414.28,            351.48,            230.83,            377.68,            315.06,            266.61,            169.06,            209.62,,,,,,,,
Malta,Singapore,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,            296.29,,            269.35,,,,,,            501.50,            270.20,,,,,,,,,,,
Malta,Turkey,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            361.77,            605.42,,            388.55,,,,,,,,,,,,,,,,,,,,,,,,
Malta,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,            242.39,            306.40,            268.99,            268.24,            301.88,            289.71,            259.63,            169.36,            177.36,            183.17,            140.58,            133.51,,            143.55,            115.20,,,,,,
Malta,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            464.87,            507.54,            407.71,            472.72,            501.15,            474.33,            484.59,            666.63,            688.55,            433.45,            416.54,            458.08,            314.83,            295.26,            273.20,,            309.07,            330.23,            376.94,            398.86,            457.67,            373.74,,,,,,
Malta,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,            259.77,            212.88,            269.21,            340.59,            347.59,            327.39,            411.69,            356.71,            272.85,            387.78,            667.14,            422.22,            332.69,            247.11,            233.99,            182.78,            116.67,,,,,,
Malta,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,            809.18,,,,,,,            285.75,,            201.22,            203.06,            276.08,            266.66,            315.00,            360.87,,            236.80,            202.20,            193.55,            176.78,            124.67,,,,,,
Malta,World,All Products,Tariff,Duty Free Imports (US$ Thousand),,,,,,,,,,,,,         367091.90,         306918.18,,         372232.19,,,         364906.35,,,,,,,,,
Malta,World,Animal,Export,Export(US$ Mil),            132.41,            130.92,            138.95,            105.30,             77.78,             92.99,             20.85,            139.41,            145.25,             91.83,             65.54,             58.83,             36.66,             41.96,             14.44,              8.42,              7.85,              7.15,              7.45,              7.62,              4.79,              7.13,,,,,,
Malta,World,Capital goods,Export,Export(US$ Mil),            998.44,           1261.99,           1422.65,           1594.03,           1646.87,           1539.97,           1314.32,           1722.88,           1865.37,           1817.08,           1478.48,           1679.85,           1526.38,           1271.31,           1256.06,           1737.30,           1275.98,           1211.15,            977.37,           1072.02,           1262.61,            976.96,,,,,,
Malta,World,Chemicals,Export,Export(US$ Mil),            394.87,            493.64,            460.63,            402.44,            352.65,            357.97,            268.04,            316.78,            271.40,            172.02,            116.17,             67.47,             48.92,             41.93,             42.02,             36.33,             43.89,             40.84,             47.29,             49.24,             40.50,             35.39,,,,,,
Malta,World,Consumer goods,Export,Export(US$ Mil),           2406.15,           3199.54,           3271.74,           3551.79,           3212.33,           1804.06,            762.74,            945.84,            964.41,            787.00,            717.82,            740.32,            778.20,            709.09,            484.36,            480.21,            583.92,            482.64,            503.50,            546.34,            521.28,            479.27,,,,,,
Malta,World,Food Products,Export,Export(US$ Mil),            147.52,            165.29,            150.73,            135.64,            106.70,             93.72,             84.99,             81.30,             73.49,             78.94,             73.72,             83.31,             95.06,             85.91,             58.54,             53.09,             49.98,             46.57,             54.24,             44.96,             30.97,             25.90,,,,,,
Malta,World,Footwear,Export,Export(US$ Mil),              8.02,             10.65,              6.13,              7.45,              4.85,              4.50,              2.93,              4.65,              5.18,              5.19,             13.19,             17.89,             22.83,             27.17,             30.84,             28.80,             32.14,             31.55,             28.82,             35.30,             33.53,             26.44,,,,,,
Malta,World,Fuels,Export,Export(US$ Mil),           1505.46,           2139.52,           2209.63,           2545.23,           2242.40,            950.57,             35.06,             64.40,             71.85,             37.92,             26.24,             84.38,            137.52,            121.17,            107.25,            106.87,             57.82,             32.15,             50.38,             46.98,             29.63,             29.63,,,,,,
Malta,World,Hides and Skins,Export,Export(US$ Mil),              2.16,              2.27,              2.47,              2.30,              1.73,              1.82,              1.86,              4.65,              6.37,              6.25,              6.01,              6.52,              7.44,              6.52,              6.76,              6.89,              9.00,              9.42,             10.30,             11.90,             11.68,             10.58,,,,,,
Malta,World,Intermediate goods,Export,Export(US$ Mil),            307.32,            312.64,            296.34,            317.03,            277.93,            227.71,            142.41,            154.02,            133.29,            117.26,            129.96,            123.01,            112.29,             93.46,             86.12,             95.00,            102.06,             91.78,             94.62,            114.68,            112.50,             85.52,,,,,,
Malta,World,Mach and Elec,Export,Export(US$ Mil),            907.71,           1179.00,           1344.71,           1450.10,           1511.28,           1478.67,           1261.96,           1659.14,           1775.17,           1675.69,           1395.72,           1595.31,           1474.96,           1225.06,           1222.41,           1703.93,           1218.61,           1130.61,            925.20,           1027.00,           1197.47,            973.27,,,,,,
Malta,World,Metals,Export,Export(US$ Mil),             45.35,             46.31,             37.70,             40.77,             42.25,             39.06,             36.15,             41.91,             41.00,             36.30,             36.03,             37.14,             29.19,             29.10,             23.08,             26.04,             31.64,             27.49,             24.78,             27.47,             21.83,             20.51,,,,,,
Malta,World,Minerals,Export,Export(US$ Mil),              0.19,              0.20,              0.13,              0.11,              0.03,              0.23,              0.21,              0.17,              0.05,              0.01,              0.10,              0.01,              0.04,              0.13,              0.07,              0.10,              0.21,              0.02,              0.04,              0.02,              0.00,              0.06,,,,,,
Malta,World,Miscellaneous,Export,Export(US$ Mil),            236.43,            280.79,            280.95,            270.40,            275.63,            215.84,            194.37,            210.40,            228.53,            232.03,            206.43,            201.76,            158.43,            136.26,            114.51,            123.54,            131.55,            120.50,            126.73,            130.08,            137.03,             97.67,,,,,,
Malta,World,Plastic or Rubber,Export,Export(US$ Mil),            120.40,            122.00,            130.55,            123.20,            132.28,            111.61,             85.35,            133.84,            126.50,            107.20,             99.30,             98.76,             85.15,             76.67,             71.59,             77.68,             78.44,             68.29,             61.46,             57.73,             54.32,             45.07,,,,,,
