Reporter,Partner,Product categories,Indicator Type,Indicator,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Nigeria,...,...,Development,GDP (current US$ Mil),         481066.15,         568498.94,         514966.29,         460953.84,         411743.80,         369062.46,         169481.32,         208064.75,         166451.21,         145429.76,         112248.35,          87845.42,          67655.81,          59116.85,          44137.99,          46386.01,          35870.79,          32004.61,          35822.34,          34987.95,          28546.96,          18086.40,          15789.00,          29300.90,          27392.89,          30757.08,          24231.17,          23272.16
Nigeria,...,...,Export,No. Of Export partners,,            151.00,            148.00,            148.00,            135.00,            145.00,            138.00,            147.00,            124.00,             81.00,,,             69.00,             54.00,             49.00,             64.00,             94.00,             62.00,             54.00,             92.00,,,,,,,,
Nigeria,...,...,Export,No. Of Export products,,            990.00,           1228.00,            972.00,           1510.00,            873.00,            808.00,            938.00,            813.00,            356.00,,,            317.00,            235.00,            203.00,            289.00,            587.00,            245.00,            187.00,            366.00,,,,,,,,
Nigeria,...,...,Import,No. Of Import partners,,            195.00,            188.00,            173.00,            160.00,            161.00,            171.00,            198.00,            196.00,            203.00,,,            192.00,            179.00,            195.00,            182.00,            158.00,            132.00,            140.00,            135.00,,,,,,,,
Nigeria,...,...,Import,No. Of Import products,,           4036.00,           3890.00,           3809.00,           3696.00,           3479.00,           3425.00,           3508.00,           3387.00,           3338.00,,,           3819.00,           3791.00,           3683.00,           3801.00,           3885.00,           3803.00,           3830.00,           3511.00,,,,,,,,
Nigeria,...,...,Tariff,No. Of Tariff Agreement,,              1.00,              1.00,,              1.00,              4.00,              1.00,              1.00,,              1.00,,,              1.00,              1.00,              1.00,              1.00,              1.00,              1.00,              1.00,              1.00,,,,,,,,
Nigeria,...,...,Development,Trade Balance (current US$ Mil),            671.18,          34024.99,          26010.71,          85264.28,          40620.61,          29070.48,           -450.18,          30779.61,           4983.77,          31432.24,          14104.66,          10430.21,           2947.69,           5053.16,           4009.18,          14880.72,           4266.00,          -2173.18,           2396.23,           2374.33,           3355.74,           1141.54,           1507.83,           4098.55,           5074.69,           5431.17,           6680.74,           2419.67
Nigeria,Albania,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,           2537.49,,,,,,,,,,,,,,,,,,,,,
Nigeria,Antigua and Barbuda,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,           4537.68,           2479.52,,,,,,,,,,,,,,,,,,,,,,
Nigeria,Belgium,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,           4510.56,,,,,,,,,,,,,,,,,,,
