Reporter,Partner,Product categories,Indicator Type,Indicator,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Palau,...,...,Development,GDP (current US$ Mil),            287.40,            250.90,            228.70,            214.20,            199.90,            183.80,            186.40,            198.10,            196.00,            194.70,            193.30,            175.30,            159.90,            163.50,            160.00,            149.30,            113.49,            117.32,            113.21,            108.20,             95.24,             83.53,             75.91,             82.45,             83.86,             76.89,,
Palau,...,...,Export,No. Of Export partners,             19.00,             25.00,,             21.00,,,,,,,,,,,,,,,,,,,,,,,,
Palau,...,...,Export,No. Of Export products,            348.00,            366.00,,            368.00,,,,,,,,,,,,,,,,,,,,,,,,
Palau,...,...,Import,No. Of Import partners,            107.00,             93.00,             68.00,             65.00,             64.00,             58.00,             62.00,             62.00,             55.00,,,,,,,,,,,,,,,,,,,
Palau,...,...,Import,No. Of Import products,           2989.00,           2938.00,           2973.00,           2928.00,           2957.00,           2958.00,           2966.00,           3082.00,           3138.00,,,,,,,,,,,,,,,,,,,
Palau,...,...,Tariff,No. Of Tariff Agreement,              1.00,,,              1.00,              1.00,              1.00,,,,,,,,,,,,,,,,,,,,,,
Palau,...,...,Development,Trade Balance (current US$ Mil),            -27.50,            -61.72,            -47.72,            -62.83,            -46.65,            -42.82,            -34.98,            -61.28,            -53.95,            -65.23,            -56.13,            -67.72,            -52.61,            -55.45,            -59.31,            -88.71,            -70.28,            -52.13,            -61.08,            -58.52,            -46.57,            -31.60,            -24.50,            -11.20,            -15.20,,,
Palau,Guam,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,              1.27,              0.28,,              0.28,,,,,,,,,,,,,,,,,,,,,,,,
Palau,Guam,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,              8.13,             20.31,             46.04,             31.68,             18.43,             13.88,             29.01,             13.02,,,,,,,,,,,,,,,,,,,
Palau,"Hong Kong, China",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,              0.28,,,,,,,,,,,,,,,,,,,,,,,,
Palau,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,              0.38,              4.63,,              7.42,,,,,,,,,,,,,,,,,,,,,,,,
Palau,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,             17.39,             20.08,             35.21,             13.71,             20.33,             13.17,              7.50,             11.77,             10.30,,,,,,,,,,,,,,,,,,,
Palau,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,              9.24,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palau,"Other Asia, nes",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,              0.13,              0.24,,              0.25,,,,,,,,,,,,,,,,,,,,,,,,
Palau,"Other Asia, nes",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,              8.40,,              6.49,              6.90,              5.50,              5.69,,              5.90,,,,,,,,,,,,,,,,,,,,
Palau,Philippines,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,              8.91,,,,,              6.89,,              7.01,,,,,,,,,,,,,,,,,,,
Palau,Singapore,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,             22.28,             32.47,             40.11,              6.67,             20.82,             19.18,             13.48,             25.99,             28.47,,,,,,,,,,,,,,,,,,,
Palau,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,              2.17,              4.37,,              0.31,,,,,,,,,,,,,,,,,,,,,,,,
Palau,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,             56.70,             54.84,             47.03,             52.59,             36.88,             37.40,             35.22,             38.71,             36.32,,,,,,,,,,,,,,,,,,,
Palau,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,              2.29,              1.37,,,,,,,,,,,,,,,,,,,,,,,,,,
Palau,World,All Products,Tariff,Duty Free Imports (US$ Thousand),          30718.22,,,          26295.23,          26295.23,          26295.23,,,,,,,,,,,,,,,,,,,,,,
Palau,World,Animal,Export,Export(US$ Mil),              0.51,              5.34,,              7.60,,,,,,,,,,,,,,,,,,,,,,,,
Palau,World,Capital goods,Export,Export(US$ Mil),              3.87,              3.13,,              0.56,,,,,,,,,,,,,,,,,,,,,,,,
Palau,World,Chemicals,Export,Export(US$ Mil),              0.08,              0.02,,              0.05,,,,,,,,,,,,,,,,,,,,,,,,
Palau,World,Consumer goods,Export,Export(US$ Mil),              0.61,              1.33,,              0.52,,,,,,,,,,,,,,,,,,,,,,,,
Palau,World,Food Products,Export,Export(US$ Mil),              0.13,              0.13,,              0.23,,,,,,,,,,,,,,,,,,,,,,,,
Palau,World,Footwear,Export,Export(US$ Mil),              0.00,              0.00,,              0.00,,,,,,,,,,,,,,,,,,,,,,,,
Palau,World,Fuels,Export,Export(US$ Mil),,,,              0.01,,,,,,,,,,,,,,,,,,,,,,,,
Palau,World,Hides and Skins,Export,Export(US$ Mil),              0.00,              0.22,,              0.01,,,,,,,,,,,,,,,,,,,,,,,,
Palau,World,Intermediate goods,Export,Export(US$ Mil),              1.27,              1.34,,              0.24,,,,,,,,,,,,,,,,,,,,,,,,
Palau,World,Mach and Elec,Export,Export(US$ Mil),              1.17,              1.47,,              0.22,,,,,,,,,,,,,,,,,,,,,,,,
Palau,World,Metals,Export,Export(US$ Mil),              1.45,              1.44,,              0.43,,,,,,,,,,,,,,,,,,,,,,,,
Palau,World,Minerals,Export,Export(US$ Mil),              0.00,              0.03,,              0.00,,,,,,,,,,,,,,,,,,,,,,,,
Palau,World,Miscellaneous,Export,Export(US$ Mil),              2.28,              1.42,,              0.24,,,,,,,,,,,,,,,,,,,,,,,,
Palau,World,Plastic or Rubber,Export,Export(US$ Mil),              0.11,              0.06,,              0.02,,,,,,,,,,,,,,,,,,,,,,,,
Palau,World,Raw materials,Export,Export(US$ Mil),              0.63,              5.60,,              7.65,,,,,,,,,,,,,,,,,,,,,,,,
Palau,World,Stone and Glass,Export,Export(US$ Mil),              0.02,              0.02,,              0.01,,,,,,,,,,,,,,,,,,,,,,,,
Palau,World,Textiles and Clothing,Export,Export(US$ Mil),              0.02,              0.02,,              0.01,,,,,,,,,,,,,,,,,,,,,,,,
Palau,World,Transportation,Export,Export(US$ Mil),              0.39,              0.65,,              0.14,,,,,,,,,,,,,,,,,,,,,,,,
Palau,World,Vegetable,Export,Export(US$ Mil),              0.01,              0.00,,              0.00,,,,,,,,,,,,,,,,,,,,,,,,
Palau,World,Wood,Export,Export(US$ Mil),              0.22,              0.60,,              0.03,,,,,,,,,,,,,,,,,,,,,,,,
Palau,World,All Products,Export,Exports (in US$ Mil),              6.38,             11.40,,              9.00,,,,,,,,,,,,,,,,,,,,,,,,
Palau,World,Capital goods,Import,Import(US$ Mil),             30.97,             30.75,             33.80,             22.11,             19.65,             20.35,             14.69,             22.08,             19.22,,,,,,,,,,,,,,,,,,,
Palau,World,Consumer goods,Import,Import(US$ Mil),             95.93,            109.04,            113.48,            102.01,             91.69,             71.38,             58.88,             89.19,             77.86,,,,,,,,,,,,,,,,,,,
Palau,World,Intermediate goods,Import,Import(US$ Mil),             12.33,             14.18,             11.95,              8.77,              9.48,              8.60,              9.27,             11.54,             10.61,,,,,,,,,,,,,,,,,,,
Palau,World,Raw materials,Import,Import(US$ Mil),             10.54,             10.17,              9.15,              8.85,              8.07,              6.65,              6.97,              7.19,              7.86,,,,,,,,,,,,,,,,,,,
Palau,World,All Products,Import,Imports (in US$ Mil),            150.32,            164.99,            168.55,            141.90,            129.18,            107.19,             89.86,            130.09,            116.02,,,,,,,,,,,,,,,,,,,
Palau,...,...,Development,"GNI per capita, Atlas method (current US$)",  12180.00,  10650.00,   9760.00,   9670.00,   9310.00,   8910.00,   8640.00,   9120.00,   9370.00,   9190.00,   9250.00,   8680.00,   7680.00,   7820.00,   6790.00,   5890.00,   6030.00,   6110.00,   6370.00,   6360.00,   5770.00,   4980.00,   4810.00,,,,,
Palau,...,...,Trade Indicator,HH Market concentration index,      0.32,      0.58,      0.81,      0.84,      0.86,      0.76,      0.83,      0.73,      0.75,,,,,,,,,,,,,,,,,,,
Palau,...,...,Trade Indicator,Index of export market penetration,      1.08,      1.06,      1.08,      1.08,      1.08,      1.06,      1.10,      1.10,      1.09,,,,,,,,,,,,,,,,,,,
Palau,...,...,Development,Trade (% of GDP),    134.48,    150.75,    142.62,    139.51,    138.13,    127.39,    118.84,    131.46,    120.50,    119.47,    114.52,    118.81,    111.59,    124.72,    123.64,    148.77,     85.85,     63.34,     74.82,     79.79,     78.02,     68.00,     78.91,     78.83,     58.91,,,
Palau,...,...,Development,Trade Balance (% of GDP),     -9.57,    -24.60,    -20.87,    -29.33,    -23.34,    -23.30,    -18.76,    -30.94,    -27.53,    -33.51,    -29.04,    -38.63,    -32.90,    -33.91,    -37.07,    -59.42,    -61.93,    -44.43,    -53.95,    -54.08,    -48.90,    -37.83,    -32.28,    -13.58,    -18.13,,,
Palau,...,...,Development,Trade in services (% of GDP),     75.48,     73.05,     73.38,     75.51,     70.49,     69.08,     64.82,     64.51,     58.23,     53.31,     53.10,,,,,,,,,,,,,,,,,
Palau,Guam,All Products,Export,Partner share(%)-Top 5 Export Partner,     19.89,      2.50,,      3.10,,,,,,,,,,,,,,,,,,,,,,,,
Palau,Guam,All Products,Import,Partner share(%)-Top 5 Import Partner,,      4.93,     12.05,     32.44,     24.52,     17.20,     15.45,     22.30,     11.23,,,,,,,,,,,,,,,,,,,
Palau,"Hong Kong, China",All Products,Export,Partner share(%)-Top 5 Export Partner,,,,      3.09,,,,,,,,,,,,,,,,,,,,,,,,
Palau,Japan,All Products,Export,Partner share(%)-Top 5 Export Partner,      6.00,     40.61,,     82.45,,,,,,,,,,,,,,,,,,,,,,,,
