Reporter,Partner,Product categories,Indicator Type,Indicator,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Paraguay,...,...,Development,GDP (current US$ Mil),          27282.58,          30881.17,          28965.91,          24595.32,          25099.68,          20030.53,          15929.90,          18504.13,          13794.91,          10646.16,           8734.65,           8033.88,           6588.10,           6325.15,           7662.60,           8195.99,           8392.55,           9024.57,           9965.23,           9788.39,           9062.13,           7870.98,           7249.53,           7157.42,           6984.37,           5695.20,           4599.97,           4082.63
Paraguay,...,...,Export,No. Of Export partners,            133.00,            127.00,            117.00,            125.00,            125.00,            127.00,            124.00,            123.00,            124.00,            113.00,            111.00,            107.00,            108.00,             86.00,             86.00,             81.00,             70.00,             68.00,             59.00,             60.00,             78.00,             79.00,             71.00,             73.00,             72.00,             70.00,             66.00,
Paraguay,...,...,Export,No. Of Export products,           1389.00,           1258.00,           1202.00,           1208.00,           1154.00,           1154.00,           1186.00,           1203.00,           1269.00,           1205.00,           1164.00,           1040.00,           1123.00,            579.00,            542.00,            547.00,            438.00,            433.00,            352.00,            365.00,            380.00,            371.00,            339.00,            324.00,            282.00,            223.00,            203.00,
Paraguay,...,...,Import,No. Of Import partners,            142.00,            139.00,            135.00,            123.00,            125.00,            115.00,            115.00,            116.00,            119.00,            112.00,            104.00,            114.00,             99.00,             82.00,             78.00,             82.00,             76.00,             77.00,             76.00,             82.00,             72.00,             66.00,             69.00,             69.00,             64.00,             66.00,             64.00,
Paraguay,...,...,Import,No. Of Import products,           3724.00,           3731.00,           3729.00,           3700.00,           3754.00,           3709.00,           3608.00,           3631.00,           3577.00,           3636.00,           3593.00,           3527.00,           3451.00,           3651.00,           3742.00,           3720.00,           3645.00,           3799.00,           3728.00,           3712.00,           3784.00,           3725.00,           3314.00,           3002.00,           3079.00,           3276.00,           3296.00,
Paraguay,...,...,Tariff,No. Of Tariff Agreement,             48.00,             46.00,             46.00,             44.00,             44.00,             48.00,             44.00,             44.00,             13.00,             13.00,             13.00,             13.00,              1.00,              1.00,              1.00,              3.00,              3.00,              1.00,              2.00,              2.00,              4.00,              1.00,,,              1.00,,,
Paraguay,...,...,Development,Trade Balance (current US$ Mil),            217.41,            712.54,           1373.05,            298.73,            564.38,            723.42,           1080.16,            827.74,           1356.43,           1031.27,           1065.77,           1064.10,           1002.49,           1104.42,            731.95,            704.42,            709.21,            710.59,            100.17,            239.40,            497.15,           -113.23,            452.14,            727.94,            876.18,,,
Paraguay,Algeria,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,             73.93,
Paraguay,Argentina,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            578.66,            653.61,            688.07,            545.98,            692.13,            555.29,            556.21,           1323.45,            876.51,            438.72,            375.40,            345.13,             69.81,,            299.10,            337.40,             53.28,            152.74,            103.59,             95.43,             83.28,             90.70,             64.94,             64.15,             45.03,             55.48,             48.98,
Paraguay,Argentina,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           1535.17,           1703.80,           1665.72,           1854.96,           1741.98,           1578.66,           1123.64,           1290.03,            839.20,            730.63,            652.88,            650.64,            431.99,            344.54,            526.45,            568.34,            339.48,            516.01,            676.16,            587.40,            518.53,            349.35,            242.36,            231.00,            175.13,            172.35,             80.87,
Paraguay,Bermuda,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,             43.16,,,,,,,,,
Paraguay,Brazil,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           2624.20,           2956.27,           2849.96,           2877.20,           2500.10,           2194.78,           2238.12,           2184.92,           2072.33,           1650.07,           1540.50,           1359.43,            433.28,            352.97,           1405.93,           1421.90,            234.97,            349.32,            457.61,            520.72,            410.82,            323.70,            215.12,            171.45,            203.04,            312.30,            328.48,
Paraguay,Brazil,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           2576.66,           3383.18,           3202.47,           2714.51,           3261.38,           2419.89,           1605.01,           2425.81,           1696.85,           1022.25,            890.16,            845.30,            652.92,            511.32,            602.75,            537.77,            545.06,            865.99,           1008.51,            981.99,            681.25,            598.68,            369.48,            283.09,            251.25,            222.39,            192.98,
Paraguay,Cayman Islands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,            169.17,            168.03,            203.05,            142.65,             78.10,             64.67,,,,,,,,,,,,,
Paraguay,Chile,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            591.67,            672.57,            529.22,,            541.43,            604.22,            388.25,            374.55,            202.95,,,,,             49.13,             61.46,             49.90,,             40.03,,,,             32.79,             42.25,             47.38,             47.63,,,
Paraguay,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           2417.03,           3078.32,           3434.09,           3183.56,           3662.44,           3433.30,           2051.45,           2471.49,           1623.47,           1268.47,            641.74,            419.80,            266.77,            211.44,            253.46,            260.37,,,,,,,,,,,,
Paraguay,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,            434.18,            574.98,,,,            169.56,,,,,,,,,,,,,,,,,             44.48,,
Paraguay,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,            274.98,,,,,,,,,,,,,,,,,,,,,,,,,,
Paraguay,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            305.75,,            343.08,            232.76,,            277.46,            145.87,,,,,,,,,,,,,,,,,,             39.32,,,
Paraguay,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,            278.37,            311.20,            394.86,            356.21,            342.17,            447.92,            258.46,            203.32,,             92.40,,,             96.34,            103.24,            116.98,,            266.91,            204.39,            272.46,            226.53,            204.13,            174.22,            191.89,            208.44,             92.23,
Paraguay,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            277.98,,,,,,,,,,,,,,,,,            257.09,,,,,,,,,,
Paraguay,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,            429.59,,,,,,,,,,,,,,             61.68,            137.14,            241.16,            276.58,            172.67,             89.68,            160.04,            189.25,            138.88,            109.60,            146.59,            186.90,
Paraguay,"Other Asia, nes",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,             48.88,,,,,,,
Paraguay,"Other Asia, nes",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,            146.56,            231.63,            243.20,            217.16,            237.32,            152.54,            112.89,             71.33,             95.19,             84.36,,
Paraguay,Panama,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,             54.03,
Paraguay,Russian Federation,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            761.42,           1037.54,            946.82,            708.73,            405.27,            428.02,            250.65,            328.85,            141.50,            224.63,            101.17,,,,,,,,,,,,,,,,,
Paraguay,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,             65.96,            101.91,,,,,,,,,,,,,             50.06,             73.79,
Paraguay,Switzerland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,            144.22,,             64.26,             66.98,,,,,,,,,,,,,,
Paraguay,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,             95.42,,,,,,,,,,,
Paraguay,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,             38.04,,,             58.14,             82.15,             58.05,             37.53,             43.87,             57.11,             53.17,             34.99,,,,
Paraguay,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            811.99,            967.95,            795.10,            932.96,            660.14,            444.57,,            410.41,            296.81,            330.78,            181.80,             98.60,             63.97,             83.58,            128.88,            160.20,            260.23,            294.15,            361.39,            348.28,            392.35,            284.46,            237.67,            199.01,            219.00,            170.68,            107.02,
Paraguay,Uruguay,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,            357.75,            473.84,            444.14,            269.80,            165.05,            180.02,            122.98,,,,             43.53,,,,,,,,
Paraguay,Venezuela,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,            257.39,,,,,,,,,,,,,,,,,,,,
Paraguay,Venezuela,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,            361.11,,,,,,,,,,,,,,,,,,,,,
Paraguay,World,All Products,Tariff,Duty Free Imports (US$ Thousand),        4972902.70,        6077626.88,        5905611.80,        5674292.77,        6356378.88,        4930913.04,        3585278.18,        4188321.14,        2794330.16,        2353059.13,        1655033.50,        1552865.57,         113095.83,           7172.78,          58255.29,          58170.69,         746128.06,          63940.09,          85947.46,          63997.59,        1391627.29,         474496.52,,,         199850.16,,,
Paraguay,World,Animal,Export,Export(US$ Mil),           1252.86,           1452.72,           1134.36,            836.38,            777.63,            943.54,            600.07,            643.29,            379.13,            430.77,            260.89,            157.52,             53.76,             88.63,             83.70,             86.22,             44.74,             88.08,             74.03,             57.99,             64.02,             68.32,             52.82,             47.72,             55.06,            135.16,             96.58,
Paraguay,World,Capital goods,Export,Export(US$ Mil),             95.54,             84.15,             70.66,             58.55,             41.34,             33.58,             24.16,             36.64,             26.78,             23.55,             15.89,              7.82,              5.24,              3.71,              4.76,              5.47,              5.90,              9.18,              5.22,              4.31,              7.25,              7.64,              4.65,              1.19,              1.52,              1.42,              0.18,
Paraguay,World,Chemicals,Export,Export(US$ Mil),            106.17,            108.85,            135.81,            111.91,             78.82,             68.13,             68.69,             55.53,             54.57,             46.19,             36.05,             32.26,             29.96,             24.93,             24.32,             19.39,             17.24,             19.31,             21.80,             21.95,             23.72,             20.51,             14.09,             20.76,             24.79,             30.93,             31.48,
Paraguay,World,Consumer goods,Export,Export(US$ Mil),            647.47,            632.50,            519.71,            511.93,            445.45,            350.99,            269.45,            274.79,            203.62,            141.25,            110.79,            104.52,             91.16,             76.58,             93.08,             87.57,             70.06,             69.71,             66.99,            107.60,             49.72,             35.91,             21.79,             21.83,             20.64,             36.68,             29.94,
Paraguay,World,Food Products,Export,Export(US$ Mil),           1061.80,           1314.66,           1131.23,            416.82,            582.28,            446.65,            466.59,            649.28,            371.88,            194.82,            180.80,            221.56,            189.08,            158.95,            136.26,            113.72,             94.66,             98.34,            138.35,            114.43,             68.51,             47.72,             74.11,             75.04,             50.34,             36.24,             37.77,
Paraguay,World,Footwear,Export,Export(US$ Mil),             14.48,             27.13,             33.98,             33.24,             16.64,             17.51,              9.03,              1.07,              0.18,              0.13,              0.19,              0.14,              0.25,              0.10,              0.12,              0.25,              1.14,              0.58,              0.69,              0.20,              0.63,              1.79,              0.32,              0.23,              0.59,              0.22,              0.08,
Paraguay,World,Fuels,Export,Export(US$ Mil),           2089.34,           2186.15,           2266.40,           2259.05,           2280.62,           1986.89,           1919.40,           1944.48,           1906.62,           1629.14,           1497.49,           1321.39,              1.18,              2.94,           1366.68,           1331.79,              1.10,              0.08,              0.66,              6.45,              1.86,              2.08,              1.59,              3.03,              0.71,,,
Paraguay,World,Hides and Skins,Export,Export(US$ Mil),            166.80,            210.13,            167.76,            117.03,            108.18,             99.96,             51.75,             93.70,             94.60,             82.04,             65.73,             62.07,             58.01,             60.19,             60.55,             57.51,             36.39,             38.66,             42.67,             42.77,             58.71,             65.88,             56.22,             39.72,             29.39,             29.85,             24.59,
Paraguay,World,Intermediate goods,Export,Export(US$ Mil),           3900.66,           4380.19,           4290.10,           3096.16,           3460.98,           2930.42,           2802.70,           3402.98,           2753.24,           2131.54,           1944.87,           1798.48,            397.27,            340.76,           1664.52,           1606.89,            218.64,            281.53,            359.53,            311.14,            306.30,            283.64,            244.96,            228.18,            165.05,            134.79,            136.84,
Paraguay,World,Mach and Elec,Export,Export(US$ Mil),            147.79,            128.12,             68.38,             72.46,             52.80,             37.67,             17.59,             29.41,             22.76,             20.10,             12.55,              6.88,              3.61,              4.00,              6.17,              4.02,              4.67,              8.99,              3.83,              4.38,              5.41,              1.12,              2.30,              0.88,              1.57,              0.76,              0.17,
Paraguay,World,Metals,Export,Export(US$ Mil),             59.35,             76.92,             75.99,             61.98,             77.33,             40.60,             22.94,             54.00,             44.89,             41.74,             33.09,             25.28,             14.50,             11.27,              9.82,             10.10,              3.64,             12.07,             17.43,             13.98,             13.45,             23.27,             12.85,              8.79,              6.29,              2.18,              4.20,
Paraguay,World,Minerals,Export,Export(US$ Mil),              3.80,              5.93,              7.39,              5.53,              6.54,              4.70,              4.84,              3.08,              3.02,              2.38,              2.60,              2.41,              1.36,              0.33,              1.78,              0.70,              0.26,              0.51,              1.90,              1.64,              2.34,              2.04,              1.24,              1.05,              0.51,              0.06,              0.19,
Paraguay,World,Miscellaneous,Export,Export(US$ Mil),             37.88,             42.34,             31.65,             35.86,             26.22,             15.19,             12.65,             14.63,             14.48,              8.88,              6.44,              3.10,              2.09,              3.84,              3.22,              5.63,              2.32,              3.12,              3.33,              1.99,              0.93,              0.57,              0.77,              0.61,              0.37,              0.12,              0.01,
Paraguay,World,Plastic or Rubber,Export,Export(US$ Mil),             92.32,            112.97,             89.51,             95.30,            119.60,             90.97,             68.99,             62.95,             48.41,             24.67,             20.27,             15.64,             10.56,              5.35,              9.40,              7.12,              4.45,              3.75,              4.95,             14.70,              3.93,              0.19,              0.07,              0.04,              0.06,              0.05,              0.12,
Paraguay,World,Raw materials,Export,Export(US$ Mil),           3683.87,           4538.50,           4575.39,           3603.44,           3828.55,           3201.54,           1983.30,           2692.71,           1737.76,           1176.02,           1081.01,            963.64,            812.06,            527.77,            593.83,            497.87,            445.11,            653.60,            708.59,            613.50,            554.21,            487.56,            452.23,            402.33,            549.12,            785.79,            842.49,
Paraguay,World,Stone and Glass,Export,Export(US$ Mil),             55.54,             42.18,             50.81,             42.64,             16.96,              8.35,              7.91,             12.70,              7.14,              6.01,              1.85,              2.74,              1.81,              1.54,              1.16,              1.55,              0.15,              0.60,              0.41,              0.35,              0.41,              0.65,              0.14,              0.02,              0.02,              0.01,              0.03,
Paraguay,World,Textiles and Clothing,Export,Export(US$ Mil),            140.14,            158.34,            143.71,            154.75,            128.51,            108.24,             81.94,             99.59,            112.39,             94.40,            120.02,            146.53,             82.92,             55.49,            114.61,            116.37,             83.70,            106.89,            112.01,            231.91,            306.08,            175.09,            167.82,            216.15,            325.69,            352.22,            320.00,
Paraguay,World,Transportation,Export,Export(US$ Mil),             55.69,             34.84,             24.89,              4.79,              1.77,              3.26,              8.26,             12.40,              2.46,              1.32,              2.18,              0.24,              0.32,              0.14,              0.03,              0.12,              0.49,              0.91,              0.72,              0.95,              1.81,              6.56,              2.25,              0.35,              0.18,              0.62,              0.02,
