rundate,reporting_period,airport_name,this_year_pax,this_year_total_pax_UK_airports,last_year_pax,last_year_total_pax_UK_airports
12/04/2019 14:07,201902,HEATHROW,80313566,293769583,78178271,285041908
12/04/2019 14:07,201902,GATWICK,46306306,293769583,45623811,285041908
12/04/2019 14:07,201902,MANCHESTER,28493741,293769583,27789331,285041908
12/04/2019 14:07,201902,STANSTED,28265690,293769583,26037288,285041908
12/04/2019 14:07,201902,LUTON,17027652,293769583,16019430,285041908
12/04/2019 14:07,201902,EDINBURGH,14468505,293769583,13499186,285041908
12/04/2019 14:07,201902,BIRMINGHAM,12516728,293769583,12909139,285041908
12/04/2019 14:07,201902,GLASGOW,9565060,293769583,9840823,285041908
12/04/2019 14:07,201902,BRISTOL,8737068,293769583,8273759,285041908
12/04/2019 14:07,201902,BELFAST INTERNATIONAL,6373863,293769583,5803028,285041908
12/04/2019 14:07,201902,NEWCASTLE,5317896,293769583,5304396,285041908
12/04/2019 14:07,201902,LIVERPOOL (JOHN LENNON),5041006,293769583,4915364,285041908
12/04/2019 14:07,201902,LONDON CITY,4876524,293769583,4537870,285041908
12/04/2019 14:07,201902,EAST MIDLANDS INTERNATIONAL,4872959,293769583,4854843,285041908
12/04/2019 14:07,201902,LEEDS BRADFORD,4039739,293769583,4071756,285041908
12/04/2019 14:07,201902,ABERDEEN,3025081,293769583,3109879,285041908
12/04/2019 14:07,201902,BELFAST CITY (GEORGE BEST),2508814,293769583,2564798,285041908
12/04/2019 14:07,201902,SOUTHAMPTON,1970981,293769583,2068364,285041908
12/04/2019 14:07,201902,CARDIFF WALES,1581897,293769583,1475634,285041908
12/04/2019 14:07,201902,SOUTHEND,1489797,293769583,1123078,285041908
12/04/2019 14:07,201902,DONCASTER SHEFFIELD,1227271,293769583,1315503,285041908
12/04/2019 14:07,201902,EXETER,939457,293769583,919167,285041908
12/04/2019 14:07,201902,INVERNESS,896798,293769583,868182,285041908
12/04/2019 14:07,201902,BOURNEMOUTH,681965,293769583,690557,285041908
12/04/2019 14:07,201902,PRESTWICK,674775,293769583,696907,285041908
12/04/2019 14:07,201902,NORWICH,539000,293769583,525101,285041908
12/04/2019 14:07,201902,NEWQUAY,463454,293769583,464749,285041908
12/04/2019 14:07,201902,SUMBURGH,247013,293769583,261717,285041908
12/04/2019 14:07,201902,HUMBERSIDE,194318,293769583,189698,285041908
12/04/2019 14:07,201902,CITY OF DERRY (EGLINTON),184672,293769583,182900,285041908
12/04/2019 14:07,201902,KIRKWALL,169024,293769583,166608,285041908
12/04/2019 14:07,201902,SCATSTA,165572,293769583,174685,285041908
12/04/2019 14:07,201902,DURHAM TEES VALLEY,139358,293769583,130956,285041908
12/04/2019 14:07,201902,STORNOWAY,131401,293769583,134119,285041908
12/04/2019 14:07,201902,ISLES OF SCILLY (ST.MARYS),92614,293769583,92095,285041908
12/04/2019 14:07,201902,LANDS END (ST JUST),64292,293769583,59244,285041908
12/04/2019 14:07,201902,BENBECULA,35868,293769583,33458,285041908
12/04/2019 14:07,201902,ISLAY,32345,293769583,32773,285041908
12/04/2019 14:07,201902,DUNDEE,21328,293769583,21391,285041908
12/04/2019 14:07,201902,BLACKPOOL,18286,293769583,22360,285041908
12/04/2019 14:07,201902,WICK JOHN O GROATS,16484,293769583,17382,285041908
12/04/2019 14:07,201902,BARRA,14617,293769583,14829,285041908
12/04/2019 14:07,201902,TIREE,12315,293769583,12098,285041908
12/04/2019 14:07,201902,CAMPBELTOWN,8430,293769583,8690,285041908
12/04/2019 14:07,201902,LERWICK (TINGWALL),3877,293769583,4158,285041908
12/04/2019 14:07,201902,BIGGIN HILL,1797,293769583,1446,285041908
12/04/2019 14:07,201902,LYDD,279,293769583,843,285041908
12/04/2019 14:07,201902,OXFORD (KIDLINGTON),100,293769583,0,285041908
12/04/2019 14:07,201902,GLOUCESTERSHIRE,0,293769583,244,285041908

