rundate,reporting_period,reporting_airport_group_name,reporting_airport_name,grand_total,air_transport,air_taxi,positioning_flights,local_movements,test_and_training,other_flights,aero_club,private_flights,official,military,business_aviation
12/04/2019 14:17,201902,London Area Airports,GATWICK,19947,19559,0,270,0,6,8,0,0,2,0,102
12/04/2019 14:17,201902,London Area Airports,HEATHROW,35347,35152,21,148,0,2,0,0,28,15,2,0
12/04/2019 14:17,201902,London Area Airports,LONDON CITY,6555,6454,305,60,0,41,0,0,0,0,0,0
12/04/2019 14:17,201902,London Area Airports,LUTON,9767,7551,0,106,0,2,21,0,8,8,0,2071
12/04/2019 14:17,201902,London Area Airports,SOUTHEND,1900,884,13,74,10,127,26,525,191,0,0,63
12/04/2019 14:17,201902,London Area Airports,STANSTED,13823,12772,20,399,0,0,67,0,0,0,4,581
12/04/2019 14:17,201902,Miscellaneous,METRO LONDON HELIPORT,521,134,134,120,44,0,83,0,128,0,0,12
12/04/2019 14:17,201902,Non UK Reporting Airports,ALDERNEY,478,286,10,3,59,8,2,35,85,0,0,0
12/04/2019 14:17,201902,Non UK Reporting Airports,GUERNSEY,2526,1487,66,86,285,16,16,319,251,0,10,56
12/04/2019 14:17,201902,Non UK Reporting Airports,ISLE OF MAN,1578,1125,118,64,0,4,4,108,121,0,14,138
12/04/2019 14:17,201902,Non UK Reporting Airports,JERSEY,2703,1542,2,27,0,11,391,674,0,48,10,0
12/04/2019 14:17,201902,Other UK Airports,ABERDEEN,6665,5899,489,213,1,306,167,73,0,0,2,4
12/04/2019 14:17,201902,Other UK Airports,BARRA,98,98,0,0,0,0,0,0,0,0,0,0
12/04/2019 14:17,201902,Other UK Airports,BELFAST CITY (GEORGE BEST),2550,2517,12,16,0,0,0,0,3,8,4,2
12/04/2019 14:17,201902,Other UK Airports,BELFAST INTERNATIONAL,4337,3457,84,77,153,8,0,115,17,0,453,57
12/04/2019 14:17,201902,Other UK Airports,BENBECULA,263,245,109,13,0,0,0,0,0,0,5,0
12/04/2019 14:17,201902,Other UK Airports,BIGGIN HILL,2749,750,732,12,0,0,0,999,660,0,4,324
12/04/2019 14:17,201902,Other UK Airports,BIRMINGHAM,7532,7080,112,144,4,10,239,0,49,0,6,0
12/04/2019 14:17,201902,Other UK Airports,BLACKPOOL,3120,444,106,16,0,89,0,1992,529,0,10,40
12/04/2019 14:17,201902,Other UK Airports,BOURNEMOUTH,2501,238,0,19,0,1337,312,142,336,0,12,105
12/04/2019 14:17,201902,Other UK Airports,BRISTOL,4062,3994,0,68,0,0,0,0,0,0,0,0
12/04/2019 14:17,201902,Other UK Airports,CAMBRIDGE,1017,0,0,0,194,3,0,546,144,0,19,111
12/04/2019 14:17,201902,Other UK Airports,CAMPBELTOWN,102,75,9,9,0,8,0,0,8,0,2,0
12/04/2019 14:17,201902,Other UK Airports,CARDIFF WALES,2299,988,1,54,0,20,0,728,501,0,8,0
12/04/2019 14:17,201902,Other UK Airports,CARLISLE,1105,10,10,35,0,0,0,669,220,0,140,31
12/04/2019 14:17,201902,Other UK Airports,CITY OF DERRY (EGLINTON),378,178,2,5,16,79,0,8,74,2,8,8
12/04/2019 14:17,201902,Other UK Airports,COVENTRY,2403,0,0,0,0,1583,0,0,820,0,0,0
12/04/2019 14:17,201902,Other UK Airports,DONCASTER SHEFFIELD,1537,628,144,24,0,133,31,689,12,0,20,0
12/04/2019 14:17,201902,Other UK Airports,DUNDEE,3227,99,5,11,18,40,5,2966,40,0,32,16
12/04/2019 14:17,201902,Other UK Airports,DURHAM TEES VALLEY,1135,288,5,4,0,17,390,351,49,0,36,0
12/04/2019 14:17,201902,Other UK Airports,EAST MIDLANDS INTERNATIONAL,4968,3729,339,296,0,97,238,0,135,0,4,469
