rundate,reporting_period,reporting_airport_group_name,reporting_airport_name,total_atms,total_cancelled_atms,total_atms_excl_cancelled
12/04/2019 14:47,201902,Other UK Airports,ABERDEEN,"5,626",216,"5,410"
12/04/2019 14:47,201902,Non UK Reporting Airports,ALDERNEY,309,33,276
12/04/2019 14:47,201902,Other UK Airports,BARRA,100,2,98
12/04/2019 14:47,201902,Other UK Airports,BELFAST CITY (GEORGE BEST),"2,528",23,"2,505"
12/04/2019 14:47,201902,Other UK Airports,BELFAST INTERNATIONAL,"3,381",8,"3,373"
12/04/2019 14:47,201902,Other UK Airports,BENBECULA,136,,136
12/04/2019 14:47,201902,Other UK Airports,BIGGIN HILL,18,,18
12/04/2019 14:47,201902,Other UK Airports,BIRMINGHAM,"7,027",59,"6,968"
12/04/2019 14:47,201902,Other UK Airports,BLACKPOOL,338,,338
12/04/2019 14:47,201902,Other UK Airports,BOURNEMOUTH,238,,238
12/04/2019 14:47,201902,Other UK Airports,BRISTOL,"3,994",,"3,994"
12/04/2019 14:47,201902,Other UK Airports,CAMPBELTOWN,79,13,66
12/04/2019 14:47,201902,Other UK Airports,CARDIFF WALES,"1,004",17,987
12/04/2019 14:47,201902,Other UK Airports,DONCASTER SHEFFIELD,486,2,484
12/04/2019 14:47,201902,Other UK Airports,DUNDEE,95,1,94
12/04/2019 14:47,201902,Other UK Airports,EAST MIDLANDS INTERNATIONAL,"3,439",49,"3,390"
12/04/2019 14:47,201902,Other UK Airports,EDINBURGH,"8,514",76,"8,438"
12/04/2019 14:47,201902,Other UK Airports,EXETER,922,6,916
12/04/2019 14:47,201902,Other UK Airports,GLASGOW,"5,246",72,"5,174"
12/04/2019 14:47,201902,Other UK Airports,PRESTWICK,188,,188
12/04/2019 14:47,201902,Non UK Reporting Airports,GUERNSEY,"1,486",65,"1,421"
12/04/2019 14:47,201902,Other UK Airports,HUMBERSIDE,558,58,500
12/04/2019 14:47,201902,Other UK Airports,INVERNESS,754,,754
12/04/2019 14:47,201902,Other UK Airports,ISLAY,125,7,118
12/04/2019 14:47,201902,Non UK Reporting Airports,ISLE OF MAN,"1,024",17,"1,007"
12/04/2019 14:47,201902,Other UK Airports,ISLES OF SCILLY (ST.MARYS),433,,433
12/04/2019 14:47,201902,Non UK Reporting Airports,JERSEY,"1,585",45,"1,540"
12/04/2019 14:47,201902,Other UK Airports,KIRKWALL,789,10,779
12/04/2019 14:47,201902,Other UK Airports,LANDS END (ST JUST),393,,393
12/04/2019 14:47,201902,Other UK Airports,LEEDS BRADFORD,"1,624",15,"1,609"
12/04/2019 14:47,201902,Other UK Airports,LERWICK (TINGWALL),62,,62
12/04/2019 14:47,201902,Other UK Airports,LIVERPOOL (JOHN LENNON),"2,506",10,"2,496"
12/04/2019 14:47,201902,London Area Airports,GATWICK,"19,659",100,"19,559"
12/04/2019 14:47,201902,London Area Airports,HEATHROW,"35,488",357,"35,131"
12/04/2019 14:47,201902,London Area Airports,LONDON CITY,"6,411",262,"6,149"
12/04/2019 14:47,201902,London Area Airports,LUTON,"7,557",6,"7,551"
12/04/2019 14:47,201902,London Area Airports,STANSTED,"12,770",18,"12,752"
12/04/2019 14:47,201902,Other UK Airports,CITY OF DERRY (EGLINTON),178,2,176
12/04/2019 14:47,201902,Other UK Airports,MANCHESTER,"12,693",116,"12,577"
12/04/2019 14:47,201902,Other UK Airports,NEWCASTLE,"2,443",74,"2,369"
12/04/2019 14:47,201902,Other UK Airports,NEWQUAY,339,10,329
12/04/2019 14:47,201902,Other UK Airports,NORWICH,"1,470",,"1,470"
12/04/2019 14:47,201902,Other UK Airports,SCATSTA,393,,393
12/04/2019 14:47,201902,Other UK Airports,SUMBURGH,830,8,822
12/04/2019 14:47,201902,Other UK Airports,SHOREHAM,-,,-
12/04/2019 14:47,201902,Other UK Airports,SOUTHAMPTON,"2,400",178,"2,222"
12/04/2019 14:47,201902,London Area Airports,SOUTHEND,900,29,871
12/04/2019 14:47,201902,Other UK Airports,STORNOWAY,420,2,418
12/04/2019 14:47,201902,Other UK Airports,DURHAM TEES VALLEY,301,18,283
12/04/2019 14:47,201902,Other UK Airports,TIREE,128,4,124
12/04/2019 14:47,201902,Other UK Airports,WICK JOHN O GROATS,114,6,108

