rundate,report_period,Reporting_Airport_Group_Name,rpt_apt_name,Total_EU_ATM,Scheduled_All_EU_International_ATM,scheduled_passenger_EU_international_atm,charter_all_EU_international_atm,charter_EU_international_passenger_atm,total_non_EU_international_atm,scheduled_all_non_EU_international_atm,scheduled_passenger_non_EU_international_atm,charter_all_non_EU_international_atm,charter_passenger_non_EU_international_atm,total_domestic_atm,scheduled_all_domestic_atm,scheduled_passenger_domestic_atm,charter_all_domestic_atm,charter_passenger_domestic_atm
12/04/2019 14:30,201902,Other UK Airports,ABERDEEN,518,502,501,16,16,2791,360,360,2431,2389,2317,1990,1990,327,238
12/04/2019 14:30,201902,Non UK Reporting Airports,ALDERNEY,0,0,0,0,0,0,0,0,0,0,309,309,308,0,0
12/04/2019 14:30,201902,Other UK Airports,BARRA,0,0,0,0,0,0,0,0,0,0,100,100,100,0,0
12/04/2019 14:30,201902,Other UK Airports,BELFAST CITY (GEORGE BEST),50,42,42,8,8,1,0,0,1,1,2477,2477,2477,0,0
12/04/2019 14:30,201902,Other UK Airports,BELFAST INTERNATIONAL,728,589,589,139,64,58,48,48,10,8,2595,2392,2392,203,12
12/04/2019 14:30,201902,Other UK Airports,BENBECULA,0,0,0,0,0,0,0,0,0,0,136,136,136,0,0
12/04/2019 14:30,201902,Other UK Airports,BIGGIN HILL,14,0,0,14,14,4,0,0,4,4,0,0,0,0,0
12/04/2019 14:30,201902,Other UK Airports,BIRMINGHAM,4577,4366,4214,211,210,832,754,754,78,77,1618,1618,1554,0,0
12/04/2019 14:30,201902,Other UK Airports,BLACKPOOL,0,0,0,0,0,338,0,0,338,338,0,0,0,0,0
12/04/2019 14:30,201902,Other UK Airports,BOURNEMOUTH,165,113,113,52,52,54,48,48,6,6,19,16,16,3,3
12/04/2019 14:30,201902,Other UK Airports,BRISTOL,2887,2715,2715,172,172,266,208,208,58,58,841,838,838,3,3
12/04/2019 14:30,201902,Other UK Airports,CAMPBELTOWN,0,0,0,0,0,0,0,0,0,0,79,79,79,0,0
12/04/2019 14:30,201902,Other UK Airports,CARDIFF WALES,584,492,492,92,92,58,56,56,2,2,362,354,354,8,8
12/04/2019 14:30,201902,Other UK Airports,CITY OF DERRY (EGLINTON),0,0,0,0,0,0,0,0,0,0,178,178,178,0,0
12/04/2019 14:30,201902,Other UK Airports,DONCASTER SHEFFIELD,421,343,340,78,78,20,14,0,6,3,45,44,44,1,1
12/04/2019 14:30,201902,Other UK Airports,DUNDEE,0,0,0,0,0,0,0,0,0,0,95,92,92,3,3
12/04/2019 14:30,201902,Other UK Airports,DURHAM TEES VALLEY,145,145,145,0,0,2,0,0,2,2,154,153,153,1,1
12/04/2019 14:30,201902,Other UK Airports,EAST MIDLANDS INTERNATIONAL,2172,1479,1016,693,112,197,173,26,24,18,1070,935,495,135,1
12/04/2019 14:30,201902,Other UK Airports,EDINBURGH,3301,3185,3107,116,111,513,505,505,8,8,4700,4652,4392,48,0
12/04/2019 14:30,201902,Other UK Airports,EXETER,361,302,302,59,59,10,8,8,2,2,551,512,512,39,0
12/04/2019 14:30,201902,London Area Airports,GATWICK,12300,11686,11686,614,614,5096,4844,4844,252,252,2263,2245,2245,18,18
12/04/2019 14:30,201902,Other UK Airports,GLASGOW,1488,1428,1397,60,60,223,218,218,5,5,3535,3535,3513,0,0
12/04/2019 14:30,201902,Non UK Reporting Airports,GUERNSEY,12,10,10,2,2,0,0,0,0,0,1474,1333,1332,141,1
12/04/2019 14:30,201902,London Area Airports,HEATHROW,15697,15685,15563,12,12,17172,17167,17082,5,5,2619,2619,2618,0,0
12/04/2019 14:30,201902,Other UK Airports,HUMBERSIDE,159,159,159,0,0,266,0,0,266,261,133,133,133,0,0
12/04/2019 14:30,201902,Other UK Airports,INVERNESS,72,72,72,0,0,0,0,0,0,0,682,678,678,4,0
12/04/2019 14:30,201902,Other UK Airports,ISLAY,0,0,0,0,0,0,0,0,0,0,125,125,125,0,0
12/04/2019 14:30,201902,Non UK Reporting Airports,ISLE OF MAN,88,86,86,2,2,8,8,8,0,0,928,888,888,40,0
12/04/2019 14:30,201902,Other UK Airports,ISLES OF SCILLY (ST.MARYS),0,0,0,0,0,0,0,0,0,0,433,433,346,0,0
12/04/2019 14:30,201902,Non UK Reporting Airports,JERSEY,18,0,0,18,18,8,8,8,0,0,1559,1542,1437,17,0
12/04/2019 14:30,201902,Other UK Airports,KIRKWALL,0,0,0,0,0,0,0,0,0,0,789,787,782,2,2
12/04/2019 14:30,201902,Other UK Airports,LANDS END (ST JUST),0,0,0,0,0,0,0,0,0,0,393,393,314,0,0
12/04/2019 14:30,201902,Other UK Airports,LEEDS BRADFORD,1148,1148,1148,0,0,74,72,72,2,2,402,402,402,0,0
12/04/2019 14:30,201902,Other UK Airports,LERWICK (TINGWALL),0,0,0,0,0,0,0,0,0,0,62,62,62,0,0
12/04/2019 14:30,201902,Other UK Airports,LIVERPOOL (JOHN LENNON),1571,1528,1528,43,6,190,184,184,6,6,745,737,737,8,8
12/04/2019 14:30,201902,London Area Airports,LONDON CITY,4039,4039,4039,0,0,833,833,833,0,0,1539,1539,1539,0,0
12/04/2019 14:30,201902,London Area Airports,LUTON,5866,5807,5639,59,59,1081,1081,1064,0,0,610,608,608,2,2
12/04/2019 14:30,201902,Other UK Airports,MANCHESTER,7542,7142,7110,400,396,2503,2334,2334,169,168,2648,2645,2629,3,3
12/04/2019 14:30,201902,Other UK Airports,NEWCASTLE,1288,1255,1255,33,2,166,164,164,2,2,989,983,983,6,4
12/04/2019 14:30,201902,Other UK Airports,NEWQUAY,52,52,52,0,0,0,0,0,0,0,287,287,287,0,0
12/04/2019 14:30,201902,Other UK Airports,NORWICH,203,195,195,8,8,946,0,0,946,946,321,320,320,1,1
