rundate,this_period,last_period,reporting_airport_group_name,reporting_airport_name,total_atms_this_period,atms_passenger_aircraft_this_period,atms_cargo_aircraft_this_period,total_atms_last_period,atms_passenger_aircraft_last_period,atms_cargo_aircraft_last_period,total_atms_percent,atms_passenger_aircraft_percent,atms_cargo_aircraft_percent
12/04/2019 14:35,201902,201802,Other UK Airports,ABERDEEN,5626,5494,132,6316,6184,132,-10.924636,-11.157827,0.000000
12/04/2019 14:35,201902,201802,Non UK Reporting Airports,ALDERNEY,309,308,1,321,321,0,-3.738318,-4.049844,
12/04/2019 14:35,201902,201802,Other UK Airports,BARRA,100,100,0,106,106,0,-5.660377,-5.660377,
12/04/2019 14:35,201902,201802,Other UK Airports,BELFAST CITY (GEORGE BEST),2528,2528,0,2652,2652,0,-4.675716,-4.675716,
12/04/2019 14:35,201902,201802,Other UK Airports,BELFAST INTERNATIONAL,3381,3113,268,2894,2625,269,16.827920,18.590476,-0.371747
12/04/2019 14:35,201902,201802,Other UK Airports,BENBECULA,136,136,0,140,140,0,-2.857143,-2.857143,
12/04/2019 14:35,201902,201802,Other UK Airports,BIGGIN HILL,18,18,0,19,19,0,-5.263158,-5.263158,
12/04/2019 14:35,201902,201802,Other UK Airports,BIRMINGHAM,7027,6809,218,6982,6755,227,0.644514,0.799408,-3.964758
12/04/2019 14:35,201902,201802,Other UK Airports,BLACKPOOL,338,338,0,407,407,0,-16.953317,-16.953317,
12/04/2019 14:35,201902,201802,Other UK Airports,BOURNEMOUTH,238,238,0,201,201,0,18.407960,18.407960,
12/04/2019 14:35,201902,201802,Other UK Airports,BRISTOL,3994,3994,0,4246,4246,0,-5.934998,-5.934998,
12/04/2019 14:35,201902,201802,Other UK Airports,CAMPBELTOWN,79,79,0,80,80,0,-1.250000,-1.250000,
12/04/2019 14:35,201902,201802,Other UK Airports,CARDIFF WALES,1004,1004,0,1072,1072,0,-6.343284,-6.343284,
12/04/2019 14:35,201902,201802,Other UK Airports,CITY OF DERRY (EGLINTON),178,178,0,177,177,0,0.564972,0.564972,
12/04/2019 14:35,201902,201802,Other UK Airports,DONCASTER SHEFFIELD,486,466,20,436,431,5,11.467890,8.120650,300.000000
