rundate,reporting_period,reporting_airport_group_name,reporting_airport_name,total_pax,pax_terminal_scheduled_UK,pax_transit_scheduled_UK,pax_terminal_scheduled_foreign_EU,pax_transit_scheduled_foreign_EU,pax_terminal_scheduled_foreign_non_EU,pax_transit_scheduled_foreign_non_EU,pax_terminal_charter_UK,pax_transit_charter_UK,pax_terminal_charter_foreign_EU,pax_transit_charter_foreign_EU,pax_terminal_charter_foreign_non_EU,pax_transit_charter_foreign_non_EU
12/04/2019 14:36,201902,Other UK Airports,ABERDEEN,196653,105155,0,44610,0,6281,0,38235,0,2372,0,0,0
12/04/2019 14:36,201902,Non UK Reporting Airports,ALDERNEY,2923,2923,0,0,0,0,0,0,0,0,0,0,0
12/04/2019 14:36,201902,Other UK Airports,BARRA,959,959,0,0,0,0,0,0,0,0,0,0,0
12/04/2019 14:36,201902,Other UK Airports,BELFAST CITY (GEORGE BEST),173705,150077,0,23029,0,0,0,595,0,4,0,0,0
12/04/2019 14:36,201902,Other UK Airports,BELFAST INTERNATIONAL,446116,353951,0,80573,0,0,0,10291,0,1227,0,74,0
12/04/2019 14:36,201902,Other UK Airports,BENBECULA,2651,2651,0,0,0,0,0,0,0,0,0,0,0
12/04/2019 14:36,201902,Other UK Airports,BIGGIN HILL,84,0,0,0,0,0,0,0,0,84,0,0,0
12/04/2019 14:36,201902,Other UK Airports,BIRMINGHAM,792205,291741,63,331138,0,112901,0,54486,0,1512,0,364,0
12/04/2019 14:36,201902,Other UK Airports,BLACKPOOL,1258,0,0,0,0,0,0,1258,0,0,0,0,0
12/04/2019 14:36,201902,Other UK Airports,BOURNEMOUTH,34274,3675,0,18177,0,3032,0,9359,0,31,0,0,0
12/04/2019 14:36,201902,Other UK Airports,BRISTOL,523742,337257,348,142414,0,197,0,37535,0,5728,0,263,0
12/04/2019 14:36,201902,Other UK Airports,CAMPBELTOWN,465,465,0,0,0,0,0,0,0,0,0,0,0
12/04/2019 14:36,201902,Other UK Airports,CARDIFF WALES,78061,34993,0,20148,151,5435,0,16417,0,917,0,0,0
12/04/2019 14:36,201902,Other UK Airports,CITY OF DERRY (EGLINTON),13865,2768,0,11097,0,0,0,0,0,0,0,0,0
12/04/2019 14:36,201902,Other UK Airports,DONCASTER SHEFFIELD,68048,12021,0,40866,0,91,0,14681,0,374,0,15,0
12/04/2019 14:36,201902,Other UK Airports,DUNDEE,1543,1531,0,0,0,0,0,0,0,12,0,0,0
12/04/2019 14:36,201902,Other UK Airports,DURHAM TEES VALLEY,11283,1450,317,9089,0,0,0,427,0,0,0,0,0
12/04/2019 14:36,201902,Other UK Airports,EAST MIDLANDS INTERNATIONAL,213338,88976,0,102819,0,0,0,20989,0,554,0,0,0
12/04/2019 14:36,201902,Other UK Airports,EDINBURGH,938914,540433,0,339803,0,41507,211,15440,0,1520,0,0,0
12/04/2019 14:36,201902,Other UK Airports,EXETER,61279,50280,0,55,0,0,0,10849,0,95,0,0,0
12/04/2019 14:36,201902,London Area Airports,GATWICK,3098831,2144944,0,541328,0,248929,0,152816,0,9425,0,1389,0
12/04/2019 14:36,201902,Other UK Airports,GLASGOW,533638,397363,357,84567,0,38838,0,11644,0,869,0,0,0
12/04/2019 14:36,201902,Non UK Reporting Airports,GUERNSEY,53778,51025,2622,0,0,0,0,129,0,2,0,0,0
12/04/2019 14:36,201902,London Area Airports,HEATHROW,5482288,2863403,0,850926,0,1766145,0,1184,0,630,0,0,0
12/04/2019 14:36,201902,Other UK Airports,HUMBERSIDE,14648,1766,338,10222,0,0,0,2322,0,0,0,0,0
12/04/2019 14:36,201902,Other UK Airports,INVERNESS,53606,50071,0,3535,0,0,0,0,0,0,0,0,0
12/04/2019 14:36,201902,Other UK Airports,ISLAY,1849,1821,28,0,0,0,0,0,0,0,0,0,0
12/04/2019 14:36,201902,Non UK Reporting Airports,ISLE OF MAN,60851,57926,0,2785,0,0,0,140,0,0,0,0,0
12/04/2019 14:36,201902,Other UK Airports,ISLES OF SCILLY (ST.MARYS),3313,3313,0,0,0,0,0,0,0,0,0,0,0
12/04/2019 14:36,201902,Non UK Reporting Airports,JERSEY,99271,96576,1558,0,0,0,0,278,0,859,0,0,0
12/04/2019 14:36,201902,Other UK Airports,KIRKWALL,11864,11102,707,0,0,0,0,55,0,0,0,0,0
12/04/2019 14:36,201902,Other UK Airports,LANDS END (ST JUST),2931,2909,22,0,0,0,0,0,0,0,0,0,0
12/04/2019 14:36,201902,Other UK Airports,LEEDS BRADFORD,196953,103391,0,93181,0,0,0,381,0,0,0,0,0
12/04/2019 14:36,201902,Other UK Airports,LERWICK (TINGWALL),197,197,0,0,0,0,0,0,0,0,0,0,0
12/04/2019 14:36,201902,Other UK Airports,LIVERPOOL (JOHN LENNON),339357,185678,0,151100,0,753,0,442,0,1228,0,156,0
12/04/2019 14:36,201902,London Area Airports,LONDON CITY,365102,239062,0,97479,0,28561,0,0,0,0,0,0,0
12/04/2019 14:36,201902,London Area Airports,LUTON,1191996,660750,0,518388,313,3123,0,8521,0,901,0,0,0
12/04/2019 14:36,201902,Other UK Airports,MANCHESTER,1801038,811973,0,580246,0,289054,1665,113751,0,3491,380,404,74
12/04/2019 14:36,201902,Other UK Airports,NEWCASTLE,283488,181855,1176,81589,0,18442,0,338,19,69,0,0,0
12/04/2019 14:36,201902,Other UK Airports,NEWQUAY,24307,20114,0,4193,0,0,0,0,0,0,0,0,0
12/04/2019 14:36,201902,Other UK Airports,NORWICH,30971,10830,0,11087,0,0,0,8339,0,715,0,0,0
12/04/2019 14:36,201902,Other UK Airports,PRESTWICK,21262,0,0,21184,11,0,0,67,0,0,0,0,0
12/04/2019 14:36,201902,Other UK Airports,SCATSTA,8928,0,0,0,0,0,0,8928,0,0,0,0,0
12/04/2019 14:36,201902,Other UK Airports,SOUTHAMPTON,123812,113893,0,5630,0,3239,0,1050,0,0,0,0,0
12/04/2019 14:36,201902,London Area Airports,SOUTHEND,81510,63389,0,18121,0,0,0,0,0,0,0,0,0
12/04/2019 14:36,201902,London Area Airports,STANSTED,1873730,258086,0,1523675,0,69238,0,20667,0,1425,0,639,0
12/04/2019 14:36,201902,Other UK Airports,STORNOWAY,9298,9077,221,0,0,0,0,0,0,0,0,0,0
12/04/2019 14:36,201902,Other UK Airports,SUMBURGH,16591,10305,0,0,0,0,0,6286,0,0,0,0,0
12/04/2019 14:36,201902,Other UK Airports,TIREE,742,717,25,0,0,0,0,0,0,0,0,0,0
12/04/2019 14:36,201902,Other UK Airports,WICK JOHN O GROATS,1079,1029,50,0,0,0,0,0,0,0,0,0,0

