rundate,this_period,last_period,reporting_airport_group_name,reporting_airport_name,total_pax_this_period,total_pax_last_period,total_pax_percent,terminal_pax_this_period,terminal_pax_last_period,terminal_pax_percent,transit_pax_this_period,transit_pax_last_period,transit_pax_percent
4/12/2019 2:39:12 PM,201902,201802,Other UK Airports,ABERDEEN,196653,214025,-8.116809,196653,214025,-8.116809,0,0,Null
4/12/2019 2:39:12 PM,201902,201802,Non UK Reporting Airports,ALDERNEY,2923,2820,3.652482,2923,2820,3.652482,0,0,Null
4/12/2019 2:39:12 PM,201902,201802,Other UK Airports,BARRA,959,959,(None),959,959,(None),0,0,Null
4/12/2019 2:39:12 PM,201902,201802,Other UK Airports,BELFAST CITY (GEORGE BEST),173705,174220,-0.295603,173705,174092,-0.222296,0,128,Null
4/12/2019 2:39:12 PM,201902,201802,Other UK Airports,BELFAST INTERNATIONAL,446116,382676,16.577993,446116,382676,16.577993,0,0,Null
4/12/2019 2:39:12 PM,201902,201802,Other UK Airports,BENBECULA,2651,2279,16.322949,2651,2279,16.322949,0,0,Null
4/12/2019 2:39:12 PM,201902,201802,Other UK Airports,BIGGIN HILL,84,204,-58.823529,84,204,-58.823529,0,0,Null
4/12/2019 2:39:12 PM,201902,201802,Other UK Airports,BIRMINGHAM,792205,764901,3.569612,792142,764881,3.564084,63,20,215.000000
4/12/2019 2:39:12 PM,201902,201802,Other UK Airports,BLACKPOOL,1258,1809,-30.458817,1258,1809,-30.458817,0,0,Null
4/12/2019 2:39:12 PM,201902,201802,Other UK Airports,BOURNEMOUTH,34274,31771,7.878254,34274,31771,7.878254,0,0,Null
4/12/2019 2:39:12 PM,201902,201802,Other UK Airports,BRISTOL,523742,517633,1.180180,523394,517201,1.197407,348,432,-19.444444
4/12/2019 2:39:12 PM,201902,201802,Other UK Airports,CAMPBELTOWN,465,474,-1.898734,465,474,-1.898734,0,0,Null
4/12/2019 2:39:12 PM,201902,201802,Other UK Airports,CARDIFF WALES,78061,78020,0.052551,77910,78020,-0.140989,151,0,Null
4/12/2019 2:39:12 PM,201902,201802,Other UK Airports,CITY OF DERRY (EGLINTON),13865,14977,-7.424718,13865,14977,-7.424718,0,0,Null
4/12/2019 2:39:12 PM,201902,201802,Other UK Airports,DONCASTER SHEFFIELD,68048,61392,10.841803,68048,61392,10.841803,0,0,Null
4/12/2019 2:39:12 PM,201902,201802,Other UK Airports,DUNDEE,1543,1402,10.057061,1543,1402,10.057061,0,0,Null
4/12/2019 2:39:12 PM,201902,201802,Other UK Airports,DURHAM TEES VALLEY,11283,10596,6.483579,10966,10459,4.847500,317,137,131.386861
4/12/2019 2:39:12 PM,201902,201802,Other UK Airports,EAST MIDLANDS INTERNATIONAL,213338,216547,-1.481895,213338,216547,-1.481895,0,0,Null
4/12/2019 2:39:12 PM,201902,201802,Other UK Airports,EDINBURGH,938914,844685,11.155520,938703,844547,11.148699,211,138,52.898551
4/12/2019 2:39:12 PM,201902,201802,Other UK Airports,EXETER,61279,55385,10.641871,61279,55385,10.641871,0,0,Null
4/12/2019 2:39:12 PM,201902,201802,London Area Airports,GATWICK,3098831,2980212,3.980220,3098831,2979872,3.992084,0,340,Null
4/12/2019 2:39:12 PM,201902,201802,Other UK Airports,GLASGOW,533638,567221,-5.920620,533281,566863,-5.924183,357,358,-0.279330
4/12/2019 2:39:12 PM,201902,201802,Non UK Reporting Airports,GUERNSEY,53778,51628,4.164407,51156,49079,4.231953,2622,2549,2.863868
4/12/2019 2:39:12 PM,201902,201802,London Area Airports,HEATHROW,5482288,5393756,1.641379,5482288,5391529,1.683363,0,2227,Null
4/12/2019 2:39:12 PM,201902,201802,Other UK Airports,HUMBERSIDE,14648,12295,19.137861,14310,12214,17.160635,338,81,317.283951
4/12/2019 2:39:12 PM,201902,201802,Other UK Airports,INVERNESS,53606,51602,3.883570,53606,51602,3.883570,0,0,Null
4/12/2019 2:39:12 PM,201902,201802,Other UK Airports,ISLAY,1849,1820,1.593407,1821,1795,1.448468,28,25,12.000000
4/12/2019 2:39:12 PM,201902,201802,Non UK Reporting Airports,ISLE OF MAN,60851,58379,4.234399,60851,58379,4.234399,0,0,Null
4/12/2019 2:39:12 PM,201902,201802,Other UK Airports,ISLES OF SCILLY (ST.MARYS),3313,3291,0.668490,3313,3291,0.668490,0,0,Null
4/12/2019 2:39:12 PM,201902,201802,Non UK Reporting Airports,JERSEY,99271,97626,1.685002,97713,96668,1.081020,1558,958,62.630480
4/12/2019 2:39:12 PM,201902,201802,Other UK Airports,KIRKWALL,11864,11735,1.099276,11157,11012,1.316745,707,723,-2.213001
4/12/2019 2:39:12 PM,201902,201802,Other UK Airports,LANDS END (ST JUST),2931,2853,2.733964,2909,2797,4.004290,22,56,-60.714286
4/12/2019 2:39:12 PM,201902,201802,Other UK Airports,LEEDS BRADFORD,196953,198161,-0.609605,196953,197935,-0.496122,0,226,Null
4/12/2019 2:39:12 PM,201902,201802,Other UK Airports,LERWICK (TINGWALL),197,221,-10.859729,197,221,-10.859729,0,0,Null
4/12/2019 2:39:12 PM,201902,201802,Other UK Airports,LIVERPOOL (JOHN LENNON),339357,335362,1.191250,339357,335030,1.291526,0,332,Null
4/12/2019 2:39:12 PM,201902,201802,London Area Airports,LONDON CITY,365102,329634,10.759812,365102,329634,10.759812,0,0,Null
4/12/2019 2:39:12 PM,201902,201802,London Area Airports,LUTON,1191996,1053462,13.150356,1191683,1053101,13.159422,313,361,-13.296399
4/12/2019 2:39:12 PM,201902,201802,Other UK Airports,LYDD,0,11,Null,0,11,Null,0,0,Null
4/12/2019 2:39:12 PM,201902,201802,Other UK Airports,MANCHESTER,1801038,1680919,7.146031,1798919,1678336,7.184676,2119,2583,-17.963608
4/12/2019 2:39:12 PM,201902,201802,Other UK Airports,NEWCASTLE,283488,288274,-1.660226,282293,288129,-2.025482,1195,145,724.137931
4/12/2019 2:39:12 PM,201902,201802,Other UK Airports,NEWQUAY,24307,20549,18.287995,24307,20549,18.287995,0,0,Null
4/12/2019 2:39:12 PM,201902,201802,Other UK Airports,NORWICH,30971,28243,9.659031,30971,28243,9.659031,0,0,Null
4/12/2019 2:39:12 PM,201902,201802,Other UK Airports,PRESTWICK,21262,24868,-14.500563,21251,24864,-14.531049,11,4,175.000000
4/12/2019 2:39:12 PM,201902,201802,Other UK Airports,SCATSTA,8928,13497,-33.851967,8928,13497,-33.851967,0,0,Null
4/12/2019 2:39:12 PM,201902,201802,Other UK Airports,SOUTHAMPTON,123812,134506,-7.950575,123812,134452,-7.913605,0,54,Null
4/12/2019 2:39:12 PM,201902,201802,London Area Airports,SOUTHEND,81510,79015,3.157628,81510,79015,3.157628,0,0,Null
4/12/2019 2:39:12 PM,201902,201802,London Area Airports,STANSTED,1873730,1731648,8.205016,1873730,1731648,8.205016,0,0,Null
4/12/2019 2:39:12 PM,201902,201802,Other UK Airports,STORNOWAY,9298,9903,-6.109260,9077,9664,-6.074089,221,239,-7.531381
4/12/2019 2:39:12 PM,201902,201802,Other UK Airports,SUMBURGH,16591,16482,0.661328,16591,16482,0.661328,0,0,Null
4/12/2019 2:39:12 PM,201902,201802,Other UK Airports,TIREE,742,714,3.921569,717,674,6.379822,25,40,-37.500000
4/12/2019 2:39:12 PM,201902,201802,Other UK Airports,WICK JOHN O GROATS,1079,1226,-11.990212,1029,1226,-16.068515,50,0,Null

