rundate,this_period,foreign_region,foreign_country,UK_airport,foreign_airport,total_pax_this_period,total_pax_scheduled_this_period,total_pax_charter_this_period,total_pax_last_period,total_pax_scheduled_last_period,total_pax_charter_last_period,total_pax_percent
12/04/2019 14:45,201902,WESTERN EUROPE-EU,AUSTRIA,GATWICK,INNSBRUCK,37190,30474,6716,38852,34567,4285,-4.277772
12/04/2019 14:45,201902,WESTERN EUROPE-EU,AUSTRIA,GATWICK,KLAGENFURT,2273,2273,0,1293,1293,0,75.79273
12/04/2019 14:45,201902,WESTERN EUROPE-EU,AUSTRIA,GATWICK,SALZBURG,21174,17427,3747,21513,17033,4480,-1.575791
12/04/2019 14:45,201902,WESTERN EUROPE-EU,AUSTRIA,GATWICK,VIENNA,21183,21183,0,19333,19333,0,9.569131
12/04/2019 14:45,201902,WESTERN EUROPE-EU,AUSTRIA,HEATHROW,INNSBRUCK,7759,7759,0,7372,7372,0,5.249593
12/04/2019 14:45,201902,WESTERN EUROPE-EU,AUSTRIA,HEATHROW,SALZBURG,3975,3975,0,5145,5145,0,-22.740525
12/04/2019 14:45,201902,WESTERN EUROPE-EU,AUSTRIA,HEATHROW,VIENNA,48638,48638,0,51415,51415,0,-5.401148
12/04/2019 14:45,201902,WESTERN EUROPE-EU,AUSTRIA,LUTON,INNSBRUCK,2328,2328,0,3590,3590,0,-35.153203
12/04/2019 14:45,201902,WESTERN EUROPE-EU,AUSTRIA,LUTON,SALZBURG,3356,1808,1548,3294,1958,1336,1.88221
12/04/2019 14:45,201902,WESTERN EUROPE-EU,AUSTRIA,LUTON,VIENNA,3438,3438,0,3700,3700,0,-7.081081
12/04/2019 14:45,201902,WESTERN EUROPE-EU,AUSTRIA,SOUTHEND,VIENNA,0,0,0,798,798,0,-100
12/04/2019 14:45,201902,WESTERN EUROPE-EU,AUSTRIA,STANSTED,INNSBRUCK,3318,1230,2088,2224,0,2224,49.190647
12/04/2019 14:45,201902,WESTERN EUROPE-EU,AUSTRIA,STANSTED,LINZ,0,0,0,2554,2554,0,-100
12/04/2019 14:45,201902,WESTERN EUROPE-EU,AUSTRIA,STANSTED,SALZBURG,13150,11253,1897,15701,13784,1917,-16.247373
12/04/2019 14:45,201902,WESTERN EUROPE-EU,AUSTRIA,STANSTED,VIENNA,20206,20102,104,5590,5590,0,261.466905
12/04/2019 14:45,201902,WESTERN EUROPE-EU,AUSTRIA,BELFAST CITY (GEORGE BEST),SALZBURG,595,0,595,629,0,629,-5.405405
12/04/2019 14:45,201902,WESTERN EUROPE-EU,AUSTRIA,BELFAST INTERNATIONAL,SALZBURG,2961,1975,986,1098,0,1098,169.672131
12/04/2019 14:45,201902,WESTERN EUROPE-EU,AUSTRIA,BIRMINGHAM,GRAZ,0,0,0,439,439,0,-100
12/04/2019 14:45,201902,WESTERN EUROPE-EU,AUSTRIA,BIRMINGHAM,INNSBRUCK,2973,0,2973,3357,0,3357,-11.438785
12/04/2019 14:45,201902,WESTERN EUROPE-EU,AUSTRIA,BIRMINGHAM,SALZBURG,3342,1791,1551,3859,2234,1625,-13.397253
12/04/2019 14:45,201902,WESTERN EUROPE-EU,AUSTRIA,BIRMINGHAM,VIENNA,1567,1567,0,2320,2320,0,-32.456897
12/04/2019 14:45,201902,WESTERN EUROPE-EU,AUSTRIA,BRISTOL,INNSBRUCK,4264,1974,2290,5214,2705,2509,-18.220176
12/04/2019 14:45,201902,WESTERN EUROPE-EU,AUSTRIA,BRISTOL,SALZBURG,4168,2669,1499,4034,2335,1699,3.321765
12/04/2019 14:45,201902,WESTERN EUROPE-EU,AUSTRIA,BRISTOL,VIENNA,2165,2165,0,2318,2318,0,-6.600518
12/04/2019 14:45,201902,WESTERN EUROPE-EU,AUSTRIA,EAST MIDLANDS INTERNATIONAL,SALZBURG,2372,1000,1372,2223,1006,1217,6.702654
12/04/2019 14:45,201902,WESTERN EUROPE-EU,AUSTRIA,EDINBURGH,INNSBRUCK,2223,0,2223,2246,0,2246,-1.024043
12/04/2019 14:45,201902,WESTERN EUROPE-EU,AUSTRIA,EDINBURGH,SALZBURG,2131,1413,718,1676,998,678,27.147971
12/04/2019 14:45,201902,WESTERN EUROPE-EU,AUSTRIA,EDINBURGH,VIENNA,2495,2495,0,2360,2360,0,5.720339
12/04/2019 14:45,201902,WESTERN EUROPE-EU,AUSTRIA,GLASGOW,INNSBRUCK,284,0,284,0,0,0,0
12/04/2019 14:45,201902,WESTERN EUROPE-EU,AUSTRIA,GLASGOW,SALZBURG,1357,0,1357,1221,0,1221,11.138411
12/04/2019 14:45,201902,WESTERN EUROPE-EU,AUSTRIA,ISLE OF MAN,SALZBURG,140,0,140,0,0,0,0
12/04/2019 14:45,201902,WESTERN EUROPE-EU,AUSTRIA,LEEDS BRADFORD,SALZBURG,1470,1470,0,1084,1084,0,35.608856
12/04/2019 14:45,201902,WESTERN EUROPE-EU,AUSTRIA,LIVERPOOL (JOHN LENNON),SALZBURG,1113,1113,0,1133,1133,0,-1.765225
12/04/2019 14:45,201902,WESTERN EUROPE-EU,AUSTRIA,MANCHESTER,INNSBRUCK,9460,4545,4915,8959,3880,5079,5.592142
12/04/2019 14:45,201902,WESTERN EUROPE-EU,AUSTRIA,MANCHESTER,SALZBURG,6637,3469,3168,8274,5178,3096,-19.784868
12/04/2019 14:45,201902,WESTERN EUROPE-EU,AUSTRIA,MANCHESTER,VIENNA,7312,7312,0,5984,5984,0,22.192513
12/04/2019 14:45,201902,WESTERN EUROPE-EU,AUSTRIA,NEWCASTLE,INNSBRUCK,1308,1308,0,1279,1279,0,2.267396
12/04/2019 14:45,201902,WESTERN EUROPE-EU,AUSTRIA,NEWCASTLE,SALZBURG,1300,1300,0,1305,1305,0,-0.383142
12/04/2019 14:45,201902,WESTERN EUROPE-EU,BELGIUM,GATWICK,BRUSSELS,968,968,0,124,124,0,680.645161
12/04/2019 14:45,201902,WESTERN EUROPE-EU,BELGIUM,HEATHROW,BRUSSELS,49871,49871,0,50490,50490,0,-1.225985
12/04/2019 14:45,201902,WESTERN EUROPE-EU,BELGIUM,LONDON CITY,ANTWERP,0,0,0,3117,3117,0,-100
12/04/2019 14:45,201902,WESTERN EUROPE-EU,BELGIUM,LUTON,ANTWERP,0,0,0,42,0,42,-100
12/04/2019 14:45,201902,WESTERN EUROPE-EU,BELGIUM,SOUTHEND,ANTWERP,580,580,0,0,0,0,0
12/04/2019 14:45,201902,WESTERN EUROPE-EU,BELGIUM,STANSTED,BRUSSELS,110,0,110,0,0,0,0
12/04/2019 14:45,201902,WESTERN EUROPE-EU,BELGIUM,BIRMINGHAM,BRUSSELS,10601,10601,0,12870,12870,0,-17.630148
12/04/2019 14:45,201902,WESTERN EUROPE-EU,BELGIUM,BRISTOL,BRUSSELS,1751,1751,0,3716,3716,0,-52.87944
12/04/2019 14:45,201902,WESTERN EUROPE-EU,BELGIUM,EAST MIDLANDS INTERNATIONAL,BRUSSELS,993,993,0,2042,2042,0,-51.371205
12/04/2019 14:45,201902,WESTERN EUROPE-EU,BELGIUM,EDINBURGH,BRUSSELS,9885,9885,0,8927,8741,186,10.731489
12/04/2019 14:45,201902,WESTERN EUROPE-EU,BELGIUM,EDINBURGH,CHARLEROI,4997,4997,0,3742,3742,0,33.538215
12/04/2019 14:45,201902,WESTERN EUROPE-EU,BELGIUM,GLASGOW,CHARLEROI,0,0,0,2049,2049,0,-100
12/04/2019 14:45,201902,WESTERN EUROPE-EU,BELGIUM,MANCHESTER,BRUSSELS,18413,18413,0,18352,18352,0,0.332389
12/04/2019 14:45,201902,WESTERN EUROPE-EU,BELGIUM,MANCHESTER,CHARLEROI,11505,11505,0,11029,11029,0,4.315894
12/04/2019 14:45,201902,WESTERN EUROPE-EU,BELGIUM,NEWCASTLE,BRUSSELS,1171,1171,0,2053,2053,0,-42.96152
12/04/2019 14:45,201902,WESTERN EUROPE-EU,CROATIA,GATWICK,DUBROVNIK,0,0,0,1354,1354,0,-100
12/04/2019 14:45,201902,WESTERN EUROPE-EU,CROATIA,HEATHROW,ZAGREB,9566,9566,0,8147,8147,0,17.417454
12/04/2019 14:45,201902,WESTERN EUROPE-EU,CROATIA,BELFAST INTERNATIONAL,DUBROVNIK,0,0,0,90,0,90,-100
12/04/2019 14:45,201902,WESTERN EUROPE-EU,CYPRUS,GATWICK,LARNACA,7390,7390,0,11423,11423,0,-35.305962
12/04/2019 14:45,201902,WESTERN EUROPE-EU,CYPRUS,GATWICK,PAPHOS,12703,10053,2650,14075,10456,3619,-9.74778
12/04/2019 14:45,201902,WESTERN EUROPE-EU,CYPRUS,HEATHROW,LARNACA,10377,10377,0,11414,11414,0,-9.085334
12/04/2019 14:45,201902,WESTERN EUROPE-EU,CYPRUS,LUTON,LARNACA,13608,13608,0,3685,3685,0,269.280868
12/04/2019 14:45,201902,WESTERN EUROPE-EU,CYPRUS,LUTON,PAPHOS,5437,4655,782,4734,4734,0,14.850021
