rundate,reporting_period,reporting_airport_group_name,reporting_airport_name,freight_scheduled_passenger_aircraft_foreign_EU,freight_scheduled_cargo_aircraft_foreign_EU,freight_charter_passenger_aircraft_foreign_EU,freight_charter_cargo_aircraft_foreign_EU,freight_scheduled_passenger_aircraft_foreign_non_EU,freight_scheduled_cargo_aircraft_foreign_non_EU,freight_charter_passenger_aircraft_foreign_non_EU,freight_charter_cargo_aircraft_foreign_non_EU,freight_schedueld_passenger_aircraft_UK,freight_scheduled_cargo_aircraft_UK,freight_charter_passenger_aircraft_UK,freight_charter_cargo_aircraft_UK
12/04/2019 14:28:02,201902,London Area Airports,  GATWICK,82.619000,0.000000,13.843000,0.000000,8348.763000,0.000000,149.270000,0.000000,14.474000,0.000000,0.000000,0.000000
12/04/2019 14:28:02,201902,London Area Airports,  HEATHROW,3855.317000,3159.523000,0.000000,0.000000,118129.354000,2852.612000,0.000000,0.000000,35.224000,32.642000,0.000000,0.000000
12/04/2019 14:28:02,201902,London Area Airports,  LUTON,25.981000,2794.747000,3.972000,0.000000,6.493000,231.509000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12/04/2019 14:28:02,201902,London Area Airports,  STANSTED,0.000000,5737.982000,0.000000,0.000000,0.000000,8705.524000,0.001000,62.332000,0.000000,86.018000,0.000000,0.000000
12/04/2019 14:28:02,201902,Other UK Airports,  ABERDEEN,13.606000,0.226000,0.000000,0.000000,23.142000,0.000000,111.010000,5.980000,15.541000,0.000000,5.015000,276.314000
12/04/2019 14:28:02,201902,Other UK Airports,  BARRA,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.941000,0.000000,0.000000,0.000000
12/04/2019 14:28:02,201902,Other UK Airports,  BELFAST CITY (GEORGE BEST),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15.131000,0.000000,0.000000,0.000000
12/04/2019 14:28:02,201902,Other UK Airports,  BELFAST INTERNATIONAL,0.000000,0.000000,0.000000,1108.617000,0.000000,0.000000,0.000000,4.913000,0.000000,0.000000,0.000000,1059.415000
12/04/2019 14:28:02,201902,Other UK Airports,  BENBECULA,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.621000,0.000000,0.000000,0.000000
12/04/2019 14:28:02,201902,Other UK Airports,  BIRMINGHAM,20.050000,838.593000,0.100000,1.585000,1004.041000,0.000000,1.127000,4.469000,2.592000,272.531000,0.000000,0.000000
12/04/2019 14:28:02,201902,Other UK Airports,  CARDIFF WALES,0.000000,0.000000,0.000000,0.000000,36.871000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12/04/2019 14:28:02,201902,Other UK Airports,  DONCASTER SHEFFIELD,0.000000,3.897000,0.000000,0.000000,0.000000,1337.284000,0.000000,190.888000,0.000000,0.000000,0.000000,0.000000
12/04/2019 14:28:02,201902,Other UK Airports,  EAST MIDLANDS INTERNATIONAL,0.000000,8462.512000,0.000000,8380.730000,0.000000,4578.912000,0.000000,23.629000,0.000000,1238.219000,0.001000,1743.568000
12/04/2019 14:28:02,201902,Other UK Airports,  EDINBURGH,0.000000,639.997000,0.000000,74.781000,0.000000,0.000000,0.000000,0.000000,1.339000,0.000000,0.000000,698.646000
12/04/2019 14:28:02,201902,Other UK Airports,  GLASGOW,14.292000,51.761000,0.147000,0.000000,857.201000,0.000000,0.000000,0.000000,40.897000,25.197000,0.000000,0.000000
12/04/2019 14:28:02,201902,Other UK Airports,  HUMBERSIDE,0.002000,0.000000,0.000000,0.000000,0.000000,0.000000,7.181000,0.318000,0.107000,0.000000,0.000000,0.000000
12/04/2019 14:28:02,201902,Other UK Airports,  ISLAY,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.355000,0.000000,0.000000,0.000000
12/04/2019 14:28:02,201902,Other UK Airports,  ISLES OF SCILLY (ST.MARYS),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,9.200000,0.000000,0.000000
12/04/2019 14:28:02,201902,Other UK Airports,  KIRKWALL,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.668000,0.002000,0.000000,0.000000
12/04/2019 14:28:02,201902,Other UK Airports,  LANDS END (ST JUST),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.500000,5.700000,0.000000,0.000000
12/04/2019 14:28:02,201902,Other UK Airports,  LIVERPOOL (JOHN LENNON),0.020000,0.000000,0.000000,50.583000,0.000000,0.000000,0.000000,0.000000,5.134000,0.000000,0.000000,0.000000
12/04/2019 14:28:02,201902,Other UK Airports,  MANCHESTER,123.665000,228.995000,6.249000,20.945000,7257.977000,0.000000,48.882000,0.001000,1.594000,59.657000,0.000000,0.000000
12/04/2019 14:28:02,201902,Other UK Airports,  NEWCASTLE,0.123000,0.000000,0.000000,44.301000,186.595000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002000
12/04/2019 14:28:02,201902,Other UK Airports,  NORWICH,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,21.650000,0.000000,0.000000,0.000000,0.000000,0.000000
12/04/2019 14:28:02,201902,Other UK Airports,  PRESTWICK,0.150000,279.202000,0.000000,1.678000,0.000000,590.048000,0.000000,70.553000,0.000000,0.000000,0.000000,0.000000
12/04/2019 14:28:02,201902,Other UK Airports,  SCATSTA,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.409000,0.000000,0.000000,0.000000,18.132000,0.000000
12/04/2019 14:28:02,201902,Other UK Airports,  SOUTHAMPTON,2.650000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.618000,0.000000,0.000000,0.000000
12/04/2019 14:28:02,201902,Other UK Airports,  STORNOWAY,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15.067000,0.000000,0.000000,0.000000
12/04/2019 14:28:02,201902,Other UK Airports,  SUMBURGH,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.858000,0.000000,12.654000,0.000000,1.076000,0.000000
12/04/2019 14:28:02,201902,Other UK Airports,  TIREE,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.830000,0.024000,0.000000,0.000000
12/04/2019 14:28:02,201902,Non UK Reporting Airports,  ALDERNEY,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.392000,0.000000,0.000000,0.000000
12/04/2019 14:28:02,201902,Non UK Reporting Airports,  GUERNSEY,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,18.783000,0.000000,0.000000,63.651000
12/04/2019 14:28:02,201902,Non UK Reporting Airports,  ISLE OF MAN,0.313000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.504000,0.000000,0.000000,0.000000
12/04/2019 14:28:02,201902,Non UK Reporting Airports,  JERSEY,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.426000,46.569000,0.000000,32.919000

