rundate,reporting_period,reporting_airport_group_name,reporting_airport_name,total_mail,mail_set_down_scheduled_UK,mail_picked_up_scheduled_UK,mail_set_down_scheduled_foreign_EU,mail_picked_up_scheduled_foreign_EU,mail_set_down_scheduled_foreign_non_EU,mail_picked_up_scheduled_foreign_non_EU,mail_set_down_charter_UK,mail_picked_up_charter_UK,mail_set_down_charter_foreign_EU,mail_picked_up_charter_foreign_EU,mail_set_down_charter_foreign_non_EU,mail_picked_up_charter_foreign_non_EU
12/04/2019 14:21:43,201902,London Area Airports,  GATWICK,602.989000,17.933000,107.647000,94.158000,167.471000,51.037000,163.298000,0.035000,0.000000,0.000000,1.410000,0.000000,0.000000
12/04/2019 14:21:43,201902,London Area Airports,  HEATHROW,6012.296000,552.646000,939.047000,323.558000,254.827000,1357.050000,2585.168000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12/04/2019 14:21:43,201902,London Area Airports,  LONDON CITY,62.011000,0.000000,0.000000,1.700000,1.445000,0.002000,58.864000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12/04/2019 14:21:43,201902,London Area Airports,  LUTON,52.012000,0.000000,0.000000,0.000000,52.012000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12/04/2019 14:21:43,201902,London Area Airports,  STANSTED,1292.657000,0.000000,0.000000,0.000000,0.000000,24.393000,0.000000,468.835000,799.429000,0.000000,0.000000,0.000000,0.000000
12/04/2019 14:21:43,201902,Other UK Airports,  ABERDEEN,105.877000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,81.963000,23.914000,0.000000,0.000000
12/04/2019 14:21:43,201902,Other UK Airports,  BELFAST INTERNATIONAL,1267.939000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,740.288000,494.168000,20.367000,13.116000,0.000000,0.000000
12/04/2019 14:21:43,201902,Other UK Airports,  BIRMINGHAM,9.559000,2.236000,0.000000,0.000000,0.016000,0.001000,7.306000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12/04/2019 14:21:43,201902,Other UK Airports,  EAST MIDLANDS INTERNATIONAL,1552.652000,595.442000,957.210000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12/04/2019 14:21:43,201902,Other UK Airports,  EDINBURGH,1715.393000,1009.996000,705.397000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12/04/2019 14:21:43,201902,Other UK Airports,  EXETER,262.196000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,151.242000,110.954000,0.000000,0.000000,0.000000,0.000000
12/04/2019 14:21:43,201902,Other UK Airports,  GLASGOW,7.623000,1.726000,5.897000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12/04/2019 14:21:43,201902,Other UK Airports,  INVERNESS,13.622000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.622000,0.000000,0.000000,0.000000
12/04/2019 14:21:43,201902,Other UK Airports,  ISLAY,5.077000,3.724000,1.353000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12/04/2019 14:21:43,201902,Other UK Airports,  ISLES OF SCILLY (ST.MARYS),19.800000,9.900000,9.900000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12/04/2019 14:21:43,201902,Other UK Airports,  KIRKWALL,1.396000,0.572000,0.824000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12/04/2019 14:21:43,201902,Other UK Airports,  LANDS END (ST JUST),19.800000,9.900000,9.900000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12/04/2019 14:21:43,201902,Other UK Airports,  MANCHESTER,90.117000,0.000000,0.107000,0.001000,0.014000,0.002000,89.993000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12/04/2019 14:21:43,201902,Other UK Airports,  NEWCASTLE,2.669000,2.669000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12/04/2019 14:21:43,201902,Other UK Airports,  TIREE,2.933000,2.495000,0.438000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12/04/2019 14:21:43,201902,Non UK Reporting Airports,  ALDERNEY,8.363000,5.978000,2.385000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12/04/2019 14:21:43,201902,Non UK Reporting Airports,  GUERNSEY,222.211000,2.357000,5.961000,0.000000,0.000000,0.000000,0.000000,80.396000,133.497000,0.000000,0.000000,0.000000,0.000000
12/04/2019 14:21:43,201902,Non UK Reporting Airports,  ISLE OF MAN,145.228000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,90.245000,54.983000,0.000000,0.000000
12/04/2019 14:21:43,201902,Non UK Reporting Airports,  JERSEY,131.856000,112.406000,19.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000

