Reporter,Partner,Product categories,Indicator Type,Indicator,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Ireland,...,...,Development,GDP (current US$ Mil),         283716.01,         256271.35,         239271.16,         225819.19,         240590.74,         221343.48,         235765.98,         274919.03,         270043.02,         232167.52,         211684.83,         193870.91,         164285.61,         127941.70,         109119.12,          99855.07,          98781.56,          90111.62,          82816.77,          75864.98,          69208.23,          57154.15,          52469.34,          55973.87,          49836.76,          49354.42,          39277.22,          37810.27
Ireland,...,...,Export,No. Of Export partners,            211.00,            217.00,            211.00,            212.00,            210.00,            207.00,            212.00,            207.00,            208.00,            203.00,            212.00,            207.00,            203.00,            204.00,            202.00,            201.00,            201.00,            198.00,            198.00,            199.00,            203.00,            200.00,            203.00,            187.00,,,,
Ireland,...,...,Export,No. Of Export products,           3681.00,           3652.00,           3664.00,           3678.00,           3618.00,           3602.00,           3565.00,           3538.00,           3588.00,           3684.00,           3687.00,           3733.00,           3741.00,           3732.00,           3748.00,           3782.00,           3758.00,           3625.00,           3622.00,           3572.00,           3531.00,           3585.00,           3588.00,           4103.00,,,,
Ireland,...,...,Import,No. Of Import partners,            224.00,            220.00,            225.00,            224.00,            222.00,            222.00,            216.00,            219.00,            222.00,            213.00,            215.00,            215.00,            207.00,            207.00,            211.00,            202.00,            190.00,            183.00,            184.00,            186.00,            186.00,            184.00,            176.00,            166.00,,,,
Ireland,...,...,Import,No. Of Import products,           4376.00,           4399.00,           4382.00,           4373.00,           4396.00,           4414.00,           4438.00,           4440.00,           4453.00,           4684.00,           4676.00,           4685.00,           4693.00,           4688.00,           4732.00,           4734.00,           4768.00,           4720.00,           4716.00,           4696.00,           4746.00,           4741.00,           4771.00,           4762.00,,,,
Ireland,...,...,Tariff,No. Of Tariff Agreement,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,...,...,Development,Trade Balance (current US$ Mil),          90069.53,          45915.60,          44969.25,          38733.45,          44707.21,          36911.79,          31844.85,          23664.08,          22325.34,          18672.63,          23045.38,          27870.51,          24892.80,          21986.66,          17048.32,          13819.59,          13086.76,           9883.44,           9926.30,           8296.00,           7561.72,           5384.98,           5310.56,           4062.76,           2351.70,           2161.08,           2115.40,           2253.69
Ireland,Belgium,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          16128.64,          15656.13,          14892.43,          17492.74,          18415.66,          17915.15,          19631.81,          18028.00,          17527.25,          15313.12,          16639.90,          15311.96,          11669.00,          12739.30,           3966.34,,,,,,,,,,,,,
Ireland,Belgium-Luxembourg,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,           4090.31,,,,,,,,,,
Ireland,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           4763.87,           4467.29,           3982.55,           3550.00,           3574.48,           3344.75,           3589.87,           5756.41,           6556.43,           5581.80,           4618.22,           3532.72,           2506.39,,,,,,,,,,,,,,,
Ireland,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,           6892.47,           5945.40,           6280.42,           7384.97,           7111.64,           6366.25,           7040.36,           6251.90,           5689.67,           4405.43,           5035.92,           5823.03,           5995.89,           5286.99,           4309.68,           3904.66,           4143.41,           3138.65,           2640.14,           2731.59,,,,
Ireland,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           9623.97,,,,,,,,,,,           2778.10,,           2131.42,           2528.99,           2385.42,           1939.30,,,,,,            845.79,           1000.25,,,,
