Reporter,Partner,Product categories,Indicator Type,Indicator,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Lebanon,...,...,Development,GDP (current US$ Mil),          47084.70,          45730.95,          44352.42,          43205.10,          40078.94,          38009.95,          35139.64,          28829.85,          24577.11,          21796.35,          21287.56,          20955.22,          20082.92,          19152.24,          17649.75,          17260.36,          17391.06,          17247.18,          15751.87,          13690.22,          11718.80,           9599.13,           7535.26,           5545.92,           4451.50,           2838.49,           2718.00,           3313.54
Lebanon,...,...,Export,No. Of Export partners,,            173.00,            176.00,            174.00,            167.00,            175.00,            177.00,            174.00,            173.00,            169.00,            171.00,            153.00,            160.00,            157.00,            151.00,            145.00,            143.00,            149.00,            145.00,,,,,,,,,
Lebanon,...,...,Export,No. Of Export products,,           2923.00,           2895.00,           2865.00,           2951.00,           2895.00,           2897.00,           2969.00,           2966.00,           2965.00,           2722.00,           2754.00,           2924.00,           2778.00,           2631.00,           2477.00,           2549.00,           2616.00,           2587.00,,,,,,,,,
Lebanon,...,...,Import,No. Of Import partners,,            201.00,            198.00,            200.00,            201.00,            196.00,            196.00,            200.00,            196.00,            189.00,            186.00,            186.00,            185.00,            184.00,            186.00,            178.00,            183.00,            186.00,            188.00,,,,,,,,,
Lebanon,...,...,Import,No. Of Import products,,           4040.00,           4056.00,           3969.00,           4073.00,           4084.00,           4074.00,           4079.00,           4046.00,           4217.00,           4067.00,           4085.00,           4293.00,           4283.00,           4305.00,           4226.00,           4217.00,           4300.00,           4381.00,,,,,,,,,
Lebanon,...,...,Tariff,No. Of Tariff Agreement,,              3.00,,,,,,,              2.00,              2.00,              1.00,              1.00,,              8.00,              1.00,              1.00,              1.00,,,,,,,,,,,
Lebanon,...,...,Development,Trade Balance (current US$ Mil),          -3768.23,          -5422.33,          -6339.26,          -8887.53,         -11203.32,          -9729.35,          -8615.59,          -8709.78,          -6103.48,          -4641.46,          -4413.93,          -4626.87,          -4140.63,          -3609.29,          -4297.18,          -3755.89,          -3945.37,          -4689.57,          -5201.69,          -5805.20,          -6037.81,          -5234.49,          -4606.11,          -3576.02,          -3160.91,          -2325.04,          -1990.04,
Lebanon,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,           2483.27,           2283.35,           1736.80,           1624.48,           1638.47,           1439.68,           1390.92,           1017.98,            750.56,            734.42,            717.61,            530.63,            434.89,            410.83,,,,,,,,,,,,,
Lebanon,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,            348.96,,,,,,,,,,             36.89,             52.31,             46.44,             46.39,,,,,,,,,
Lebanon,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,           1273.65,           1535.48,           1534.00,           1509.76,           1196.63,           1567.74,           1336.73,            883.42,            760.90,            789.20,            730.73,            583.16,            517.22,            615.31,            526.21,            595.32,            687.83,            710.00,,,,,,,,,
Lebanon,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,           1256.41,           1242.32,           1186.98,           1140.38,           1259.85,           1237.25,           1027.19,            749.93,            659.87,            656.89,            728.85,            578.47,            582.38,            623.05,            519.58,            552.60,            613.41,            648.09,,,,,,,,,
Lebanon,Iraq,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,            255.90,            272.36,,,            266.98,            270.73,            269.00,            147.58,            136.26,            178.37,            255.49,            121.76,             71.11,             68.00,,,,,,,,,,,,,
Lebanon,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,           1644.33,           1789.95,           1811.72,           1868.40,           1394.27,           1224.60,           1107.63,           1058.79,            709.64,            971.21,            927.02,            674.35,            693.25,            708.52,            680.04,            679.18,            812.65,            986.95,,,,,,,,,
Lebanon,Saudi Arabia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,            377.38,            346.95,            350.95,            308.02,,            242.80,            208.86,            187.31,            146.20,            139.79,,            104.27,             95.98,             85.40,             77.68,             70.92,             86.53,             96.89,,,,,,,,,
Lebanon,South Africa,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,            296.97,            398.06,            864.66,            673.29,            344.43,,,,,,,,,,,,,,,,,,,,,,
Lebanon,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,            547.51,            514.89,            502.59,            777.45,            328.99,            308.14,            450.99,            125.08,            185.90,            379.10,            132.13,             63.21,             50.96,             44.57,,,,,,,,,,,
Lebanon,Switzerland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,            431.16,            442.37,            445.45,            492.30,,,,,,,,,
Lebanon,Syrian Arab Republic,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,            241.96,            523.82,            294.00,,,            225.44,            223.59,            209.94,            175.74,            187.45,            145.13,             99.50,             75.58,,,,             46.33,             37.61,,,,,,,,,
Lebanon,Turkey,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,            276.08,,,,,,,            127.25,,,,,,,,,,,,,,,,
Lebanon,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,            319.92,            331.76,            347.08,            322.42,            418.55,            332.82,            346.25,            243.83,            176.21,            154.76,            135.24,            104.30,             94.65,             72.85,             74.89,             53.89,             60.24,             57.68,,,,,,,,,
Lebanon,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,             60.78,             48.49,             41.97,             45.24,             38.56,,,,,,,,,
Lebanon,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,           1226.56,           1500.93,           2369.58,           1994.56,           1919.31,           1770.10,           1848.56,           1140.91,           1038.61,            548.53,            554.27,            432.24,            465.98,            515.89,            457.57,            501.44,            657.29,            684.91,,,,,,,,,
Lebanon,World,All Products,Tariff,Duty Free Imports (US$ Thousand),,        6656898.83,,,,,,,        3726316.14,        2895265.24,        1945191.00,        2114050.00,,        1442651.34,        1608605.11,              0.00,              0.00,,,,,,,,,,,
Lebanon,World,Animal,Export,Export(US$ Mil),,             25.79,             24.92,             19.84,             19.14,             16.98,             14.82,             15.74,             12.33,             11.52,              9.13,              8.75,             11.79,              8.20,              5.96,              3.51,              4.29,              5.40,              5.99,,,,,,,,,
Lebanon,World,Capital goods,Export,Export(US$ Mil),,            459.43,            514.97,            455.53,            522.94,           1056.50,            558.45,            545.03,            462.89,            336.11,            304.65,            282.12,            189.99,            131.90,            105.26,             74.84,             70.38,             71.44,             80.90,,,,,,,,,
