Reporter,Partner,Product categories,Indicator Type,Indicator,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
,...,...,Development,GDP (current US$ Mil),        5359411.89,        6276266.89,        6270431.80,        6118412.89,        6063818.70,        5334359.89,        4302206.31,        4575918.49,        3936233.65,        3337221.45,        2845502.36,        2350651.92,        2035297.14,        1976792.95,        2204812.51,        2262087.17,        2050793.76,        2271734.53,        2255377.93,        2060739.34,        1916099.99,        1797150.60,        1564958.75,        1358408.88,        1440178.34,        1170492.07,        1006663.11,         921057.50
,...,...,Export,No. Of Export partners,            229.00,            233.00,            234.00,            233.00,            232.00,            231.00,            231.00,            232.00,            233.00,            228.00,            231.00,            227.00,            227.00,            228.00,            227.00,            225.00,            214.00,            212.00,            216.00,            216.00,            213.00,            211.00,            197.00,            187.00,            192.00,            187.00,            175.00,
,...,...,Export,No. Of Export products,           4615.00,           4603.00,           4615.00,           4639.00,           4670.00,           4665.00,           4674.00,           4719.00,           4825.00,           4839.00,           4868.00,           4859.00,           4871.00,           4892.00,           4908.00,           4895.00,           4914.00,           4920.00,           4941.00,           4962.00,           4940.00,           4939.00,           4889.00,           4843.00,           4796.00,           4682.00,           4005.00,
,...,...,Import,No. Of Import partners,            237.00,            236.00,            238.00,            237.00,            236.00,            234.00,            235.00,            234.00,            234.00,            232.00,            232.00,            234.00,            231.00,            233.00,            230.00,            228.00,            218.00,            212.00,            217.00,            217.00,            218.00,            213.00,            212.00,            194.00,            188.00,            175.00,            120.00,
,...,...,Import,No. Of Import products,           4768.00,           4763.00,           4812.00,           4864.00,           4870.00,           4879.00,           4884.00,           4904.00,           4922.00,           4928.00,           4951.00,           4951.00,           4957.00,           4958.00,           4967.00,           4965.00,           4981.00,           4981.00,           5022.00,           5016.00,           5019.00,           5012.00,           5012.00,           5000.00,           4991.00,           4974.00,           4442.00,
,...,...,Tariff,No. Of Tariff Agreement,           1301.00,           1035.00,            932.00,            987.00,            945.00,            844.00,            830.00,            869.00,            558.00,            550.00,            245.00,            279.00,             29.00,             27.00,             17.00,             27.00,             40.00,             15.00,             12.00,              8.00,             97.00,             49.00,            173.00,             11.00,             50.00,             11.00,             11.00,
,...,...,Development,Trade Balance (current US$ Mil),        -111819.23,        -129681.46,        -105647.06,         -45014.37,          11396.24,          34323.67,           5872.41,          -1229.21,          51291.46,          85450.64,          72971.79,          54572.54,          35030.33,          16032.86,         -19610.65,         -13989.08,         -21633.23,         -54405.57,         -38701.93,         -13499.05,          -9657.08,         -27249.93,         -16321.05,         -14607.29,           2731.72,          20779.33,          22322.03,          17063.61
,Argentina,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,          29555.75,          23546.98,,,          18430.28,,,,,,           6776.25,           8226.96,           7081.95,           9027.81,           9042.40,           7175.07,,,           4836.19,           4049.34,,,,
,Argentina,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,          12498.46,          12581.87,          10609.26,          13361.11,          13495.49,          11416.24,           9604.22,           6980.59,           4220.40,           3478.79,           2997.53,           2503.79,           1375.02,
,Brazil,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          25987.57,          35422.24,          38948.26,          38139.36,          37577.41,          31300.00,          23194.09,          30533.95,          22211.51,          18669.84,          13874.26,          11293.54,           8207.06,           8252.29,          11135.05,          12497.59,           8832.28,          11822.55,          12835.85,          11190.70,          10596.51,           6398.44,,,,,,
,Brazil,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          35746.64,          39148.15,          47868.58,          48041.15,          54042.27,          43632.98,          32147.52,          46835.32,          39627.39,          34600.60,          30165.72,          22777.54,          15450.81,          11406.90,          13457.29,          13572.01,          10886.28,          13153.80,          13085.51,          10636.67,           9338.62,           9631.48,           6909.99,           3163.11,,,,
,Canada,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          20144.01,          21928.90,,,,,,,,,,,,,,,,,,,,,,,,,,
,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          74852.89,          85682.98,          92931.93,          83812.00,          86336.87,          67809.35,          46838.98,          39547.10,          33823.72,          23135.20,          19134.43,          14326.54,          11252.06,,,,,,,,,,,,,,,
,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,         168766.48,         175018.53,         174797.94,         164905.58,         151900.00,         120014.72,          81681.38,          96093.31,          71845.90,          54447.51,          36394.28,          27758.71,          17859.11,          12443.51,,,,,,,,,,,,,,
,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,           1298.83,
,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,           2250.91,           1685.79,,
,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,           7730.40,,,           6889.87,           7669.61,           7310.23,,,           6612.61,           5990.79,           4141.54,           4089.45,           4167.51,           3110.07,           1571.94,
,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          36419.93,          41164.75,          43816.09,          42242.25,          42580.91,          35565.30,          28674.01,          35474.45,          27722.92,          23062.20,          20932.00,          17394.55,          14517.47,          14472.47,          15310.30,          14283.73,          14312.78,          15575.96,          14544.49,          12827.73,          12678.57,          10789.57,           7806.81,           5912.92,           5387.30,           4063.52,           1626.54,
,Iraq,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,           1691.86,
,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,           6591.92,           7124.32,           7701.26,           6985.15,           6503.89,           8804.48,           8601.42,           8812.75,           7179.21,           5382.86,           5462.59,           5798.60,           5179.78,           2416.17,
,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          31529.54,          33823.10,          35542.17,          37454.58,          37023.48,          33559.48,          25294.74,          35950.94,          31532.81,          27766.96,          23647.46,          19467.87,          14791.89,          16559.42,          16433.77,          14466.86,          13175.85,          15562.57,          14661.45,          11803.34,          12242.79,          12057.24,           8518.60,           6792.99,           5214.70,           3671.50,           1608.25,
,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          19387.96,          25358.06,,          27837.65,,,          17993.76,          24864.54,          20261.70,          16604.47,          13292.24,          12206.82,          10653.04,           7331.24,,,,,           7407.87,           7278.93,           6194.34,           6122.02,           4654.13,           3414.27,           3208.12,           3250.76,           2816.03,
,"Other Asia, nes",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,          33451.94,,,,,,,,,,,,,,,,,,,,,,,,,
,Spain,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,           2519.56,           2431.21,,
,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,         394753.05,         425185.53,         407749.91,         402431.47,         382938.55,         322820.27,         256153.05,         355894.31,         307764.71,         326885.22,         283021.32,         249482.27,         204247.22,         194722.83,         188467.83,         204172.13,         165750.64,         139881.77,         135850.36,         120849.24,          99558.62,          81717.48,          60263.63,          52406.75,          31305.64,          27839.00,           7898.54,
