Reporter,Partner,Product categories,Indicator Type,Indicator,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
,...,...,Development,GDP (current US$ Mil),        3153183.68,        3552155.11,        3569108.76,        3517290.04,        3291238.77,        2747991.99,        2353140.02,        2639163.40,        2111520.71,        1783624.05,        1523735.25,        1264692.50,        1089026.97,         966886.32,         970705.17,         967123.03,         866997.52,         809335.18,         832583.63,         802232.08,         708396.34,         621835.42,         597234.48,         593377.60,         545480.41,         544628.79,         415650.07,         402886.87
,...,...,Export,No. Of Export partners,            221.00,            227.00,            230.00,            227.00,            225.00,            223.00,            224.00,            219.00,            225.00,            213.00,            215.00,            216.00,            212.00,            207.00,            202.00,            211.00,            195.00,            198.00,            199.00,            197.00,            193.00,            185.00,            181.00,            156.00,            135.00,             70.00,             71.00,
,...,...,Export,No. Of Export products,           4495.00,           4612.00,           4629.00,           4617.00,           4533.00,           4580.00,           4571.00,           4661.00,           4810.00,           4677.00,           4774.00,           4601.00,           4631.00,           4544.00,           4515.00,           4520.00,           4606.00,           4619.00,           4369.00,           4465.00,           4481.00,           4317.00,           4100.00,           3895.00,           3944.00,            535.00,            554.00,
,...,...,Import,No. Of Import partners,            232.00,            231.00,            235.00,            230.00,            229.00,            228.00,            228.00,            224.00,            226.00,            218.00,            224.00,            222.00,            214.00,            215.00,            218.00,            214.00,            210.00,            207.00,            211.00,            194.00,            191.00,            195.00,            184.00,            177.00,            155.00,             87.00,             91.00,
,...,...,Import,No. Of Import products,           4576.00,           4826.00,           4821.00,           4830.00,           4828.00,           4838.00,           4842.00,           4864.00,           4954.00,           4941.00,           4962.00,           4957.00,           4941.00,           4962.00,           4993.00,           5002.00,           5007.00,           5012.00,           4991.00,           4999.00,           5010.00,           4987.00,           4967.00,           4949.00,           4743.00,           1581.00,           1635.00,
,...,...,Tariff,No. Of Tariff Agreement,            705.00,            617.00,            387.00,            437.00,            166.00,            137.00,            443.00,            417.00,            402.00,            405.00,            514.00,             26.00,,              5.00,,,             12.00,,,,,,             12.00,,,,,
,...,...,Development,Trade Balance (current US$ Mil),         -93822.94,         233186.63,         394333.01,         451484.23,         436033.42,         204525.20,          87297.47,         355730.52,         258660.50,         281193.81,         219246.30,         116550.60,          76078.87,          42546.97,          42396.93,          74690.62,          14747.81,         -35299.28,          15054.05,          12829.11,          -2370.84,          -7169.54,         -31600.24,,,,,
,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          33345.11,          50972.20,,,          40259.27,,,,,,,,,,,,,,,,,,,,,,,
,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          90941.46,         123297.12,          96145.13,          83980.96,          69861.40,          64723.47,          47985.18,          59994.88,          40756.90,          30406.69,          22962.21,          19177.10,,,,,,,,,,,,,,,,
,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,           9163.93,           7044.73,           6831.71,           7898.94,           7771.99,           6635.62,           4144.16,           3272.86,           1004.20,,,
,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,          29061.27,,,          24144.56,          22569.77,          24074.57,          19178.66,          15782.09,          15529.57,          14494.22,          14113.01,          13006.84,           9520.58,           9318.87,          10339.94,           7824.87,           6988.54,           5930.57,           2827.81,,,
,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,           3431.08,,,,,,,,,,
,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          47190.62,          53637.99,          48863.00,          44085.76,          41668.81,          43413.09,          33868.50,          41048.98,          32945.45,          25570.73,          25876.11,          23854.14,          19568.64,          18128.91,          15999.90,          13929.96,          12812.57,          11322.68,           9230.28,           8546.78,           9150.23,           5544.26,,           4700.07,           3447.68,            130.05,            124.02,
,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          29969.09,          42977.92,          45520.56,          50982.30,          56734.48,          44126.37,          26446.83,,,,,,,,,,,,,,,,,,,,,
,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          35392.07,          42603.30,          44601.33,          41626.39,          44431.78,          37918.35,,,,,,,,,,,,,,,,,,,,,,
,"Iran, Islamic Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,             17.42,,
,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,          35147.03,          23187.47,          44305.64,          32302.65,          24554.64,          21417.55,          19035.90,          19214.96,          18292.33,          17625.98,          10542.92,,           4951.67,           7388.13,,           6424.89,           4969.89,,,,,,
,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,          34329.30,,,,,,,          14908.72,          13795.37,          13802.62,          11264.41,          10763.65,          10339.21,           8433.42,           7971.95,           7983.36,           5047.35,           4299.02,,,,,
,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,          44555.63,          46448.78,          41044.27,,,,          65634.12,          62534.28,          69610.41,          60137.10,          34917.64,          27982.69,          19783.71,          22449.27,          24240.37,          16266.07,,           6050.11,           8679.59,           9574.42,           7545.45,,,,,           1361.26,
,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,          39613.31,          29603.20,,,,,,          11787.39,          11088.92,,,,,,           4640.08,           5721.45,           6777.61,           5363.36,            455.35,            354.43,
,"Korea, Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,           1132.41,
,Monaco,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,           9345.89,          10608.28,           9491.86,,,
,"Other Asia, nes",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,         149375.16,         277350.49,         313031.21,         311993.28,         361235.40,         249577.18,         151876.77,         215079.75,         138869.39,         141466.01,         109525.94,          80637.32,          56884.47,          43002.87,          42978.48,          51601.11,          25394.41,,,,,,          15528.91,          17711.87,          15025.28,,            339.16,
,Saudi Arabia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,             33.58,,
,Special Categories,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,          25977.24,          21413.11,          19266.64,,,,,,
,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,            213.57,            212.69,
,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,,            621.72,            546.48,
,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,             27.52,,
,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,           9639.36,           7939.21,           5495.24,           6947.56,           6788.37,,           4389.19,           4528.57,           4022.30,            308.35,            263.28,
,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          30638.22,,          33525.54,          39504.69,          43762.79,          41227.44,          33823.14,          48985.79,          45364.87,          39477.69,          32128.27,          27264.53,          21610.06,          18467.33,          17683.06,          18637.71,          22682.41,          11443.26,          10524.64,          18423.85,          16444.30,           9508.27,           9781.01,          12948.50,          11384.89,,,
,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          70168.68,          81206.15,          78509.04,          73103.96,          61708.67,          54390.30,          46666.94,          58242.48,          45292.62,          33577.62,          28053.44,          25836.20,          21040.77,          22017.90,          22225.53,          21294.52,          19788.86,          17506.89,          10634.22,          17057.96,          16691.40,           9725.67,           9030.89,           9555.44,           6876.36,            250.80,            190.82,
,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,         347548.07,         420387.01,         474463.63,         373700.71,         435268.50,         286443.11,         197118.39,         292997.68,         218600.08,         216619.64,         149159.50,         146562.31,         118979.02,          93821.99,          70480.96,          78920.52,          31695.53,          45500.32,           7724.22,           6784.02,,,           6479.69,           7622.02,          11799.00,           5046.05,            297.23,
,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,         114782.34,          51335.29,          48119.26,          44477.42,          75142.04,,          61077.91,          48109.83,          39907.78,          64621.21,          27322.30,          30140.45,          26225.87,          14944.86,,,,,,,,,,,,,,
,World,All Products,Tariff,Duty Free Imports (US$ Thousand),      354699927.11,      351583532.34,      253488607.10,      262991361.58,      183998449.73,       50589767.34,      160735878.73,      204212708.75,      157075967.38,       97999973.32,      109282204.83,       53757644.79,       30382878.46,       29284479.43,       24470927.49,       26681020.11,       19791988.85,         924497.54,        1030152.79,        1520060.50,         218607.54,        2284911.25,       17232829.34,         565716.26,,         121882.40,,
,World,Animal,Export,Export(US$ Mil),           5953.19,           6318.82,           5735.57,           5175.19,           5922.94,           5672.83,           4937.72,           4982.23,           3514.88,           3361.32,           2918.27,           3192.29,           2714.76,           3118.24,           1515.92,           1464.06,           1286.55,           1190.41,           1027.93,           1033.35,           1076.00,            802.73,            705.48,            271.15,            172.20,             65.11,             64.26,
,World,Capital goods,Export,Export(US$ Mil),          55205.40,          90926.65,          87694.76,          73931.53,          30880.58,          29272.02,          28520.41,          38465.82,          29422.83,          19352.66,          24142.47,          15042.19,          12140.68,          10579.87,          11115.30,          12501.62,          12185.63,          11078.13,           9022.66,           8283.73,           7366.89,           2026.80,           1019.80,           1050.83,            684.81,             65.77,             68.98,
,World,Chemicals,Export,Export(US$ Mil),          47602.91,          60843.22,          58462.78,          60472.73,          60187.19,          46838.00,          32999.92,          43548.15,          27277.84,          25689.36,          21989.96,          16958.59,          13392.75,          11525.85,          10951.49,           9644.45,           9042.81,           8463.68,           5614.14,           7325.20,           7597.10,           4141.90,           3007.80,           3639.25,           2033.37,             18.56,             13.70,
,World,Consumer goods,Export,Export(US$ Mil),         233405.86,         358464.14,         357682.33,         215119.08,         274057.65,         224665.85,         149178.66,         258081.90,         196358.58,         140443.48,         121746.54,          90287.98,          71446.74,          60177.00,          57266.43,          51527.21,          30733.94,          21120.30,          19096.98,          15822.60,          14957.51,           9613.16,          10207.93,           9281.23,           4852.82,            331.81,            164.73,
,World,Food Products,Export,Export(US$ Mil),          10957.72,          14635.19,          14050.19,          12023.97,          10830.87,          10802.32,           8230.29,           8132.45,           5584.85,           5311.94,           4573.77,           3998.35,           3395.20,           2929.29,           2668.47,           2072.49,           1949.64,           1551.55,           1546.27,           1376.04,           1337.05,            752.45,            682.59,            273.09,            249.34,             10.47,             22.69,
,World,Footwear,Export,Export(US$ Mil),           1369.57,           1718.67,           1598.57,           1503.14,           1566.55,           1561.32,           1375.05,           1584.79,           1590.89,           1357.78,           1144.88,           1190.62,           1178.72,           1041.31,            776.61,            635.63,            663.18,            580.25,            493.18,            393.38,            364.32,            281.70,            266.38,            158.20,            104.43,              1.56,              0.60,
,World,Fuels,Export,Export(US$ Mil),         436726.95,         815507.67,         903714.63,         809865.45,         941358.44,         677972.56,         422289.10,         715962.83,         523162.53,         498399.54,         373904.94,         302992.75,         227044.25,         185153.53,         177204.57,         188985.50,         100414.43,          59188.31,          37681.55,          68673.45,          57989.30,          53018.71,          53069.75,          62536.93,          48528.86,           5056.81,           3505.81,
,World,Hides and Skins,Export,Export(US$ Mil),            773.49,           1140.06,           1105.75,            947.83,           1051.57,            939.41,            622.93,            690.31,            680.58,            694.02,            576.87,            601.82,            563.19,            527.41,            454.99,            395.28,            263.69,            247.76,            287.07,            242.06,            252.23,            182.28,            124.32,             64.06,             45.58,              0.42,              0.15,
,World,Intermediate goods,Export,Export(US$ Mil),         132820.42,         151270.78,         163217.88,         155240.71,         120013.65,          94149.32,          66298.09,         111741.54,          78403.69,          58081.55,          57839.99,          43589.68,          34206.09,          29964.70,          27573.34,          26005.34,          20712.45,          19592.07,          15786.50,          17778.18,          18383.85,           7705.12,           5219.48,           6669.91,           4309.31,            100.71,            101.41,
