Reporter,Partner,Product categories,Indicator Type,Indicator,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Tajikistan,...,...,Development,GDP (current US$ Mil),           7853.45,           9236.31,           8506.67,           7633.05,           6522.73,           5642.18,           4979.48,           5161.34,           3719.50,           2830.24,           2312.32,           2076.15,           1554.13,           1221.11,           1080.77,            860.55,           1086.57,           1320.13,            921.84,           1043.89,           1231.52,           1346.07,           1646.69,           1909.25,           2534.72,           2629.40,,
Tajikistan,...,...,Export,No. Of Export partners,,,,,,,,,,,,,,,,             36.00,,,,,,,,,,,,
Tajikistan,...,...,Export,No. Of Export products,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tajikistan,...,...,Import,No. Of Import partners,,,,,,,,,,,,,,,,             44.00,,,,,,,,,,,,
Tajikistan,...,...,Import,No. Of Import products,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tajikistan,...,...,Tariff,No. Of Tariff Agreement,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tajikistan,...,...,Development,Trade Balance (current US$ Mil),          -2496.04,          -3305.99,          -4181.38,          -3629.13,          -3217.06,          -2102.61,          -1958.07,          -2839.11,          -1787.87,           -961.39,           -619.69,           -240.75,           -157.21,           -129.82,           -112.08,            -18.51,            -15.56,           -120.06,            -61.38,            -36.10,            -78.20,           -155.90,           -215.50,            -54.89,             24.37,           -191.16,,
Tajikistan,Azerbaijan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,             63.11,,,,,,,,,,,,
Tajikistan,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,             19.54,,,,,,,,,,,,
Tajikistan,Kazakhstan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,             82.39,,,,,,,,,,,,
Tajikistan,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,            178.21,,,,,,,,,,,,
Tajikistan,Russian Federation,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,            258.77,,,,,,,,,,,,
Tajikistan,Russian Federation,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,            104.06,,,,,,,,,,,,
Tajikistan,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,             72.24,,,,,,,,,,,,
Tajikistan,Ukraine,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,             84.33,,,,,,,,,,,,
Tajikistan,Uzbekistan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,             97.76,,,,,,,,,,,,
Tajikistan,Uzbekistan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,            185.20,,,,,,,,,,,,
Tajikistan,World,All Products,Tariff,Duty Free Imports (US$ Thousand),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tajikistan,World,Animal,Export,Export(US$ Mil),,,,,,,,,,,,,,,,              0.02,,,,,,,,,,,,
Tajikistan,World,Chemicals,Export,Export(US$ Mil),,,,,,,,,,,,,,,,              9.46,,,,,,,,,,,,
Tajikistan,World,Food Products,Export,Export(US$ Mil),,,,,,,,,,,,,,,,             11.57,,,,,,,,,,,,
Tajikistan,World,Footwear,Export,Export(US$ Mil),,,,,,,,,,,,,,,,              0.04,,,,,,,,,,,,
Tajikistan,World,Fuels,Export,Export(US$ Mil),,,,,,,,,,,,,,,,             92.13,,,,,,,,,,,,
