Reporter,Partner,Product categories,Indicator Type,Indicator,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
 World,...,...,Development,GDP (current US$ Mil),       74509719.34,       78870119.01,       76924649.54,       74802287.63,       73241717.92,       65906150.72,       60086989.44,       63386360.64,       57793330.57,       51306757.20,       47385623.70,       43770744.00,       38867460.64,       34612407.55,       33335981.80,       33543172.52,       32486113.87,       31314851.25,       31403319.22,       31518975.36,       30840585.36,       27740746.94,       25834735.04,       25389800.98,       23909829.11,       22579759.70,       20080076.89,       19129417.55
 World,...,...,Export,No. Of Export partners,            238.00,            238.00,            239.00,            238.00,            237.00,            235.00,            236.00,            235.00,            236.00,            236.00,            234.00,            238.00,            237.00,            238.00,            237.00,            237.00,            223.00,            222.00,            222.00,            222.00,            226.00,            226.00,            226.00,            224.00,            202.00,            204.00,            203.00,            200.00
 World,...,...,Export,No. Of Export products,           4771.00,           4801.00,           4792.00,           4824.00,           4806.00,           4846.00,           4888.00,           4918.00,           4954.00,           4950.00,           4966.00,           4974.00,           4989.00,           4983.00,           4993.00,           5020.00,           5028.00,           5033.00,           5034.00,           5036.00,           5037.00,           5037.00,           5037.00,           5038.00,           5036.00,           5036.00,           5035.00,           5032.00
 World,...,...,Import,No. Of Import partners,            238.00,            238.00,            239.00,            238.00,            238.00,            236.00,            236.00,            236.00,            236.00,            236.00,            234.00,            238.00,            237.00,            238.00,            238.00,            237.00,            223.00,            222.00,            222.00,            222.00,            226.00,            226.00,            226.00,            224.00,            203.00,            204.00,            201.00,            199.00
 World,...,...,Import,No. Of Import products,           4862.00,           4870.00,           4873.00,           4902.00,           4909.00,           4925.00,           4938.00,           4949.00,           5010.00,           5010.00,           5020.00,           5022.00,           5022.00,           5031.00,           5035.00,           5037.00,           5037.00,           5037.00,           5037.00,           5037.00,           5037.00,           5037.00,           5037.00,           5038.00,           5036.00,           5036.00,           5036.00,           5035.00
 World,...,...,Tariff,No. Of Tariff Agreement,           1514.00,           1434.00,           1277.00,           1286.00,           1312.00,           1293.00,           1257.00,           1340.00,            847.00,            818.00,            670.00,            528.00,            413.00,            403.00,            322.00,            334.00,            277.00,            211.00,            322.00,            208.00,            155.00,             55.00,            124.00,             51.00,             44.00,             45.00,             43.00,             38.00
 World,...,...,Development,Trade Balance (current US$ Mil),         475053.49,         600736.15,         639326.34,         575735.10,         550351.63,         477917.35,         340017.29,         321869.09,         414691.35,         316074.02,         181543.94,         129903.26,          76352.84,          63581.20,         -16116.01,          14204.43,          76973.41,         114405.77,         140181.63,         123614.12,         135012.44,         118370.83,         112008.15,          93468.44,            819.85,         -73056.00,         -81873.98,         -58853.12
 World,Canada,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,         101760.63,,,
 World,Canada,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,         112201.28,,,
 World,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,        1347970.24,        1533317.42,        1543275.30,        1441661.32,        1428107.72,        1183789.62,         868406.27,         902740.43,         807139.33,         669104.83,         555323.94,         472252.49,         359979.55,,,,,,,,,,,,,,,
 World,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,        2446087.14,        2536234.32,        2401544.52,        2309532.10,        2227915.90,        1941169.50,        1513599.43,        1773937.45,        1553774.15,        1286245.35,        1053202.05,         845686.43,         638650.93,         504478.19,         428228.30,         412989.35,         318542.15,         282497.27,         279015.03,         243989.10,,         181354.90,         141461.69,,,,,
