,scalerank_left,airport_name,abbrev,location,gps_code,iata_code,wikipedia,wdid_score,ne_id,name,iso3,size,usage,top_20_busiest_airports,busiest_airport_ranking,amount_passed_through
0,9,Sahnewal,LUH,terminal,VILD,LUH,http://en.wikipedia.org/wiki/Sahnewal_Airport,4,1159113785,India,IND,small,civilian,0,0,0
1,9,Solapur,SSE,terminal,VASL,SSE,http://en.wikipedia.org/wiki/Solapur_Airport,4,1159113803,India,IND,mid,civilian,0,0,0
2,9,Birsa Munda,IXR,terminal,VERC,IXR,http://en.wikipedia.org/wiki/Birsa_Munda_Airport,4,1159113831,India,IND,mid,civilian,0,0,0
3,9,Ahwaz,AWZ,terminal,OIAW,AWZ,http://en.wikipedia.org/wiki/Ahwaz_Airport,4,1159113845,Iran,IRN,mid,civilian,0,0,0
4,9,Gwalior,GWL,terminal,VIGR,GWL,http://en.wikipedia.org/wiki/Gwalior_Airport,4,1159113863,India,IND,mid,military/civilian,0,0,0
5,9,Hodeidah Int'l,HOD,terminal,OYHD,HOD,http://en.wikipedia.org/wiki/Hodeida_International_Airport,4,1159113883,Yemen,YEM,mid,civilian,0,0,0
6,9,Devi Ahilyabai Holkar Int'l,IDR,terminal,VAID,IDR,http://en.wikipedia.org/wiki/Devi_Ahilyabai_Holkar_International_Airport,4,1159113903,India,IND,mid,civilian,0,0,0
7,9,Gandhinagar,ISK,ramp,VANR,ISK,http://en.wikipedia.org/wiki/Gandhinagar_Airport,4,1159113917,India,IND,mid,civilian,0,0,0
8,9,Chandigarh Int'l,IXC,terminal,VICG,IXC,http://en.wikipedia.org/wiki/Chandigarh_Airport,4,1159113937,India,IND,major,military/civilian,0,0,0
9,9,Aurangabad,IXU,terminal,VAAU,IXU,http://en.wikipedia.org/wiki/Aurangabad_Airport,4,1159113953,India,IND,mid,civilian,0,0,0
10,9,Faisalabad Int'l,LYP,terminal,OPFA,LYP,http://en.wikipedia.org/wiki/Faisalabad_International_Airport,4,1159113971,Pakistan,PAK,mid,military/civilian,0,0,0
11,9,Omsk Tsentralny,OMS,terminal,UNOO,OMS,http://en.wikipedia.org/wiki/Omsk_Tsentralny_Airport,4,1159113991,Russia,RUS,mid,civilian,0,0,0
12,9,Novosibirsk Tolmachev,OVB,terminal,UNNT,OVB,http://en.wikipedia.org/wiki/Tolmachevo_Airport,4,1159114013,Russia,RUS,mid,civilian,0,0,0
13,9,Zaporozhye Int'l,OZH,runway,UKDE,OZH,http://en.wikipedia.org/wiki/Zaporizhia_International_Airport,4,1159114037,Ukraine,UKR,mid,military/civilian,0,0,0
14,9,Simpang Tiga,PKU,terminal,WIBB,PKU,http://en.wikipedia.org/wiki/Sultan_Syarif_Qasim_II_International_Airport,4,1159114047,Indonesia,IDN,mid,civilian,0,0,0
15,9,Rota Int'l,ROP,terminal,PGRO,ROP,http://en.wikipedia.org/wiki/Rota_International_Airport,4,1159114063,N. Mariana Is.,MNP,mid,civilian,0,0,0
16,9,Surgut,SGC,terminal,USRR,SGC,http://en.wikipedia.org/wiki/Surgut_Airport,4,1159114081,Russia,RUS,mid,civilian,0,0,0
