port_name,iso3,country_name,latitude,longitude,harborsize,harbortype,railway,2017 Annual Throughput (1000teu)
SHANGHAI,CHN,China,31.216667,121.5,L,RN,L,40233
SINGAPORE,SGP,Singapore,1.283333,103.85,L,CN,S,33666
SHENZHEN,CHN,China,19.966667,110.033333,V,CB,S,25208
NINGBO,CHN,China,29.883333,121.55,S,RN,S,24607
HONG KONG,HKG,Hong Kong,22.266667,114.2,L,CN,S,20770
BUSAN,KOR,South Korea,35.1,129.033333,L,CB,M,20493
GUANGZHOU,CHN,China,23.116667,113.233333,M,RN,S,20370
QINGDAO,CHN,China,36.033333,120.266667,L,OR,S,18262
DUBAI,ARE,United Arab Emirates,25.266667,55.3,S,CB,NaN,15368
TIANJIN,CHN,China,38.966667,117.833333,L,RN,L,15040
