,airport_name,iata_code,usage,top_20_busiest_airports,iso3,size,reporting_airport_group_name,scalerank_left,location,gps_code,wikipedia,name,total_freight,freight_set_down_scheduled_uk,freight_picked_up_scheduled_uk,freight_set_down_scheduled_foreign_eu,freight_picked_up_scheduled_foreign_eu,freight_set_down_scheduled_foreign_non_eu,freight_picked_up_scheduled_foreign_non_eu,freight_set_down_charter_uk,freight_picked_up_charter_uk,freight_set_down_charter_foreign_eu,freight_picked_up_charter_foreign_eu,freight_set_down_charter_foreign_non_eu,freight_picked_up_charter_foreign_non_eu,busiest_ukairports,code
0,London Heathrow,LHR,civilian,1,GBR,major,London Area Airports,2,parking,EGLL,http://en.wikipedia.org/wiki/London_Heathrow_Airport,United Kingdom,1698.460908,340.631183,379.53164799999996,40.63802,14.249848,451.446089,456.260036,0.09669199999999999,0.054093,2.653779,12.860816000000002,0.009275,0.029428999999999997,0.001,LHR
1,Manchester Int'l,MAN,civilian,0,GBR,major,Other UK Airports,6,terminal,EGCC,http://en.wikipedia.org/wiki/Manchester_Airport,United Kingdom,120.18142200000001,4.690238999999999,11.866939,2.367381,1.922685,51.539481,45.074428,1.201094,1.0229650000000001,0.047683,0.399037,0.027279,0.022210999999999998,0.001,MAN
2,London Gatwick,LGW,civilian,0,GBR,major,London Area Airports,6,terminal,EGKK,http://en.wikipedia.org/wiki/London_Gatwick_Airport,United Kingdom,96.982582,14.973321,33.35953,0.295029,0.38626299999999997,18.819321,25.993287,1.489828,1.6142729999999998,0.019546,0.032184,0.0,0.0,0.001,LGW
3,Birmingham Int'l,BHX,civilian,0,GBR,major,Other UK Airports,6,terminal,EGBB,http://en.wikipedia.org/wiki/Birmingham_International_Airport_(United_Kingdom),United Kingdom,41.803276,0.151376,0.110873,0.7120850000000001,0.377898,22.799901000000002,16.368187,0.497846,0.231183,0.066066,0.139888,0.180518,0.167369,0.001,BHX
4,London Luton,LTN,civilian,0,GBR,major,London Area Airports,8,terminal,EGGW,http://en.wikipedia.org/wiki/London_Luton_Airport,United Kingdom,21.026612,0.06299300000000001,0.008768000000000001,14.940496,1.450951,3.028928,1.5263820000000001,0.003492,0.004602,0.0,0.0,0.0,0.0,0.001,LTN
5,Glasgow Prestwick,PIK,civilian,0,GBR,mid,Other UK Airports,7,terminal,EGPK,http://en.wikipedia.org/wiki/Glasgow_Prestwick_International_Airport,United Kingdom,20.658917000000002,0.08377,0.000277,4.937549,3.8820010000000003,0.006272000000000001,0.14289,0.374272,0.240922,6.320881,4.670083,0.0,0.0,0.0,PIK
6,Glasgow Int'l,GLA,civilian,0,GBR,major,Other UK Airports,4,terminal,EGPF,http://en.wikipedia.org/wiki/Glasgow_International_Airport,United Kingdom,15.934543,0.17594900000000002,0.536179,0.04355,0.10266,5.879275,9.146351000000001,0.014407,0.01979,0.0,5.8e-05,0.001701,0.0,0.0,GLA
7,Glasgow Prestwick,PIK,civilian,0,GBR,mid,Other UK Airports,7,terminal,EGPK,http://en.wikipedia.org/wiki/Glasgow_Prestwick_International_Airport,United Kingdom,11.392593999999999,0.0,0.0,7.448412,3.36244,0.0,0.0,0.0,0.0,0.005071,0.01025,0.105767,0.460654,0.0,PIK
8,Newcastle Int'l,NCL,civilian,0,GBR,major,Other UK Airports,8,terminal,EGNT,http://en.wikipedia.org/wiki/Newcastle_Airport,United Kingdom,5.481735,0.004844,0.0016719999999999999,0.006241,0.0022930000000000003,2.7809630000000003,2.178561,0.0,0.0,0.0,0.0,0.187729,0.319432,0.0,NCL
9,Sumburgh,LSI,civilian,0,None,mid,Other UK Airports,8,runway,EGPB,http://en.wikipedia.org/wiki/Sumburgh_Airport,None,0.329426,0.175187,0.009715999999999999,0.0,0.0,0.0,0.0,0.083168,0.058161000000000004,0.002484,0.0007099999999999999,0.0,0.0,0.0,LSI
10,Kirkwall,KOI,civilian,0,GBR,mid,Other UK Airports,8,ramp,EGPA,http://en.wikipedia.org/wiki/Kirkwall_Airport,United Kingdom,0.035054,0.009112,0.025942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KOI
11,Leeds Bradford,LBA,civilian,0,GBR,major,Other UK Airports,7,terminal,EGNM,http://en.wikipedia.org/wiki/Leeds_Bradford_International_Airport,United Kingdom,0.014518000000000001,0.001155,0.0048,0.00034599999999999995,5e-05,0.0,0.0,0.00222,0.0,3.8e-05,3.8e-05,0.001371,0.0,0.0,LBA
12,Bristol Int'l,BRS,civilian,0,GBR,major,Other UK Airports,8,terminal,EGGD,http://en.wikipedia.org/wiki/Bristol_International_Airport,United Kingdom,0.009852,0.0019590000000000002,0.000852,0.00017299999999999998,1e-06,0.0,0.0,0.006862,5e-06,0.0,0.0,0.0,0.0,0.0,BRS
