,animals_&_animal_products_export,vegetable_products_export,foodstuffs_export,mineral_products_export,chemicals_&_allied_industries_export,Plastics/Rubbers_export,"raw_hides,_skins,_leather_&_furs_export",wood_&_wood_products_export,textiles_export,footwear_/_headgear_export,stone_/_glass_export,metals_export,machinery_/_electrical_export,transportation_export,miscellaneous_export,all_commodities_export,animals_&_animal_products_import,vegetable_products_import,foodstuffs_import,mineral_products_import,chemicals_&_allied_industries_import,Plastics/Rubbers_import,"raw_hides,_skins,_leather_&_furs_import",wood_&_wood_products_import,textiles_import,footwear_/_headgear_import,stone_/_glass_import,metals_import,machinery_/_electrical_import,transportation_import,miscellaneous_import,all_commodities_import,ISO3,freight_2017,passengers_2017
0,45.977,117.312,90.304,363.25,20.481,19.397,25.004,70.045,505.997,483.585,25.209,351.251,106.35,20.772,55.395,2300.329,181.84,275.243,445.321,557.675,484.346,250.233,160.488,200.281,595.502,141.037,132.894,526.633,767.239,366.151,189.804,5274.687,ALB,0,103151
1,10.695,80.205,261.386,33881.056,775.93,4.071,14.322,24.729,4.037,0.076,36.523,11.783,59.75,21.057,5.497,35191.117,1807.815,4942.032,2665.845,2114.001,4257.59,2533.687,64.908,1275.269,1148.929,229.642,736.244,6513.29,11991.787,4394.323,1377.655,46053.016,DZA,24.80375,6241924
2,0.103,0.185,0.57,0.282,1.938,0.986,1.074,7.676,7.639,2.183,10.233,5.748,35.502,23.803,19.403,117.324,74.046,37.448,227.68,120.253,180.473,31.327,17.66,43.087,123.467,41.465,54.876,38.289,177.221,187.202,122.333,1476.827,AND,0,0
3,13359.55,13594.924,6068.575,130041.556,11404.581,1129.16,830.78,2831.091,4877.269,101.818,15018.87,10231.289,7665.664,3586.913,3858.712,224600.751,2680.746,3306.693,9346.865,25026.451,19711.056,9225.344,1459.707,5098.543,9317.837,2039.495,9153.566,10622.221,52992.304,40094.228,17040.121,217115.178,AUS,1982.586171,74257326
4,2988.076,2010.525,7560.069,3482.885,17692.036,8023.097,938.017,10204.086,5635.865,1039.067,3821.116,22400.738,45032.58,19517.264,9506.904,159852.324,2836.4,4599.6,6079.714,13686.172,18451.627,8771.623,1155.241,6835.825,8483.426,2021.509,4899.11,18119.193,37796.299,22006.902,10677.261,166419.902,AUT,391.268,16171640
5,57.606,46.663,523.458,675.866,29.177,8.531,9.068,3.29,126.158,2.829,272.171,268.611,37.937,13.837,62.782,2137.986,129.883,234.935,350.256,644.785,406.743,168.611,16.22,122.066,231.932,45.605,284.928,290.948,624.895,150.053,189.427,3891.287,ARM,0,0
6,9662.44,11606.464,23942.59,38481.574,97624.075,34326.144,1675.192,9082.215,14973.178,6912.761,21574.976,32996.214,44920.753,51437.353,21388.5,420604.428,8579.455,14584.072,16995.883,52903.219,83537.879,24077.008,1334.396,9154.103,12287.29,4850.433,18601.596,29780.797,50650.807,54609.204,20123.084,402069.227,BEL,1513.990699,13676844
7,93.089,268.474,191.596,602.779,546.846,204.711,113.777,604.025,325.872,407.519,53.403,1101.825,737.666,192.192,833.94,6277.713,293.587,621.154,883.497,1553.936,968.105,678.281,277.898,384.435,686.916,193.555,211.987,1123.373,1454.895,724.903,378.014,10434.534,BIH,0,0
8,15379.862,38696.757,25185.676,44302.638,10629.111,5456.347,2006.57,11095.309,2372.266,1283.484,5218.497,16314.529,17284,19844.882,2528.749,217598.677,2418.662,5286.473,3499.712,23364.199,31311.08,9593.847,478.147,1291.686,5091.654,511.399,1525.907,8638.579,38129.657,12779.654,6828.796,150749.452,BRA,1736.549227,96395709
9,5.605,1.032,4.375,4989.7,201.895,3.407,1.147,3.827,11.799,0.852,12.578,33.022,100.521,38.679,151.408,5559.846,115.999,131.169,219.323,338.232,230.751,84.505,8.741,47.034,65.269,9.069,114.122,489.549,755.337,298.003,168.273,3075.377,BRN,132.612,1172201
