,organic_products_export,chemicals_export,material_export,clothing_export,metals_export,technical_export,transportation_export,miscellaneous_goods_export,all_commodities_export,organic_products_import,chemicals_import,material_import,clothing_import,metals_import,technical_import,transportation_import,miscellaneous_goods_import,all_commodities_import,iso3,freight_2017,passengers_2017,name,normalised_export_2017,normalised_import_2017,normalised_freight_2017,normalised_passengers_2017,code
0,0.25,0.02,0.5,0.99,0.35,0.11,0.02,0.06,2.3,0.9,0.48,1.47,0.57,0.53,0.77,0.37,0.19,5.27,ALB,0.0,103151.0,Albania,1.1939224684724346,1.8357763546448294,0.0,11.543958907550401,ALB
1,0.35,0.78,33.96,0.0,0.01,0.06,0.02,0.01,35.19,9.42,4.26,7.16,0.94,6.51,11.99,4.39,1.38,46.05,DZA,24.8,6241924.0,Algeria,3.588782837575651,3.8512108660313884,3.250374491927572,15.64679918636099,DZA
2,0.0,0.0,0.02,0.01,0.01,0.04,0.02,0.02,0.12,0.34,0.18,0.27,0.16,0.04,0.18,0.19,0.12,1.48,AND,0.0,0.0,Andorra,0.11332868530700327,0.9082585601768908,0.0,0.0,AND
3,33.02,11.4,154.37,0.46,10.23,7.67,3.59,3.86,224.6,15.33,19.71,50.71,10.61,10.62,52.99,40.09,17.04,217.12,AUS,1982.59,74257326.0,Australia,5.418763519623904,5.385045370057861,7.592663613263292,18.1230470109132,AUS
4,12.56,17.69,28.44,4.7,22.4,45.03,19.52,9.51,159.85,13.52,18.45,36.27,9.58,18.12,37.8,22.01,10.68,166.42,AUT,391.27,16171640.0,Austria,5.080472253685035,5.12050562523191,5.97195037820368,16.59876971063417,AUT
5,0.63,0.03,0.97,0.13,0.27,0.04,0.01,0.06,2.14,0.72,0.41,1.3,0.22,0.29,0.62,0.15,0.19,3.89,ARM,0.0,0.0,Armenia,1.144222799920162,1.5871923034867808,0.0,0.0,ARM
6,45.21,97.62,107.85,19.18,33.0,44.92,51.44,21.39,420.6,40.16,83.54,108.4,14.81,29.78,50.65,54.61,20.12,402.07,BEL,1513.99,13676844.0,Belgium,6.044056997227153,5.99911024413353,7.323164117261619,16.43121481490483,BEL
7,0.55,0.55,1.61,0.71,1.1,0.74,0.19,0.83,6.28,1.8,0.97,3.33,0.66,1.12,1.45,0.72,0.38,10.43,BIH,0.0,0.0,Bosnia and Herz.,1.9851308622085946,2.4362414778067194,0.0,0.0,BIH
8,79.26,10.63,70.04,1.7,16.31,17.28,19.84,2.53,217.6,11.2,31.31,38.81,3.04,8.64,38.13,12.78,6.83,150.75,BRA,1736.55,96395709.0,Brazil,5.387243575742438,5.022234429939608,7.460231354003315,18.38397225651584,BRA
9,0.01,0.2,5.01,0.01,0.03,0.1,0.04,0.15,5.56,0.47,0.23,0.6,0.06,0.49,0.76,0.3,0.17,3.08,BRN,132.61,1172201.0,Brunei,1.8809906029559975,1.4060969884160703,4.894925108600803,13.974394589216493,BRN
