,port_name,iso3,country_name,latitude,longitude,harborsize,harbortype,railway,top_20_busiest_ports,busiest_ports_ranking,amount_shipped_through,code,busiest_ukports
0,SHAKOTAN,RUS,Russia,43.866667,146.833333,V,coastal,None,0,0,0,SHAKOTAN,0
1,MOMBETSU KO,JPN,Japan,44.35,143.35,V,coastal,None,0,0,0,MOMBETSU KO,0
2,ABASHIRI KO,JPN,Japan,44.016667,144.283333,S,coastal,None,0,0,0,ABASHIRI KO,0
3,NEMURO KO,JPN,Japan,43.333333,145.583333,S,coastal,None,0,0,0,NEMURO KO,0
4,HANASAKI KO,JPN,Japan,43.283333,145.583333,V,coastal,None,0,0,0,HANASAKI KO,0
5,KUSHIRO KO,JPN,Japan,42.983333,144.366667,M,coastal,M,0,0,0,KUSHIRO KO,0
6,TOMAKOMAI KO,JPN,Japan,42.633333,141.633333,S,coastal,None,0,0,0,TOMAKOMAI KO,0
7,MURORAN KO,JPN,Japan,42.35,140.966667,M,coastal,L,0,0,0,MURORAN KO,0
8,MORI,JPN,Japan,42.116667,140.583333,V,other,None,0,0,0,MORI,0
9,HAKODATE KO,JPN,Japan,41.783333,140.716667,M,coastal,L,0,0,0,HAKODATE KO,0
10,ESASI KO,JPN,Japan,41.866667,140.116667,V,coastal,None,0,0,0,ESASI KO,0
11,OTARU KO,JPN,Japan,43.2,141.016667,M,coastal,S,0,0,0,OTARU KO,0
12,RUMOI KO,JPN,Japan,43.95,141.633333,V,coastal,S,0,0,0,RUMOI KO,0
13,WAKKANAI,JPN,Japan,43.416667,141.683333,S,coastal,S,0,0,0,WAKKANAI,0
14,AOMORI KO,JPN,Japan,40.833333,140.75,S,coastal,None,0,0,0,AOMORI KO,0
15,HACHINOHE KO,JPN,Japan,40.533333,141.55,S,coastal,M,0,0,0,HACHINOHE KO,0
16,MIYAKO,JPN,Japan,39.633333,141.983333,S,coastal,S,0,0,0,MIYAKO,0
17,KAMAISHI KO,JPN,Japan,39.266667,141.9,S,coastal,M,0,0,0,KAMAISHI KO,0
18,OFUNATO,JPN,Japan,39.05,141.733333,S,coastal,S,0,0,0,OFUNATO,0
19,KESENNUMA KO,JPN,Japan,38.866667,141.6,V,coastal,S,0,0,0,KESENNUMA KO,0
20,ONAGAWA,JPN,Japan,38.45,141.45,V,coastal,S,0,0,0,ONAGAWA,0
21,ISHINOMAKI KO,JPN,Japan,38.4,141.316667,V,coastal,S,0,0,0,ISHINOMAKI KO,0
22,SENDAI-SHIOGAMA,JPN,Japan,38.316667,141.033333,S,coastal,None,0,0,0,SENDAI-SHIOGAMA,0
23,ONAHAMA KO,JPN,Japan,36.933333,140.9,S,coastal,M,0,0,0,ONAHAMA KO,0
24,HITACHI,JPN,Japan,36.5,140.633333,V,river,None,0,0,0,HITACHI,0
25,KASHIMA KO,JPN,Japan,35.933333,140.7,S,coastal,None,0,0,0,KASHIMA KO,0
