Name,Total,inward_drybulk_domestic,inward_drybulk_International,outward_drybulk_domestic,outward_drybulk_International,inward_liquidbulk_domestic,inward_liquidbulk_International,outward_liquidbulk_domestic,outward_liquidbulk_International,inward_lo_lo_domestic,inward_lo_lo_international,outward_lo_lo_domestic,outward_lo_lo_international,inward_ro_ro_domestic,inward_ro_ro_international,outward_ro_ro_domestic,outward_ro_ro_international,inward_others_domestic,inward_others_international,outward_others_domestic,outward_others_international
Boston,738,0,24,0,101,0,9,0,0,0,0,0,0,0,0,0,0,0,586,0,18
Bristol,"8,741","1,164","2,002",100,870,581,"1,908",0,0,162,431,44,169,~,802,~,349,~,155,~,2
Dover,"26,223",0,0,20,2,0,0,0,0,0,2,0,1,0,"15,264",0,"10,667",4,263,0,~
Felixstowe,"29,028",0,0,0,0,0,31,0,0,226,"15,378",290,"9,452",0,"2,315",0,"1,329",0,5,0,2
Fleetwood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fowey,482,7,0,9,464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Goole,"1,440",4,485,0,85,21,26,0,0,0,0,0,0,0,0,0,0,0,768,10,41
Great Yarmouth,"1,197",13,613,42,76,73,43,111,0,0,0,0,0,0,0,0,0,76,48,80,22
Grimsby & Immingham,"54,034",34,"13,333",12,685,"2,087","8,861","2,438","6,684",~,"1,946",11,324,0,"10,500",4,"5,927",5,833,5,345
Harwich,"4,755",0,0,19,51,33,124,63,139,0,0,0,5,0,"2,757",0,"1,399",1,142,1,23
Heysham,"4,630",0,0,0,0,0,0,0,0,0,0,0,0,"1,858",429,"1,890",390,16,0,48,0
Hull,"9,824",74,"1,998",13,200,22,858,36,919,0,"1,317",0,456,0,"1,542",0,851,1,"1,301",166,69
Ipswich,"2,177",425,756,222,453,0,100,0,24,0,~,0,~,0,0,0,0,0,188,0,9
Liverpool,"32,541",797,"4,662",47,"1,994","1,413","9,129",130,97,219,"3,281",103,"1,820",945,"2,571","1,337","2,899",0,"1,041",5,53
London,"49,868","9,588","4,206",247,"1,578",627,"13,908",30,113,~,"6,850",3,"3,595",0,"5,884",1,"1,928",~,"1,194",0,118
Manchester,"6,789",100,893,34,224,125,"1,619",535,"3,185",0,0,0,0,0,0,0,0,2,27,~,42
Medway,"8,694","1,212","1,361",69,292,0,"2,465",0,164,1,596,0,64,0,331,0,9,25,"1,851",0,241
Newhaven,707,17,0,13,124,0,0,0,0,0,0,0,0,0,350,0,204,0,0,0,0
Plymouth,"2,384",215,190,125,398,749,650,0,0,0,0,0,0,0,29,0,30,0,0,0,0
Poole,818,120,17,0,127,0,0,0,0,0,0,0,0,~,300,~,139,0,71,39,4
Portsmouth,"3,866",427,0,0,0,0,0,0,0,0,230,0,75,105,"1,305",353,852,0,513,0,7
Ramsgate,59,55,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
River Trent,"1,141",34,381,0,32,0,22,0,0,0,0,0,0,0,0,0,0,3,648,0,21
Rivers Hull & Humber,"9,945",14,260,4,156,"2,385","6,885",0,0,0,0,0,0,0,0,0,0,0,240,0,0
Shoreham,"2,063","1,388",32,61,134,0,68,0,0,0,0,0,0,0,0,0,0,1,380,0,0
Southampton,"34,471",925,376,96,710,"1,171","13,724",456,"6,083",189,"4,562",880,"3,930",~,516,~,796,0,38,~,19
Sunderland,835,0,196,23,184,0,0,0,0,0,0,0,0,0,0,0,0,~,421,3,9
Tees & Hartlepool,"28,447",502,"2,176",144,686,817,"4,414","5,513","9,242",93,"1,593",29,445,0,"1,290",0,871,29,129,20,455
Tyne,"3,253",399,903,0,443,3,49,12,0,125,48,125,101,0,371,~,577,2,54,3,36
Belfast,"18,226",285,"3,609","2,128",594,"1,809",455,0,0,195,760,160,580,"3,593",0,"3,342",0,117,349,138,110
Kilroot Power Station Jetty,656,585,0,10,0,54,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Larne,"2,872",0,0,4,0,3,0,0,0,0,0,0,0,"1,448",0,"1,398",0,0,11,0,8
Londonderry,"1,808",180,884,3,71,186,404,0,0,0,0,0,0,0,0,0,0,18,39,14,9
Warrenpoint,"3,259",33,336,247,3,0,0,0,0,47,0,174,0,987,0,"1,133",0,0,244,0,54
Aberdeen,"4,058",49,121,39,196,949,208,969,5,8,4,63,6,162,16,214,32,368,62,511,76
Cairnryan,"2,847",0,0,0,0,0,0,0,0,0,0,0,0,"1,399",0,"1,448",0,0,0,0,0
Clyde,"8,865",187,635,75,228,521,"4,919",571,907,22,84,176,317,0,0,0,0,21,110,3,89
