,Name,inward_drybulk_domestic,inward_drybulk_International,outward_drybulk_domestic,outward_drybulk_International,inward_liquidbulk_domestic,inward_liquidbulk_International,outward_liquidbulk_domestic,outward_liquidbulk_International,inward_lo_lo_domestic,inward_lo_lo_international,outward_lo_lo_domestic,outward_lo_lo_international,inward_ro_ro_domestic,inward_ro_ro_international,outward_ro_ro_domestic,outward_ro_ro_international,inward_others_domestic,inward_others_international,outward_others_domestic,outward_others_international,Total,port_name,iso3,country_name,latitude,longitude,harborsize,harbortype,railway
0,Aberdeen,49,121,39,196,949,208,969,5,8,4,63,6,162,16,214,32,368,62,511,76,"4,058",ABERDEEN,GBR,United Kingdom,57.15,-2.083333,M,RB,
1,Belfast,285,"3,609","2,128",594,"1,809",455,0,0,195,760,160,580,"3,593",0,"3,342",0,117,349,138,110,"18,226",BELFAST,GBR,United Kingdom,54.616667,-5.9,L,RB,S
2,Boston,0,24,0,101,0,9,0,0,0,0,0,0,0,0,0,0,0,586,0,18,738,BOSTON,GBR,United Kingdom,52.966667,-0.016667,S,RT,S
3,Bristol,"1,164","2,002",100,870,581,"1,908",0,0,162,431,44,169,0,802,0,349,0,155,0,2,"8,741",BRISTOL,GBR,United Kingdom,51.466667,-2.633333,M,RT,S
4,Cardiff,220,52,38,27,826,276,0,0,1,10,9,1,0,0,0,0,0,96,8,9,"1,574",CARDIFF,GBR,United Kingdom,51.45,-3.166667,M,CT,S
5,Dover,0,0,20,2,0,0,0,0,0,2,0,1,0,"15,264",0,"10,667",4,263,0,0,"26,223",DOVER HARBOR,GBR,United Kingdom,51.116667,1.333333,S,CB,M
6,Dundee,13,301,2,14,4,141,0,0,0,0,0,0,0,0,0,0,1,40,0,51,566,DUNDEE,GBR,United Kingdom,56.466667,-2.95,L,RB,
7,Felixstowe,0,0,0,0,0,31,0,0,226,"15,378",290,"9,452",0,"2,315",0,"1,329",0,5,0,2,"29,028",FELIXSTOWE,GBR,United Kingdom,51.95,1.316667,V,RN,S
8,Fishguard,0,0,0,0,11,0,0,0,0,0,0,0,0,211,0,158,0,0,0,0,381,FISHGUARD,GBR,United Kingdom,52.016667,-4.983333,S,CB,S
9,Fowey,7,0,9,464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,482,FOWEY HARBOUR,GBR,United Kingdom,50.333333,-4.633333,S,RN,M
