scalerank,featurecla,type,name,abbrev,location,gps_code,iata_code,wikipedia,natlscale,comments,wikidataid,name_ar,name_bn,name_de,name_en,name_es,name_fr,name_el,name_hi,name_hu,name_id,name_it,name_ja,name_ko,name_nl,name_pl,name_pt,name_ru,name_sv,name_tr,name_vi,name_zh,wdid_score,ne_id,lon,lat
9,Airport,small,Sahnewal,LUH,terminal,VILD,LUH,http://en.wikipedia.org/wiki/Sahnewal_Airport,8.00000,,Q7399709,,,,Sahnewal Airport,,,,सहेनवाल हवाई अड्डा,,,,,,,,,,Ludhiana Airport,,,,4,1159113785,75.95707,30.85036
9,Airport,mid,Solapur,SSE,terminal,VASL,SSE,http://en.wikipedia.org/wiki/Solapur_Airport,8.00000,,Q7555807,,,,Solapur Airport,,,,शोलापुर विमानक्षेत्र,,,,ソーラープル空港,,,,,,,,,,4,1159113803,75.93306,17.62542
9,Airport,mid,Birsa Munda,IXR,terminal,VERC,IXR,http://en.wikipedia.org/wiki/Birsa_Munda_Airport,8.00000,,Q598231,,বিরসা মুন্ডা বিমানবন্দর,,Birsa Munda Airport,Aeropuerto Birsa Munda,,,बिरसा मुंडा हवाई-अड्डा,,,,ビルサ・ムンダ空港,,,Port lotniczy Ranchi,,,M. O. Ranchi,,Sân bay Birsa Munda,蘭契,4,1159113831,85.32360,23.31772
9,Airport,mid,Ahwaz,AWZ,terminal,OIAW,AWZ,http://en.wikipedia.org/wiki/Ahwaz_Airport,8.00000,,Q622296,مطار الأحواز الدولي,,,Ahwaz International Airport,Aeropuerto Internacional de Ahvaz,Aéroport d'Ahvaz,,,,Bandar Udara Internasional Ahwaz,,アフヴァーズ空港,,Ahwaz Airport,Port lotniczy Ahwaz,,,Ahwaz International Airport,Ahvaz Havalimanı,Sân bay Ahvaz,阿瓦士,4,1159113845,48.74711,31.34316
9,Airport,mid and military,Gwalior,GWL,terminal,VIGR,GWL,http://en.wikipedia.org/wiki/Gwalior_Airport,8.00000,,Q2247561,,,,Gwalior Airport,,,,ग्वालियर विमानक्षेत्र,,,,グワーリヤル空港,,,Port lotniczy Gwalior,,,Gwalior Airport,,Sân bay Gwalior,瓜廖爾,4,1159113863,78.21722,26.28549
9,Airport,mid,Hodeidah Int'l,HOD,terminal,OYHD,HOD,http://en.wikipedia.org/wiki/Hodeida_International_Airport,8.00000,,Q2584014,مطار الحديدة الدولي,,,Hodeida International Airport,Aeropuerto Internacional de Hodeida,,,,,Bandar Udara Internasional Hodeida,,フダイダ国際空港,,,Port lotniczy Al-Hudajda,,,,,,荷台達國際機場,4,1159113883,42.97110,14.75525
9,Airport,mid,Devi Ahilyabai Holkar Int'l,IDR,terminal,VAID,IDR,http://en.wikipedia.org/wiki/Devi_Ahilyabai_Holkar_International_Airport,8.00000,,Q1658243,,দেবী অহল্যা বাই হোলকার বিমানবন্দর,,Devi Ahilyabai Holkar Airport,Aeropuerto Devi Ahilyabai Holkar,,,देवी अहिल्याबाई होल्कर अंतर्राष्ट्रीय विमानक्षेत्र,,Bandar Udara Internasional Devi Ahilyabai Holkar,,デーヴィー・アヒリヤーバーイー・ホールカル国際空港,,,Port lotniczy Indore,,Ахилия Бай,Devi Ahilyabai Holkar International Airport,,Sân bay quốc tế Devi Ahilyabai Holkar,印多爾,4,1159113903,75.80929,22.72775
9,Airport,mid,Gandhinagar,ISK,ramp,VANR,ISK,http://en.wikipedia.org/wiki/Gandhinagar_Airport,8.00000,,Q3274459,,,,Gandhinagar Airport,,,,,,,,,,,,,,,,,,4,1159113917,73.81057,19.96602
9,Airport,major and military,Chandigarh Int'l,IXC,terminal,VICG,IXC,http://en.wikipedia.org/wiki/Chandigarh_Airport,8.00000,,Q1835533,,চণ্ডীগড় আন্তর্জাতিক বিমানবন্দর,,Chandigarh Airport,Aeropuerto de Chandigarh,,,चंडीगढ़ विमानक्षेत्र,,,,チャンディーガル空港,,,Port lotniczy Czandigarh,,,Chandigarh Airport,,,昌迪加爾機場,4,1159113937,76.80173,30.67072
9,Airport,mid,Aurangabad,IXU,terminal,VAAU,IXU,http://en.wikipedia.org/wiki/Aurangabad_Airport,8.00000,,Q2903059,,,,Aurangabad Airport,,aéroport d'Aurangabad,,औरंगाबाद हवाई अड्डा,,,,チカルサーナ空港,,,Port lotniczy Aurangabad,,,Aurangabad Airport,,Sân bay Aurangabad,奧郎加巴德機場,4,1159113953,75.39584,19.86730
